,COST,KO,PG,WMT,PEP,KR,MDLZ,PM,ADM,CTVA,CL,MO,HSY,CLX,GIS,CHD,K,MKC,TSN,BF.B,STZ,WBA,KMB,CAG,SYY,SJM,MNST,KHC,CPB,HRL,BG,LW,KDP,DAR,TAP,Ssc Government Mm Gvmxx,NWL,CASY,POST,USFD,SAM,INGR,BJ,PFGC,HLF,FRPT,BYND,ACI,Jh Collateral,REYN,BF.A,PPC,Us Dollar,7839989D1010,n/a,SUM
07/09/2021,6.3,5.98,5.86,5.71,5.66,4.33,3.96,3.75,3.2,3.11,3.1,2.78,2.44,2.15,2.04,2.03,2.02,1.98,1.96,1.82,1.75,1.69,1.68,1.66,1.61,1.36,1.34,1.28,1.25,1.19,1.18,1.12,1.08,1.05,1.04,1.04,1.03,0.79,0.79,0.76,0.71,0.68,0.66,0.59,0.48,0.45,0.39,0.34,0.3,0.23,0.19,0.14,0.0,0.0,0.0,100.03
10/04/2021,6.9,6.35,6.22,5.95,6.11,4.52,4.01,3.85,3.17,3.03,3.05,2.86,2.53,2.2,2.01,2.09,2.01,1.91,1.92,1.73,1.72,1.54,1.74,1.56,1.58,1.38,1.39,1.22,1.2,1.17,1.17,0.94,1.1,1.11,0.94,0.0,0.96,0.81,0.74,0.71,0.5,0.67,0.72,0.57,0.46,0.4,0.31,0.36,0.0,0.22,0.18,0.15,0.0,0.22,0.01,100.17000000000002
