,n/a,SLB,HAL,BKR,TS,WHD,NOV,PTEN,HP,CHX,RIG,FTI,XPRO,LBRT,OII,RES,CLB,PUMP,NBR,SLCA,WTTR,DRQ,BOOM,NEX,HLX,OIS,SUM
01/27/2022,56.9,8.98,5.21,3.57,2.09,2.06,2.0,1.99,1.96,1.87,1.77,1.67,1.17,1.16,1.02,0.83,0.79,0.78,0.78,0.65,0.61,0.59,0.45,0.43,0.39,0.28,100.0
01/28/2022,59.02,8.58,5.02,3.32,1.95,1.94,1.92,1.88,1.84,1.77,1.7,1.59,1.12,1.11,0.99,0.81,0.73,0.74,0.74,0.61,0.58,0.55,0.41,0.43,0.37,0.28,100.0
01/31/2022,58.42,8.85,5.21,3.34,2.07,2.02,1.98,1.86,1.8,1.79,1.68,1.6,1.1,1.12,0.99,0.82,0.72,0.74,0.73,0.58,0.55,0.55,0.4,0.45,0.37,0.28,100.02
02/01/2022,58.62,8.95,5.25,3.29,2.03,2.0,1.98,1.87,1.83,1.73,1.66,1.54,1.08,1.09,0.97,0.81,0.72,0.72,0.74,0.58,0.54,0.54,0.39,0.45,0.36,0.27,100.01
02/02/2022,58.62,8.95,5.25,3.29,2.03,2.0,1.98,1.87,1.83,1.73,1.66,1.54,1.08,1.09,0.97,0.81,0.72,0.72,0.74,0.58,0.54,0.54,0.39,0.45,0.36,0.27,100.01
02/03/2022,58.3,8.95,5.23,3.38,2.07,2.02,1.97,1.88,1.87,1.73,1.63,1.57,1.12,1.1,0.97,0.82,0.73,0.74,0.72,0.59,0.56,0.54,0.41,0.46,0.37,0.27,100.0
02/04/2022,59.91,8.35,4.92,3.12,2.03,1.91,1.9,1.84,1.83,1.69,1.68,1.53,1.09,1.07,0.98,0.81,0.7,0.73,0.74,0.58,0.57,0.51,0.38,0.46,0.37,0.27,99.97
02/07/2022,58.92,8.56,5.14,3.14,2.11,1.9,2.05,1.91,1.92,1.73,1.73,1.55,1.06,1.04,0.99,0.9,0.67,0.74,0.75,0.58,0.61,0.51,0.36,0.46,0.39,0.28,100.0
02/08/2022,59.77,8.19,5.04,3.04,2.07,1.91,1.8,1.9,1.97,1.7,1.81,1.53,1.04,1.04,0.98,0.92,0.69,0.74,0.77,0.56,0.58,0.49,0.35,0.45,0.38,0.27,99.99
02/09/2022,59.77,8.19,5.04,3.04,2.07,1.91,1.8,1.9,1.97,1.7,1.81,1.53,1.04,1.04,0.98,0.92,0.69,0.74,0.77,0.56,0.58,0.49,0.35,0.45,0.38,0.27,99.99
02/10/2022,60.11,8.42,5.05,3.09,2.03,1.88,1.74,1.86,1.93,1.68,1.74,1.49,1.0,1.02,0.96,0.9,0.66,0.72,0.73,0.53,0.56,0.48,0.34,0.44,0.37,0.26,99.99
02/11/2022,59.23,8.5,5.15,3.21,2.12,1.92,1.8,1.92,2.03,1.75,1.71,1.51,1.05,1.02,0.97,0.9,0.67,0.73,0.75,0.56,0.58,0.48,0.35,0.46,0.37,0.25,99.98999999999998
02/14/2022,59.89,8.29,5.09,3.12,2.07,1.87,1.81,1.99,1.97,1.62,1.72,1.48,1.0,0.94,0.96,0.94,0.66,0.77,0.79,0.56,0.56,0.46,0.34,0.49,0.36,0.25,100.0
02/15/2022,61.54,7.89,4.83,3.04,1.92,1.75,1.75,2.04,1.88,1.49,1.63,1.41,0.94,0.93,0.92,0.93,0.66,0.75,0.76,0.53,0.53,0.45,0.32,0.5,0.35,0.25,99.99
02/16/2022,61.54,7.89,4.83,3.04,1.92,1.75,1.75,2.04,1.88,1.49,1.63,1.41,0.94,0.93,0.92,0.93,0.66,0.75,0.76,0.53,0.53,0.45,0.32,0.5,0.35,0.25,99.99
