,6701.T,FMG.AX,MAERSK B.CO,5110.T,6361.T,DPW.DE,2432.T,YAR.OL,5101.T,7259.T,8227.T,3288.T,4578.T,JBH.AX,ELUX B.ST,6758.T,6752.T,9434.T,BATS.L,CHKP,HVN.AX,RIO.L,KGF.L,BS6.SI,BKG.L,6754.T,6113.T,1COV.DE,16.HK,7282.T,3407.T,BOL.ST,KIND SDB.ST,ERIC B.ST,5334.T,PROX.BR,6448.T,2914.T,RMG.L,3291.T,8282.T,BZU.MI,9433.T,7272.T,HOT.DE,IMB.L,9984.T,PNL.AS,ORA.PA,NCM.AX,FGXXX,British Pounds,Australian Dollar,Japanese Yen,6701 JP,FMG AU,2432 JP,5110 JP,5101 JP,MAERSKB DC,6361 JP,3288 JP,DPW GR,JBH AU,7259 JP,YAR NO,4578 JP,6752 JP,ELUXB SS,9434 JP,8227 JP,HVN AU,6758 JP,BATS LN,6754 JP,RIO LN,7282 JP,KGF LN,BOL SS,5334 JP,16 HK,YZJSGD SP,3407 JP,6113 JP,3291 JP,BKG LN,8282 JP,RMG LN,6448 JP,ERICB SS,1COV GR,2914 JP,BZU IM,KINDSDB SS,PROX BB,9433 JP,7272 JP,9984 JP,PNL NA,HOT GR,IMB LN,ORA FP,NCM AU,SUM
07/09/2021,2.19,2.19,2.14,2.13,2.12,2.11,2.1,2.09,2.09,2.08,2.07,2.06,2.06,2.05,2.04,2.04,2.03,2.03,2.03,2.03,2.03,2.0,1.99,1.99,1.99,1.98,1.98,1.98,1.97,1.97,1.97,1.97,1.96,1.96,1.96,1.95,1.94,1.93,1.93,1.93,1.92,1.9,1.88,1.88,1.88,1.88,1.86,1.85,1.84,1.77,0.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,2.22,2.17,2.17,2.15,2.13,2.12,2.12,2.09,2.09,2.07,2.07,2.06,2.05,2.04,2.04,2.04,2.03,2.03,2.02,2.01,2.01,2.0,1.98,1.98,1.98,1.97,1.97,1.96,1.96,1.96,1.95,1.95,1.94,1.93,1.93,1.93,1.93,1.92,1.91,1.91,1.9,1.89,1.88,1.87,1.85,1.85,1.85,1.82,1.73,99.66
