,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,Vanguard Ftse Europe (Vgk) Swap Societe Generale,Vanguard Ftse Europe (Vgk) Swap Ubs Ag,Vanguard Ftse Europe (Vgk) Swap Merrill Lynch,Vanguard Ftse Europe (Vgk) Swap Goldman Sachs International,Vanguard Ftse Europe (Vgk) Swap Citibank Na,Vanguard Ftse Europe (Vgk) Swap Morgan Stanley & Co. International Plc,Vanguard Ftse Europe (Vgk) Swap Morgan Stanley & Co. International Plc - Ca,Vanguard Ftse Europe (Vgk) Swap Citibank Na - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Goldman Sachs International - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Merrill Lynch - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Ubs Ag - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Societe Generale - Cash Offset,SUM
07/09/2021,100.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,100.00000000000004
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,100.00000000000004
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,100.00000000000004
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,100.00000000000004
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,100.00000000000004
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16,40.1,37.59,33.83,2.57,0.46,-0.46,-2.57,-33.83,-37.59,-40.1,-86.16,100.00000000000003
