,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,2330.TW,NVDA,TSLA,JNJ,JPM,700.HK,V,Alibaba Group Holding Ltd.,UNH,NESN.SW,BRK.B,PG,005930.KS,HD,MA,BAC,PYPL,DIS,ASML.AS,ROG.SW,ADBE,CMCSA,KO,NFLX,VZ,INTC,CSCO,T,PFE,MC.PA,PEP,ABBV,CRM,WMT,AVGO,ABT,MRK,NKE,ACN,NOVN.SW,COST,TMO,MDT,LLY,7203.T,DHR,TXN,MCD,WFC,SHOP.NE,HON,BMY,ULVR.L,PM,QCOM,AZN.L,C,ORCL,UNP,SAP.DE,SBUX,1299.HK,UPS,KMI,PXD,RTX,NOVOB.CO,RY.TO,IBM,SIE.DE,AMGN,3690.HK,LOW,NEE,6758.T,LIN,INTU,AMAT,OR.PA,SLB,BLK,8031.T,ALV.DE,MS,BA,CBA.AX,SAN.PA,GS,TD.TO,GE,ISRG,VALE3.SA,MMM,DGE.L,AMT,AXP,HSBA.L,CAT,TGT,DE,AMD,CVS,MDLZ,BKNG,MO,CHTR,GSK.L,RIO.L,SU.PA,PNC,FIS,CSL.AX,SYK,HAL,ES,British American Tobacco PLC Sponsored ADR,SCHW,DAI.DE,NOW,SPGI,LRCX,AWK,EL,PLD,ADP,GILD,ZM,MU,SQ,9984.T,6861.T,ZTS,China Construction Bank Corporation Class H,DG.PA,TMUS,LMT,BNS.TO,NPN.JO,CCI,MMC,ANTM,USB,Infosys Limited Sponsored ADR,SHW,TJX,Sberbank Russia PJSC Sponsored ADR,AIR.PA,ENB,8306.T,BAM.A.TO,CSX,DTE.DE,CL,ECL,TFC,ITW,KER.PA,PPL.TO,CB,CI,BMO.TO,MRNA,NSC,BDX,SIKA.SW,WBC.AX,CME,6098.T,EQIX,WTRG,MELI,FCX,INVE B.ST,FISV,ADS.DE,NG.L,CNR.TO,UBER,ADSK,388.HK,RELIANCE.NS,7974.T,GM,4063.T,EMR,Compagnie Financiere Richemont SA,SRE,SNAP,NIO,ATVI,JCI,ZURN.SW,NESTE.HE,NXPI,6367.T,EW,RKT.L,WMB,9988.HK,SHOP,NOVO B.CO,BMTA.,INFY,SBRCY,ENB.TO,939.HK,SAN.MC,RITN.,ETN,VOW3.DE,ILMN,STATE STREET INSTITUTIONAL LIQ STATE STR,JD,4308.T,GIVN.SW,BX,BSX,GEN.,BNP.PA,GE.,PRX.AS,AON,A,BAM,ADI,8035.T,9433.T,7741.T,EL.PA,MET,CS.PA,NAB.AX,n/a,CFR.SW,TEN.MI,SUM
07/09/2021,3.57,2.97,2.37,1.25,1.18,1.17,0.8,0.78,0.76,0.68,0.68,0.63,0.62,0.6,0.59,0.54,0.54,0.53,0.52,0.5,0.49,0.47,0.47,0.46,0.44,0.41,0.39,0.39,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.820000000000014
07/12/2021,3.63,2.99,2.42,1.24,1.18,1.17,0.79,0.76,0.76,0.69,0.67,0.6,0.62,0.57,0.6,0.56,0.54,0.54,0.51,0.5,0.49,0.46,0.48,0.46,0.44,0.42,0.4,0.4,0.38,0.36,0.36,0.35,0.36,0.33,0.34,0.33,0.34,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.790000000000006
07/13/2021,3.63,2.99,2.42,1.24,1.18,1.17,0.79,0.76,0.76,0.69,0.67,0.6,0.62,0.57,0.6,0.56,0.54,0.54,0.51,0.5,0.49,0.46,0.48,0.46,0.44,0.42,0.4,0.4,0.38,0.36,0.36,0.35,0.36,0.33,0.34,0.33,0.34,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.790000000000006
07/14/2021,3.64,2.97,2.39,1.24,1.18,1.16,0.78,0.76,0.76,0.69,0.69,0.61,0.62,0.0,0.59,0.55,0.55,0.53,0.5,0.5,0.49,0.47,0.48,0.47,0.44,0.41,0.4,0.39,0.37,0.36,0.36,0.36,0.36,0.33,0.34,0.34,0.33,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.0,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.0,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.0,0.11,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.56,0.26,0.23,0.14,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.83000000000001
07/15/2021,3.61,2.94,2.38,1.25,1.18,1.17,0.79,0.77,0.79,0.68,0.69,0.6,0.61,0.0,0.6,0.55,0.54,0.53,0.5,0.5,0.49,0.48,0.49,0.49,0.45,0.41,0.39,0.39,0.37,0.36,0.36,0.36,0.35,0.33,0.34,0.34,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.0,0.27,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.0,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.11,0.1,0.0,0.11,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.56,0.26,0.22,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.84000000000001
07/16/2021,3.64,2.99,2.36,1.25,1.19,1.18,0.81,0.76,0.77,0.68,0.68,0.63,0.63,0.59,0.6,0.55,0.54,0.53,0.5,0.49,0.5,0.47,0.48,0.49,0.45,0.41,0.4,0.39,0.38,0.36,0.36,0.36,0.35,0.33,0.34,0.34,0.34,0.33,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.3,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.0,0.11,0.1,0.11,0.11,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.93000000000001
07/19/2021,3.72,3.0,2.34,1.22,1.19,1.18,0.83,0.72,0.75,0.68,0.69,0.64,0.64,0.6,0.6,0.54,0.55,0.54,0.51,0.5,0.51,0.46,0.48,0.49,0.46,0.41,0.4,0.39,0.39,0.37,0.36,0.35,0.35,0.33,0.35,0.34,0.35,0.33,0.31,0.33,0.33,0.32,0.32,0.32,0.32,0.3,0.31,0.29,0.29,0.28,0.29,0.29,0.27,0.27,0.28,0.25,0.28,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.16,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.1,0.1,0.1,0.0,0.11,0.11,0.1,0.0,0.0,0.0,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.04000000000001
07/20/2021,3.69,3.01,2.31,1.22,1.2,1.18,0.79,0.69,0.75,0.68,0.67,0.64,0.65,0.0,0.61,0.55,0.55,0.55,0.51,0.5,0.51,0.45,0.48,0.48,0.45,0.42,0.4,0.39,0.39,0.36,0.36,0.35,0.36,0.33,0.35,0.34,0.35,0.33,0.31,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.0,0.27,0.25,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.2,0.22,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.16,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.14,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.0,0.1,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.61,0.25,0.23,0.15,0.12,0.12,0.12,0.12,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.96
07/21/2021,3.69,3.01,2.31,1.22,1.2,1.18,0.79,0.69,0.75,0.68,0.67,0.64,0.65,0.0,0.61,0.55,0.55,0.55,0.51,0.5,0.51,0.45,0.48,0.48,0.45,0.42,0.4,0.39,0.39,0.36,0.36,0.35,0.36,0.33,0.35,0.34,0.35,0.33,0.31,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.0,0.27,0.25,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.2,0.22,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.16,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.14,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.0,0.1,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.61,0.25,0.23,0.15,0.12,0.12,0.12,0.12,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.96
07/22/2021,3.69,3.01,2.31,1.22,1.2,1.18,0.79,0.69,0.75,0.68,0.67,0.64,0.65,0.0,0.61,0.55,0.55,0.55,0.51,0.5,0.51,0.45,0.48,0.48,0.45,0.42,0.4,0.39,0.39,0.36,0.36,0.35,0.36,0.33,0.35,0.34,0.35,0.33,0.31,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.0,0.27,0.25,0.25,0.25,0.24,0.23,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.2,0.22,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.16,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.14,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.0,0.1,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.61,0.25,0.23,0.15,0.12,0.12,0.12,0.12,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.96
