,BABA,259960.KS,HEXA B.ST,9618.HK,AKAM,NET,EQIX,ADSK,AMZN,TSM,AAPL,U,RBLX,MSFT,GLXY.TO,QCOM,MTTR,SNAP,BSY,6758.T,PYPL,700.HK,NVDA,SE,COIN,TTWO,SWKS,AMD,035420.KS,005930.KS,ATVI,EA,LLNW,GOOG,PTC,FSLY,7974.T,INTC,NKE,DIS,PL,ADBE,SQ,LUMN,FGXXX,FB,MTTR US,SUM
02/01/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/02/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/03/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/04/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/07/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/08/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/09/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/10/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/11/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/14/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
