,WPM,POLY.L,PAAS,HL,010130.KS,SSRM,FR.TO,FRES.L,BVN,CDE,MAG.TO,PE&OLES.MX,SIL.TO,FVI.TO,EXK,SVM.TO,HOC.L,GGD.TO,AYA.TO,MUX,GATO,NUAG.TO,DSV.V,ADT AU,AXU,VOLCABC1 PE,SVL.AX,GPL,PRYM.V,USA.TO,GORO,ABRA.V,AUN.V,BCM.V,SVE.V,AUMN,IPT.V,CASH,AAU,AAG.V,EXN CN,FRESL.,B 08/12/21,EXN.TO,n/a,WPM.TO,PAAS.TO,B 0 08/12/21,BVN.,FRGXX,EDR.TO,ADT.AX,AXU.TO,VOLCABC1.,GPR.TO,SUM
07/09/2021,24.12,12.33,9.37,5.55,4.94,4.76,4.44,3.58,3.52,3.31,3.07,2.98,2.06,1.7,1.61,1.59,1.21,1.04,1.01,0.87,0.76,0.68,0.66,0.66,0.57,0.49,0.38,0.37,0.35,0.33,0.32,0.23,0.23,0.18,0.14,0.13,0.12,0.12,0.1,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,24.28,12.66,9.38,5.39,5.0,4.84,4.3,3.62,3.52,3.21,3.02,3.08,2.01,1.66,1.56,1.58,1.24,1.03,0.96,0.82,0.81,0.62,0.63,0.69,0.54,0.5,0.37,0.35,0.36,0.34,0.31,0.23,0.23,0.17,0.14,0.12,0.11,0.12,0.1,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/13/2021,24.28,12.66,9.38,5.39,5.0,4.84,4.3,3.62,3.52,3.21,3.02,3.08,2.01,1.66,1.56,1.58,1.24,1.03,0.96,0.82,0.81,0.62,0.63,0.69,0.54,0.5,0.37,0.35,0.36,0.34,0.31,0.23,0.23,0.17,0.14,0.12,0.11,0.12,0.1,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/14/2021,24.31,12.49,9.52,5.47,4.8,4.86,4.29,3.57,3.5,3.26,3.06,3.02,2.02,1.68,1.61,1.58,1.23,1.04,0.96,0.84,0.83,0.62,0.64,0.69,0.54,0.49,0.35,0.37,0.35,0.34,0.3,0.24,0.23,0.18,0.14,0.12,0.12,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,24.39,12.7,9.49,5.41,4.92,4.86,4.23,3.6,3.41,3.2,3.07,3.03,2.0,1.64,1.57,1.57,1.23,1.01,0.98,0.83,0.84,0.63,0.64,0.69,0.53,0.49,0.36,0.36,0.34,0.35,0.3,0.22,0.23,0.18,0.14,0.13,0.11,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,24.65,12.73,9.54,5.45,4.9,4.94,4.16,3.66,3.41,3.18,3.05,3.01,1.97,1.64,1.55,1.55,1.23,1.01,0.98,0.79,0.66,0.59,0.63,0.71,0.53,0.47,0.36,0.36,0.34,0.34,0.3,0.22,0.23,0.18,0.14,0.12,0.11,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,24.7,12.67,9.44,5.38,5.57,4.96,4.09,3.62,3.53,3.09,2.98,3.02,1.93,1.62,1.48,1.51,1.21,1.03,1.01,0.79,0.57,0.55,0.62,0.67,0.52,0.47,0.35,0.38,0.32,0.33,0.29,0.22,0.23,0.18,0.14,0.12,0.11,0.11,0.09,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,24.7,12.67,9.44,5.38,5.57,4.96,4.09,3.62,3.53,3.09,2.98,3.02,1.93,1.62,1.48,1.51,1.21,1.03,1.01,0.79,0.57,0.55,0.62,0.67,0.52,0.47,0.35,0.38,0.32,0.33,0.29,0.22,0.23,0.18,0.14,0.12,0.11,0.11,0.09,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,24.89,12.87,9.33,5.28,5.72,5.01,3.94,3.64,3.62,3.05,2.84,3.1,1.9,1.58,1.43,1.49,1.25,1.02,0.9,0.78,0.56,0.58,0.62,0.69,0.52,0.5,0.35,0.38,0.33,0.32,0.28,0.2,0.22,0.18,0.13,0.11,0.1,0.11,0.1,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,25.11,13.19,9.33,5.24,5.69,4.99,3.92,3.72,3.55,2.97,2.78,3.13,1.84,1.55,1.4,1.47,1.24,0.97,0.89,0.78,0.58,0.55,0.57,0.7,0.5,0.5,0.35,0.36,0.32,0.3,0.28,0.19,0.21,0.18,0.13,0.12,0.1,0.11,0.09,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,25.46,12.98,9.37,5.27,5.75,4.99,3.92,3.6,3.65,2.95,2.77,3.1,1.86,1.46,1.41,1.45,1.17,0.96,0.91,0.78,0.58,0.53,0.57,0.69,0.53,0.5,0.33,0.37,0.31,0.3,0.28,0.2,0.21,0.17,0.12,0.12,0.1,0.12,0.09,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/26/2021,25.14,12.57,9.41,5.31,6.0,4.9,3.99,3.51,3.62,2.98,2.83,3.13,2.0,1.47,1.43,1.47,1.2,0.97,0.94,0.77,0.6,0.53,0.61,0.74,0.52,0.5,0.33,0.38,0.33,0.31,0.28,0.2,0.2,0.16,0.12,0.12,0.11,0.12,0.09,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
