,XOM,CVX,PM,RTX,NEE,LMT,BMTA.DE,DGED.L,BUD,MO,BA,COP,DUK,NOC,SO,D,GD,LHX,AEP,SRE,EOG,EXC,STZ,XEL,PXD,ED,MPC,OXY,PEG,WEC,VLO,PSX,ES,DVN,BF.B,HES,LVS,TXT,FANG,MGM,TAP,CZR,FGXXX,CHDN,AXON,WYNN,CW,PENN,LNW,BYD,SPR,n/a,SUM
06/21/2022,8.64,6.68,6.52,5.73,5.2,4.65,4.05,3.99,3.78,3.53,3.38,2.95,2.89,2.73,2.65,2.24,2.21,1.83,1.7,1.66,1.56,1.5,1.47,1.31,1.2,1.16,1.14,1.13,1.1,1.09,1.08,1.03,1.01,0.92,0.87,0.71,0.6,0.53,0.52,0.42,0.39,0.33,0.33,0.26,0.24,0.24,0.19,0.19,0.18,0.16,0.12,0.0,99.99
08/15/2022,8.08,6.28,6.1,5.62,6.17,4.63,3.58,4.16,3.79,3.32,3.99,2.59,2.99,2.69,2.93,2.34,2.25,1.81,1.81,1.79,1.35,1.55,1.47,1.42,1.06,1.23,1.1,1.17,1.16,1.17,0.95,0.85,1.1,0.82,0.91,0.66,0.67,0.57,0.46,0.49,0.41,0.39,0.22,0.29,0.33,0.27,0.2,0.23,0.2,0.17,0.13,0.05,99.96999999999998
08/19/2022,7.99,6.19,6.15,5.67,6.13,4.62,3.56,4.04,3.68,3.29,3.95,2.67,2.96,2.71,2.87,2.36,2.3,1.82,1.83,1.8,1.36,1.56,1.47,1.42,1.1,1.22,1.09,1.18,1.18,1.16,0.94,0.87,1.1,0.85,0.91,0.67,0.69,0.57,0.46,0.5,0.4,0.41,0.22,0.3,0.34,0.27,0.21,0.24,0.21,0.17,0.14,0.21,100.00999999999999
