,FAB.,ETISALAT.,EMIRATESNBD.DB,ADCB.,ALDAR.,ADIB.,EMAAR.DB,DIB.DB,ADNOCDIS.,DIC.DB,AIRARABIA.DB,DANA.,DAMAC.DB,DFM.DB,AGTHIA.,ARMX.DB,WAHA.,AMANAT.DB,RAKPROP.,SHUAA.DB,LAM.L,UPP.DB,TABREED.DB,DSI.DB,ESHRAQ.,GGICO.DB,DEYAAR.DB,AMLAK.DB,XTSLA,EMAARMALLS.DB,EMAARDEV.DB,GBP,ARTC,NMC,AED,AGTHIA,WAHA,RAKPROP,ESHRAQ,HBCFT,MESU1,USD,ARTC.DB,SUM
07/09/2021,22.17,12.26,10.02,4.65,4.65,4.42,4.41,4.02,3.95,3.13,2.91,2.78,2.57,2.46,2.31,2.22,2.18,1.53,0.97,0.97,0.94,0.85,0.72,0.64,0.62,0.57,0.54,0.23,0.14,0.12,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,21.93,12.49,10.01,4.64,4.74,4.46,4.29,4.03,3.97,3.21,2.94,2.77,2.55,2.37,2.34,2.17,2.15,1.52,0.98,1.1,0.88,0.83,0.73,0.61,0.63,0.53,0.54,0.22,0.18,0.12,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,21.96,12.51,10.22,4.67,4.8,4.41,4.25,4.0,3.92,3.16,2.91,2.78,2.57,2.39,2.35,2.16,2.15,1.52,0.97,1.09,0.77,0.78,0.75,0.61,0.62,0.53,0.53,0.22,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,21.96,12.51,10.22,4.67,4.8,4.41,4.25,4.0,3.92,3.16,2.91,2.78,2.57,2.39,2.35,2.16,2.15,1.52,0.97,1.09,0.77,0.78,0.75,0.61,0.62,0.53,0.53,0.22,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,21.9,12.38,10.08,4.65,4.72,4.37,4.24,4.02,3.91,3.15,2.91,2.81,2.56,2.38,2.33,2.2,2.13,1.52,0.98,1.14,0.67,0.79,0.74,0.6,0.61,1.07,0.54,0.22,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,21.9,12.39,10.08,4.66,4.72,4.37,4.24,4.02,3.91,3.15,2.91,2.81,2.56,2.38,2.33,2.2,2.13,1.52,0.98,1.14,0.65,0.79,0.74,0.6,0.61,1.07,0.54,0.22,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,22.0,12.44,10.13,4.68,4.74,4.39,4.26,4.04,3.92,3.17,2.92,2.82,2.58,2.39,2.34,2.21,2.14,1.53,0.98,1.14,0.75,0.8,0.75,0.6,0.62,0.54,0.54,0.22,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/29/2021,21.79,12.54,10.22,4.64,4.7,4.4,4.21,4.0,3.94,3.12,2.91,2.92,2.47,2.37,2.34,2.15,2.15,1.74,1.03,1.15,0.82,0.81,0.75,0.6,0.61,0.53,0.53,0.21,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/30/2021,21.73,12.54,10.33,4.62,4.72,4.38,4.23,3.98,3.92,3.15,2.91,2.98,2.47,2.37,2.32,2.14,2.19,1.65,1.02,1.14,0.81,0.8,0.74,0.6,0.62,0.53,0.53,0.22,0.18,0.12,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/02/2021,21.8,12.39,10.09,4.72,4.78,4.41,4.19,3.99,3.87,3.12,2.89,2.92,2.47,2.33,2.31,2.0,2.16,1.64,1.06,1.21,0.78,0.79,0.72,0.59,0.61,1.04,0.52,0.25,0.18,0.11,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
