,LMT,RTX,BA,HON,GD,NOC,LHX,TDG,TXT,AXON,HWM,BAH,LDOS,CAE.TO,HII,HEI,J,ESLT,WWD,S9Q.,BWXT,HXL,TDY,CACI,OSK,BLL,AJRD,MRCY,KTOS,CW,MAXR,KBR,SAIC,MANT,TLS,AVAV,PSN,MOG.A,VSAT,AIR,TGI,ATI,FEYE,IRDM,OSIS,KAMN,PAE,PLTR,CMTL,DCO,RADA,VEC,AGPXX,Cash/Receivables/Payables,ESLT.TA,SPR,Vectrus Inc,Interest/Overdraft,Securities Lending - Bnym,n/a,603087.SS,CAE,MOG/A,KEYS,MNDT,SUM
07/09/2021,7.17,7.11,7.01,4.95,4.86,4.85,4.51,4.4,4.16,3.8,3.34,2.92,2.85,2.72,2.55,2.21,1.97,1.83,1.63,1.62,1.45,1.44,1.43,1.39,1.38,1.35,1.23,1.2,1.16,1.05,0.93,0.84,0.79,0.76,0.68,0.67,0.65,0.55,0.55,0.44,0.42,0.39,0.39,0.39,0.38,0.37,0.25,0.24,0.22,0.2,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/12/2021,7.17,7.07,7.03,5.02,4.89,4.85,4.55,4.38,4.13,3.79,3.34,2.94,2.91,2.68,2.52,2.2,1.99,1.82,1.62,1.65,1.44,1.43,1.43,1.4,1.39,1.38,1.2,1.2,1.15,1.04,0.85,0.87,0.8,0.77,0.65,0.67,0.66,0.55,0.57,0.44,0.42,0.42,0.39,0.38,0.38,0.36,0.25,0.22,0.21,0.2,0.2,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/13/2021,7.17,7.07,7.03,5.02,4.89,4.85,4.55,4.38,4.13,3.79,3.34,2.94,2.91,2.68,2.52,2.2,1.99,1.82,1.62,1.65,1.44,1.43,1.43,1.4,1.39,1.38,1.2,1.2,1.15,1.04,0.85,0.87,0.8,0.77,0.65,0.67,0.66,0.55,0.57,0.44,0.42,0.42,0.39,0.38,0.38,0.36,0.25,0.22,0.21,0.2,0.2,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/14/2021,7.17,7.07,7.03,5.02,4.89,4.85,4.55,4.38,4.13,3.79,3.34,2.94,2.91,2.68,2.52,2.2,1.99,0.0,1.62,0.0,1.44,1.43,1.43,1.4,1.39,1.38,1.2,1.2,1.15,1.04,0.84,0.86,0.8,0.77,0.65,0.67,0.66,0.55,0.57,0.44,0.42,0.42,0.38,0.38,0.38,0.36,0.25,0.22,0.21,0.2,0.19,0.0,0.0,0.0,1.82,1.65,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,7.12,7.08,7.02,5.05,4.88,4.85,4.57,4.35,4.16,3.84,3.35,2.95,2.92,2.64,2.51,2.16,2.01,1.8,1.62,1.61,1.43,1.44,1.43,1.4,1.41,1.39,1.2,1.19,1.14,1.05,0.84,0.87,0.8,0.78,0.68,0.66,0.67,0.56,0.56,0.44,0.42,0.42,0.38,0.39,0.38,0.36,0.25,0.22,0.21,0.2,0.2,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,7.18,7.09,6.8,5.09,4.93,4.86,4.63,4.37,4.13,3.93,3.29,2.98,2.95,2.56,2.51,2.15,2.0,1.83,1.61,1.56,1.45,1.4,1.49,1.42,1.39,1.39,1.21,1.22,1.12,1.03,0.86,0.87,0.8,0.79,0.67,0.67,0.67,0.55,0.56,0.43,0.4,0.41,0.38,0.38,0.38,0.36,0.25,0.22,0.21,0.2,0.2,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,7.25,7.13,6.7,5.33,4.99,4.86,4.66,4.32,4.18,3.78,3.27,3.03,3.0,2.53,2.52,2.13,2.01,1.85,1.61,1.51,1.44,1.36,1.5,1.44,1.38,1.42,1.24,1.2,1.09,1.03,0.8,0.88,0.81,0.79,0.65,0.65,0.65,0.54,0.56,0.43,0.4,0.41,0.37,0.37,0.38,0.36,0.26,0.21,0.2,0.2,0.2,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07000000000002
07/20/2021,7.28,7.05,6.59,5.31,5.02,4.88,4.69,4.33,4.17,3.81,3.21,3.05,3.04,2.54,2.53,2.14,2.01,0.0,1.59,0.0,1.45,1.36,1.5,1.46,1.35,1.44,1.25,1.22,1.08,1.02,0.82,0.88,0.82,0.8,0.63,0.65,0.66,0.54,0.56,0.44,0.37,0.4,0.37,0.37,0.38,0.35,0.27,0.21,0.2,0.2,0.21,0.0,0.0,0.0,1.86,1.48,0.18,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,7.28,7.05,6.59,5.31,5.02,4.88,4.69,4.33,4.17,3.81,3.21,3.05,3.04,2.54,2.53,2.14,2.01,0.0,1.59,0.0,1.45,1.36,1.5,1.46,1.35,1.44,1.25,1.22,1.08,1.02,0.82,0.88,0.82,0.8,0.63,0.65,0.66,0.54,0.56,0.44,0.37,0.4,0.37,0.37,0.38,0.35,0.27,0.21,0.2,0.2,0.21,0.0,0.0,0.0,1.86,1.48,0.18,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,7.28,7.05,6.59,5.31,5.02,4.88,4.69,4.33,4.17,3.81,3.21,3.05,3.04,2.54,2.53,2.14,2.01,0.0,1.59,0.0,1.45,1.36,1.5,1.46,1.35,1.44,1.25,1.22,1.08,1.02,0.82,0.88,0.82,0.8,0.63,0.65,0.66,0.54,0.56,0.44,0.37,0.4,0.37,0.37,0.38,0.35,0.27,0.21,0.2,0.2,0.21,0.0,0.0,0.0,1.86,1.48,0.18,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,7.29,7.12,6.54,5.27,5.01,4.81,4.7,4.33,4.2,3.94,3.22,3.03,2.99,2.51,2.55,2.17,2.0,1.81,1.61,1.49,1.47,1.36,1.49,1.46,1.36,1.41,1.24,1.23,1.1,1.02,0.78,0.89,0.81,0.79,0.61,0.67,0.66,0.54,0.57,0.43,0.38,0.39,0.38,0.41,0.37,0.35,0.27,0.22,0.2,0.2,0.21,0.18,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,7.23,7.15,6.59,5.29,4.98,4.76,4.67,4.36,4.23,3.9,3.24,2.99,2.97,2.71,2.52,2.15,1.99,0.0,1.59,0.0,1.44,1.36,1.5,1.45,1.36,1.36,1.23,1.21,1.1,1.02,0.84,0.87,0.79,0.77,0.58,0.66,0.65,0.53,0.57,0.43,0.4,0.39,0.38,0.41,0.36,0.34,0.27,0.21,0.2,0.2,0.21,0.0,0.1,0.0,1.8,1.52,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,7.22,7.12,6.59,5.2,5.0,4.77,4.68,4.35,4.21,3.94,3.23,3.01,2.99,2.73,2.53,2.13,2.01,0.0,1.6,0.0,1.44,1.36,1.5,1.46,1.37,1.32,1.23,1.21,1.11,1.02,0.82,0.88,0.8,0.78,0.57,0.66,0.65,0.54,0.57,0.43,0.41,0.38,0.37,0.4,0.37,0.34,0.26,0.21,0.2,0.2,0.21,0.0,0.1,0.0,1.81,1.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/28/2021,7.22,7.12,6.59,5.2,5.0,4.77,4.68,4.35,4.21,3.94,3.23,3.01,2.99,2.73,2.53,2.13,2.01,0.0,1.6,0.0,1.44,1.36,1.5,1.46,1.37,1.32,1.23,1.21,1.11,1.02,0.82,0.88,0.8,0.78,0.57,0.66,0.65,0.54,0.57,0.43,0.41,0.38,0.37,0.4,0.37,0.34,0.26,0.21,0.2,0.2,0.21,0.0,0.1,0.0,1.81,1.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,6.98,7.14,6.72,5.2,5.0,4.73,4.65,4.37,4.21,3.92,3.24,3.01,2.99,2.69,2.55,2.13,2.0,0.0,1.62,0.0,1.44,1.41,1.5,1.46,1.37,1.34,1.21,1.21,1.13,1.02,0.84,0.88,0.8,0.78,0.56,0.65,0.65,0.54,0.57,0.43,0.41,0.4,0.38,0.4,0.37,0.35,0.26,0.21,0.22,0.2,0.21,0.0,0.1,0.0,1.82,1.54,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/30/2021,7.08,7.3,6.59,5.2,5.04,4.77,4.68,4.35,4.23,3.88,3.26,3.0,2.99,2.7,2.53,2.12,2.0,0.0,1.6,0.0,1.43,1.38,1.49,1.45,1.37,1.34,1.2,1.19,1.11,1.01,0.81,0.87,0.79,0.77,0.57,0.66,0.65,0.54,0.57,0.42,0.41,0.4,0.37,0.39,0.38,0.34,0.26,0.21,0.21,0.2,0.21,0.0,0.1,0.0,1.9,1.53,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/02/2021,6.97,7.18,6.8,5.2,5.09,4.77,4.64,4.34,4.23,3.96,3.26,2.97,2.97,2.68,2.54,2.11,2.02,0.0,1.62,0.0,1.42,1.31,1.49,1.44,1.34,1.32,1.19,1.19,1.12,1.02,0.83,0.86,0.79,0.78,0.59,0.68,0.64,0.54,0.58,0.43,0.41,0.41,0.37,0.4,0.38,0.34,0.25,0.21,0.22,0.2,0.21,0.0,0.1,0.0,1.9,1.54,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,7.02,7.19,6.71,5.28,5.09,4.78,4.65,4.29,4.25,3.99,3.26,2.87,2.98,2.67,2.53,2.11,2.02,1.89,1.62,1.51,1.43,1.28,1.52,1.45,1.36,1.33,1.21,1.2,1.12,1.03,0.87,0.86,0.79,0.78,0.59,0.69,0.64,0.52,0.56,0.42,0.4,0.4,0.37,0.41,0.38,0.34,0.25,0.21,0.22,0.2,0.21,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,7.02,7.19,6.71,5.28,5.09,4.78,4.65,4.29,4.25,3.99,3.26,2.87,2.98,2.67,2.53,2.11,2.02,1.89,1.62,1.51,1.43,1.28,1.52,1.45,1.36,1.33,1.21,1.2,1.12,1.03,0.87,0.86,0.79,0.78,0.59,0.69,0.64,0.52,0.56,0.42,0.4,0.4,0.37,0.41,0.38,0.34,0.25,0.21,0.22,0.2,0.21,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,6.98,7.18,6.7,5.26,5.1,4.78,4.65,4.27,4.31,4.08,3.26,2.87,3.01,2.65,2.52,2.09,2.0,1.89,1.63,1.51,1.42,1.3,1.53,1.46,1.34,1.34,1.21,1.19,1.11,1.03,0.86,0.87,0.79,0.78,0.61,0.69,0.64,0.51,0.55,0.41,0.4,0.38,0.37,0.41,0.38,0.34,0.25,0.21,0.22,0.2,0.2,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/09/2021,6.94,7.31,6.93,5.28,5.2,4.8,4.83,4.26,4.49,4.23,3.2,2.79,2.69,2.73,2.56,2.1,1.95,1.94,1.56,1.46,1.33,1.35,1.55,1.39,1.31,1.35,1.21,1.05,1.03,1.07,0.71,0.86,0.76,0.77,0.61,0.71,0.56,0.52,0.6,0.41,0.39,0.38,0.37,0.44,0.38,0.32,0.24,0.22,0.23,0.2,0.2,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/12/2021,6.92,7.31,6.98,5.23,5.2,4.82,4.76,4.27,4.52,4.19,3.18,2.74,2.66,2.75,2.57,2.05,1.97,1.93,1.51,1.48,1.37,1.34,1.56,1.38,1.33,1.46,1.2,1.03,1.04,1.05,0.78,0.85,0.76,0.76,0.61,0.72,0.58,0.5,0.61,0.4,0.4,0.38,0.33,0.43,0.38,0.33,0.23,0.22,0.23,0.2,0.2,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
