,2SPY  220531C00003360,2SPY  220531P00420040,Cash&Other,2SPY  220531P00357030,2SPY  220531C00452680,SUM
07/09/2021,99.73,6.0,0.73,-2.73,-3.74,99.99
07/12/2021,100.3,5.67,0.72,-2.63,-4.07,99.99
07/13/2021,100.3,5.67,0.72,-2.63,-4.07,99.99
07/14/2021,100.3,5.67,0.72,-2.63,-4.07,99.99
07/15/2021,100.48,5.65,0.72,-2.61,-4.24,100.0
07/16/2021,100.28,5.88,0.72,-2.74,-4.14,100.0
07/19/2021,100.08,6.01,0.72,-2.78,-4.04,99.99
07/20/2021,99.66,6.37,0.72,-2.99,-3.75,100.01
07/21/2021,99.66,6.37,0.72,-2.99,-3.75,100.01
07/22/2021,98.89,7.03,0.69,-3.31,-3.31,99.99
07/23/2021,99.77,6.31,0.7,-2.98,-3.79,100.01
07/26/2021,100.31,5.87,0.68,-2.72,-4.15,99.99
07/27/2021,101.06,5.47,0.68,-2.56,-4.66,99.99
07/28/2021,101.06,5.47,0.68,-2.56,-4.66,99.99
07/29/2021,101.25,5.42,0.68,-2.54,-4.82,99.99
07/30/2021,100.95,5.63,0.69,-2.65,-4.63,99.99
08/02/2021,100.95,5.48,0.69,-2.52,-4.6,100.0
08/03/2021,100.77,5.61,0.68,-2.57,-4.5,99.99
08/04/2021,100.77,5.61,0.68,-2.57,-4.5,99.99
08/05/2021,100.62,5.74,0.68,-2.66,-4.39,99.99
08/06/2021,101.15,5.29,0.66,-2.44,-4.67,99.99
08/10/2021,101.27,5.11,0.65,-2.32,-4.71,100.0
08/11/2021,101.27,5.11,0.65,-2.32,-4.71,100.0
08/12/2021,101.22,5.21,0.65,-2.38,-4.7,100.0
08/13/2021,101.22,5.22,0.65,-2.36,-4.73,100.0
08/16/2021,101.62,4.94,0.64,-2.23,-4.98,99.99
08/17/2021,101.76,4.9,0.63,-2.22,-5.07,100.0
08/18/2021,101.76,4.9,0.63,-2.22,-5.07,100.0
08/19/2021,101.97,4.83,0.63,-2.17,-5.26,100.0
08/20/2021,101.46,5.19,0.63,-2.36,-4.92,100.0
08/23/2021,101.06,5.66,0.62,-2.64,-4.71,99.99
08/24/2021,101.54,5.21,0.63,-2.4,-4.97,100.01
08/25/2021,101.54,5.21,0.63,-2.4,-4.97,100.01
08/26/2021,102.08,4.83,0.63,-2.22,-5.32,100.0
08/27/2021,102.17,4.86,0.62,-2.26,-5.41,99.98
08/30/2021,102.01,4.99,0.63,-2.32,-5.32,99.99
08/31/2021,102.48,4.61,0.62,-2.07,-5.64,100.0
09/01/2021,102.48,4.61,0.62,-2.07,-5.64,100.0
09/02/2021,102.84,4.45,0.62,-2.03,-5.89,99.99
09/03/2021,102.85,4.49,0.62,-2.06,-5.9,100.0
09/06/2021,102.92,4.41,0.61,-1.98,-5.96,100.0
09/07/2021,102.99,4.43,0.61,-2.02,-6.0,100.01
09/08/2021,102.99,4.43,0.61,-2.02,-6.0,100.01
09/09/2021,102.99,4.43,0.61,-2.02,-6.0,100.01
09/10/2021,102.79,4.64,0.6,-2.16,-5.88,99.99
09/13/2021,102.4,4.86,0.6,-2.25,-5.62,99.99
09/14/2021,102.02,5.08,0.6,-2.37,-5.33,100.0
09/15/2021,102.02,5.08,0.6,-2.37,-5.33,100.0
09/16/2021,102.1,4.95,0.59,-2.32,-5.32,100.0
09/17/2021,101.65,5.11,0.59,-2.38,-4.97,100.00000000000001
