,912810SU3,91282CBL4,91282CBZ3,91282CBW0,91282CBV2,SPY   211217C00324000,SPY   220617C00375000,91282CBX8,Cash&Other,T 1.875 02/15/51,T 1.125 02/15/31,T 1.25 04/30/28,T 0.75 04/30/26,T 0.375 04/15/24,T 0.125 04/30/23,T 1.875 02.15.51,T 1.125 02.15.31,T 0.375 04.15.24,T 1.25 04.30.28,T 0.75 04.30.26,T 0.125 04.30.23,SUM
07/09/2021,19.88,15.79,15.66,15.55,15.52,8.98,5.5,2.64,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,0.0,0.0,0.0,0.0,9.15,5.65,0.0,0.55,19.84,15.71,15.58,15.46,15.43,2.62,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,0.0,0.0,0.0,0.0,0.0,9.15,5.65,0.0,0.55,19.84,15.71,15.58,15.46,15.43,2.62,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,0.0,0.0,0.0,0.0,0.0,9.15,5.65,0.0,0.55,19.84,15.71,15.58,15.46,15.43,2.62,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,0.0,0.0,0.0,0.0,0.0,9.26,5.76,0.0,0.55,19.76,15.68,15.55,15.43,15.4,2.62,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,19.67,15.7,15.59,15.48,15.46,9.2,5.72,0.0,0.55,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,0.0,0.0,0.0,0.0,9.04,5.6,0.0,0.5,17.94,15.76,15.59,15.43,15.38,4.75,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,18.0,15.84,15.66,15.51,15.46,8.84,5.44,4.78,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,18.0,15.84,15.66,15.51,15.46,8.84,5.44,0.0,0.48,0.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,0.0,0.0,0.0,0.0,0.0,8.4,5.11,0.0,0.48,18.46,15.99,15.76,15.56,15.47,4.78,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
