,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,Ishares Msci Japan (Ewj) Swap Credit Suisse International,Ishares Msci Japan (Ewj) Swap Goldman Sachs International,Ishares Msci Japan (Ewj) Swap Societe Generale,Ishares Msci Japan (Ewj) Swap Ubs Ag,Ishares Msci Japan (Ewj) Swap Bank Of America Na,Ishares Msci Japan (Ewj) Swap Morgan Stanley & Co. International Plc,Ishares Msci Japan (Ewj) Swap Citibank Na,Ishares Msci Japan (Ewj) Swap Citibank Na - Cash Offset,Ishares Msci Japan (Ewj) Swap Morgan Stanley & Co. International Plc - Cash,Ishares Msci Japan (Ewj) Swap Bank Of America Na - Cash Offset,Ishares Msci Japan (Ewj) Swap Ubs Ag - Cash Offset,Ishares Msci Japan (Ewj) Swap Societe Generale - Cash Offset,Ishares Msci Japan (Ewj) Swap Goldman Sachs International - Cash Offset,Ishares Msci Japan (Ewj) Swap Credit Suisse International - Cash Offset,SUM
07/09/2021,100.0,66.77,45.84,32.56,27.13,25.34,2.48,0.16,-0.16,-2.48,-25.34,-27.13,-32.56,-45.84,-66.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,45.84,32.56,27.13,25.34,2.48,0.16,-0.16,-2.48,-25.34,-27.13,-32.56,-45.84,-66.77,99.99999999999996
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,45.84,32.56,27.13,25.34,2.48,0.16,-0.16,-2.48,-25.34,-27.13,-32.56,-45.84,-66.77,99.99999999999996
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,45.84,32.56,27.13,25.34,2.48,0.16,-0.16,-2.48,-25.34,-27.13,-32.56,-45.84,-66.77,99.99999999999996
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,45.84,32.56,27.13,25.34,2.48,0.16,-0.16,-2.48,-25.34,-27.13,-32.56,-45.84,-66.77,99.99999999999996
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.77,45.84,32.56,27.13,25.34,2.48,0.16,-0.16,-2.48,-25.34,-27.13,-32.56,-45.84,-66.77,99.99999999999996
