,Dj U.S. Utilities Index Swap Bank Of America Na,Dj U.S. Utilities Index Swap Ubs Ag,Ishares U.S. Utilities (Idu) Swap Bank Of America Na,Cash,Dj U.S. Utilities Index Swap Societe Generale,NEE,DUK,Dj U.S. Utilities Index Swap Morgan Stanley & Co. International Plc,SO,D,Ishares U.S. Utilities (Idu) Swap Morgan Stanley & Co. International Plc,EXC,AEP,SRE,XEL,PEG,WEC,AWK,ES,DTE,ED,EIX,PPL,AEE,FE,ETR,AES,CMS,PCG,CNP,LNT,EVRG,ATO,WTRG,NRG,UGI,NI,PNW,VST,MDU,IDA,NFG,HE,PNM,POR,BKH,OGS,SWX,NJR,SR,ALE,AGR,NWE,AVA,Ishares U.S. Utilities (Idu) Swap Morgan Stanley & Co. International Plc -,Dj U.S. Utilities Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Utilities Index Swap Societe Generale - Cash Offset,Ishares U.S. Utilities (Idu) Swap Bank Of America Na - Cash Offset,Dj U.S. Utilities Index Swap Ubs Ag - Cash Offset,Dj U.S. Utilities Index Swap Bank Of America Na - Cash Offset,SUM
07/09/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
07/12/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
07/13/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
07/14/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
07/15/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
07/16/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
07/19/2021,45.48,26.45,25.8,24.31,18.22,10.91,5.77,5.33,4.86,4.51,3.56,3.29,3.21,3.17,2.69,2.29,2.13,2.12,2.09,1.91,1.87,1.67,1.63,1.55,1.54,1.52,1.32,1.3,1.15,1.08,1.06,1.05,0.95,0.78,0.75,0.73,0.73,0.7,0.68,0.48,0.37,0.36,0.35,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.23,0.22,-3.56,-5.33,-18.22,-25.8,-26.45,-45.48,99.98000000000002
