,VZ 2.55 03.21.31,ORAFP 8.5 03.01.31,ORCL 2.875 03.25.31,T 2.75 06.01.31,AMZN 2.1 05.12.31,ALLY 8 11.01.31 *,AAPL 1.65 02.08.31,DIS 2.65 01.13.31,MBGGR 8.5 01.18.31,CNC 2.5 03.01.31,VZ 1.75 01.20.31,MRK 2.15 12.10.31,WMT 1.8 09.22.31,PCG 2.5 02.01.31,CMCSA 1.5 02.15.31,CHTR 2.8 04.01.31,NOMURA 2.608 07.14.31,HON 1.75 09.01.31,SUMIBK 2.222 09.17.31,UNH 2.3 05.15.31,LOW 2.625 04.01.31,MIZUHO 2.564 09.13.31,WMB 2.6 03.15.31,BA 3.625 02.01.31,CI 2.375 03.15.31,CRM 1.95 07.15.31,RY 2.3 11.03.31 GMTN,CMCSA 1.95 01.15.31,PARA 4.95 01.15.31,VMW 2.2 08.15.31,CP 2.45 12.02.31,BXP 3.25 01.30.31,AMGN 2.3 02.25.31,NVDA 2 06.15.31,PEP 1.95 10.21.31,INTC 2 08.12.31,BLK 1.9 01.28.31,FIS 2.25 03.01.31,CNC 2.625 08.01.31,CVS 1.875 02.28.31,BATSLN 2.726 03.25.31,TDY 2.75 04.01.31,KO 1.375 03.15.31,HD 1.375 03.15.31,TMO 2 10.15.31,MAR 2.85 04.15.31 HH,CCI 2.25 01.15.31,ANTM 2.55 03.15.31,CDWC 3.569 12.01.31,EXPE 2.95 03.15.31,ABC 2.7 03.15.31,BG 2.75 05.14.31,ADI 2.1 10.01.31,DUK 2.55 06.15.31,FDX 2.4 05.15.31,BR 2.6 05.01.31,TRPCN 2.5 10.12.31,O 3.25 01.15.31,D 2.25 08.15.31 C,PFE 1.75 08.18.31,TMUS 2.875 02.15.31,PXD 2.15 01.15.31,AES 2.45 01.15.31,EQIX 2.5 05.15.31,AAPL 1.7 08.05.31,JEF 2.625 10.15.31,ADSK 2.4 12.15.31,CVS 2.125 09.15.31,STZ 2.25 08.01.31,BDX 1.957 02.11.31,GM 2.7 06.10.31,GM 2.35 01.08.31,CCI 2.1 04.01.31,MPW 3.5 03.15.31,AMCR 2.69 05.25.31,FANG 3.125 03.24.31,DUK 7.75 03.01.31,K 7.45 04.01.31 B,ABIBB 4.9 01.23.31,STT 2.2 03.03.31,AEE 3.5 01.15.31,MSI 2.75 05.24.31,A 2.3 03.12.31,HES 7.3 08.15.31,ARE 3.375 08.15.31,OVV 7.375 11.01.31,HCA 2.375 07.15.31,SCHW 1.95 12.01.31,UNP 2.375 05.20.31,CARR 2.7 02.15.31,WELL 2.8 06.01.31,EBAY 2.6 05.10.31,PG 1.95 04.23.31,OMC 2.6 08.01.31,MRVL 2.95 04.15.31,EMR 2.2 12.21.31,GPN 2.9 11.15.31,MA 2 11.18.31,PEG 2.45 11.15.31,VRSN 2.7 06.15.31,KMI 7.8 08.01.31 GMTN,SUI 2.7 07.15.31,EXP 2.5 07.01.31,SBRA 3.2 12.01.31,EFX 2.35 09.15.31,HD 1.875 09.15.31,APH 2.2 09.15.31,LDOS 2.3 02.15.31,UNANA 1.75 08.12.31,GLPI 4 01.15.31,HTA 2 03.15.31,WM 1.5 03.15.31,V 1.1 02.15.31,AZN 2.25 05.28.31,ED 2.4 06.15.31,SCHW 2.3 05.13.31,KO 2 03.05.31,ZBH 2.6 11.24.31,OHI 3.375 02.01.31,AMT 2.7 04.15.31,SPG 2.2 02.01.31,CCI 2.5 07.15.31,MLM 2.4 07.15.31,SYF 2.875 10.28.31,BRO 2.375 03.15.31,EA 1.85 02.15.31,PEP 1.4 02.25.31,KMI 2 02.15.31,AMT 2.3 09.15.31,COP 7.2 08.15.31,DVN 7.875 09.30.31,PEAK 2.875 01.15.31,AVB 2.45 01.15.31 MTN,WELL 2.75 01.15.31,DUK 2.4 12.15.31,DE 2 06.17.31 MTN,EXC 2.25 06.15.31,DLTR 2.65 12.01.31,PRI 2.8 11.19.31,KMB 2 11.02.31,EL 1.95 03.15.31,DUK 2 08.15.31,ETR 2.4 06.15.31,OFC 2.75 04.15.31,VNT 2.95 04.01.31,FNF 2.45 03.15.31,MCO 2 08.19.31,LSI 2.4 10.15.31,DE 1.45 01.15.31,RTX 1.9 09.01.31,FAF 2.4 08.15.31,LHX 1.8 01.15.31,ETR 1.75 03.15.31,OKE 6.35 01.15.31,BAX 1.73 04.01.31,ROP 1.75 02.15.31,ECL 1.3 01.30.31,KSS 3.375 05.01.31,DUK 2.55 04.15.31,COP 7.25 10.15.31,DGX 2.8 06.30.31,AEP 2.7 04.01.31 AA,CNP 2.65 06.01.31,XYL 2.25 01.30.31,AWK 2.3 06.01.31,CAT 1.9 03.12.31,PSA 2.25 11.09.31,D 2.3 11.15.31,IEX 2.625 06.15.31,TXT 2.45 03.15.31,ORIX 2.25 03.09.31,XEL 1.875 06.15.31,HNDA 1.8 01.13.31 MTN,TOYOTA 1.65 01.10.31 MTN,SCHW 1.65 03.11.31,BC 2.4 08.18.31,NI 1.7 02.15.31,STLD 3.25 01.15.31,AGO 3.15 06.15.31,DTE 2.625 03.01.31 C,BWP 3.4 02.15.31,TOYOTA 2.362 03.25.31,AAT 3.375 02.01.31,NSC 2.3 05.15.31,MA 1.9 03.15.31,LH 2.7 06.01.31,PSA 2.3 05.01.31,JBL 3 01.15.31,VLO 2.8 12.01.31,AON 2.6 12.02.31,NFG 2.95 03.01.31,VTR 2.5 09.01.31,ILMN 2.55 03.23.31,WPC 2.4 02.01.31,CBG 2.5 04.01.31,GIS 2.25 10.14.31,SWKS 3 06.01.31,TOYOTA 1.9 09.12.31,KIM 2.25 12.01.31,BK 1.65 01.28.31 MTN,COP 7.4 12.01.31,SUM
04/11/2022,2.07,1.82,1.57,1.49,1.48,1.33,1.32,1.24,1.14,1.04,1.03,0.97,0.95,0.9,0.8,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.73,0.72,0.72,0.71,0.7,0.7,0.65,0.62,0.61,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.54,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.0,93.52
04/14/2022,2.06,1.82,1.56,1.49,1.48,1.32,1.31,1.24,1.14,1.03,1.02,0.97,0.95,0.9,0.8,0.75,0.76,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.7,0.7,0.65,0.61,0.61,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.58,0.58,0.58,0.56,0.54,0.52,0.51,0.51,0.5,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.0,0.22,93.51
