,B 0 02.23.23,T 1.5 02.29.24,B 0 01.26.23,T 1.5 02.15.25,B 0 05.12.22,B 0 07.14.22,B 0 08.18.22,B 0 09.08.22,WIB 0 10.06.22,B 0 11.03.22,B 0 12.01.22,n/a,B 0 04.14.22,B 0 06.16.22,KHC 3.875 05.15.27,KHC 3 06.01.26,HCA 3.5 09.01.30,AAPL 3.25 02.23.26,ABBV 3.6 05.14.25,BAC 3.3 01.11.23 GMTN,V 3.15 12.14.25,AAPL 2.4 05.03.23,GS 3.5 04.01.25,BAC V3.004 12.20.23,ABBV 2.6 11.21.24,C V3.106 04.08.26,MSFT 2.4 08.08.26,ABBV 2.95 11.21.26,ABBV 3.2 11.21.29,WFC 3 04.22.26,WFC 3 10.23.26,BAC V3.419 12.20.28,ORCL 2.5 04.01.25,BATSLN 3.557 08.15.27,JPM V2.083 04.22.26,WFC V2.879 10.30.30 MTN,VZ 3.4 03.22.41,FCX 5.45 03.15.43,MSFT 2.921 03.17.52,JPM V2.739 10.15.30,BA 2.196 02.04.26,WFC V2.393 06.02.28 MTN,MS V2.699 01.22.31 GMTN,BAC V3.311 04.22.42,VZ 2.55 03.21.31,MS V1.593 05.04.27,JPM V1.578 04.22.27,BAC V1.734 07.22.27,CLR 5.75 01.15.31 144A,BAC V2.496 02.13.31 MTN,BAC V2.687 04.22.32,JPM V2.58 04.22.32,KHC 5.2 07.15.45,C V2.572 06.03.31,GS V2.615 04.22.32,DAL 7.375 01.15.26,WFC V3.068 04.30.41,HCA 5.625 09.01.28,KHC 5 06.04.42,MSFT 2.675 06.01.60,KHC 4.875 10.01.49,HCA 5.875 02.15.26,T 3.8 12.01.57,ORCL 3.6 04.01.50,HCA 5.375 02.01.25,MSFT 2.525 06.01.50,ORCL 3.85 04.01.60,WDC 4.75 02.15.26,BAC V2.676 06.19.41 MTN,KHC 4.375 06.01.46,KHC 7.125 08.01.39,BA 5.15 05.01.30,AAPL 3.85 05.04.43,JPM V4.493 03.24.31,T 4.3 02.15.30 *,T 4.35 03.01.29,VZ 4.329 09.21.28,CI 4.375 10.15.28,BAC V4.083 03.20.51 MTN,CMCSA 4.15 10.15.28,VOD 4.375 05.30.28,MS V4.431 01.23.30 GMTN,RTX 4.125 11.16.28,C V4.412 03.31.31,VZ 4.016 12.03.29,ABBV 4.05 11.21.39,VZ 4.125 03.16.27,JPM V3.964 11.15.48,BA 4.875 05.01.25,C 4.45 09.29.27,BAC V4.271 07.23.29 MTN,MSFT 3.3 02.06.27,GS V4.223 05.01.29,MS 3.875 01.27.26 GMTN,BAC V3.974 02.07.30 MTN,AMZN 3.15 08.22.27,ABIBB 3.65 02.01.26 *,VZ 3.55 03.22.51,VZ 3.7 03.22.61,PFE 7.2 03.15.39,JPM V3.328 04.22.52,ORAFP 8.5 03.01.31,AVGO 3.137 11.15.35 144A,BRITEL 9.625 12.15.30,AVGO 3.187 11.15.36 144A,ABT 4.9 11.30.46,DT 8.25 06.15.30,GSK 6.375 05.15.38,RDSALN 6.375 12.15.38,AZN 6.45 09.15.37,WFC V5.013 04.04.51 MTN,AAPL 4.65 02.23.46,JPM 6.4 05.15.38,ABIBB 5.55 01.23.49,GS 6.25 02.01.41,T 3.5 09.15.53,BA 5.805 05.01.50,BA 5.93 05.01.60,T 3.55 09.15.55,T 2.55 12.01.33,T 3.65 09.15.59,CVS 5.05 03.25.48,HD 5.875 12.16.36,GS 6.75 10.01.37,VOD 5.25 05.30.48,CVS 5.125 07.20.45,CI 4.9 12.15.48,VZ 4.862 08.21.46,BA 5.705 05.01.40,V 4.3 12.14.45,AMGN 4.663 06.15.51,RTX 4.5 06.01.42,BMY 4.25 10.26.49,AMZN 4.05 08.22.47,CVS 4.78 03.25.38,RDSALN 4.375 05.11.45,DELL 6.02 06.15.26,ABIBB 4.9 02.01.46 *,ABBV 4.25 11.21.49,CMCSA 2.937 11.01.56 144A,VZ 4.5 08.10.33,ABIBB 4.75 01.23.29,ABIBB 4.7 02.01.36 *,T 2.25 05.15.41,CMCSA 2.887 11.01.51 144A,COP 4.025 03.15.62 144A,T 2.375 05.15.51,T 1.625 05.15.31,GE 6.75 03.15.32 MTNA,CVS 4.3 03.25.28,BMY 3.4 07.26.29,KHC 4.25 03.01.31,CMCSA 4.7 10.15.48,CMCSA 4.6 10.15.38,COP 6.5 02.01.39,AAL 5.5 04.20.26 144A,AAL 5.75 04.20.29 144A,CQP 4 03.01.31,RCL 5.5 04.01.28 144A,SBAC 3.125 02.01.29 144A,B 0 10.06.22,WIB 0 12.01.22,CMCSA 2.937 11.01.56,CMCSA 2.887 11.01.51,SBAC 3.125 02.01.29,SUM
04/06/2022,9.02,8.87,8.81,8.77,5.86,3.57,3.56,3.56,3.55,3.55,3.54,2.29,1.79,1.78,0.44,0.42,0.41,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.12,0.12,0.11,0.08,0.07,0.05,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,99.99
06/01/2022,5.23,5.17,5.26,5.16,0.0,2.12,2.11,2.11,0.0,2.11,0.0,10.38,0.0,1.05,0.6,0.59,0.57,0.5,0.49,0.48,0.49,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.47,0.46,0.46,0.44,0.44,0.47,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.43,0.45,0.45,0.47,0.43,0.45,0.44,0.44,0.43,0.45,0.43,0.42,0.45,0.43,0.42,0.44,0.42,0.41,0.4,0.38,0.38,0.39,0.21,0.21,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.37,0.38,0.37,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.35,0.34,0.35,0.33,0.34,0.33,0.34,0.33,0.34,0.32,0.32,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.34,0.32,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.33,0.32,0.33,0.09,0.32,0.28,0.07,0.11,0.28,0.29,0.26,0.25,0.23,0.22,0.2,0.19,0.19,0.2,0.19,0.19,2.11,2.1,0.0,0.0,0.0,99.95
07/06/2022,5.34,5.26,5.36,5.25,0.0,2.17,2.16,2.16,0.0,2.16,2.15,11.68,0.0,0.0,0.61,0.59,0.54,0.5,0.5,0.49,0.5,0.49,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.47,0.46,0.44,0.42,0.43,0.46,0.47,0.46,0.46,0.42,0.45,0.46,0.46,0.46,0.43,0.45,0.45,0.45,0.42,0.44,0.44,0.44,0.42,0.44,0.43,0.42,0.41,0.45,0.42,0.41,0.44,0.42,0.41,0.43,0.4,0.4,0.39,0.38,0.38,0.39,0.2,0.2,0.38,0.38,0.36,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.38,0.36,0.38,0.39,0.38,0.38,0.38,0.39,0.37,0.38,0.38,0.35,0.35,0.36,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.32,0.33,0.32,0.33,0.31,0.33,0.31,0.31,0.33,0.34,0.33,0.32,0.33,0.33,0.32,0.32,0.32,0.33,0.31,0.33,0.31,0.32,0.31,0.32,0.32,0.31,0.34,0.31,0.31,0.0,0.33,0.33,0.32,0.09,0.0,0.27,0.07,0.11,0.28,0.3,0.26,0.25,0.22,0.22,0.19,0.18,0.18,0.18,0.16,0.0,2.16,0.0,0.3,0.3,0.17,99.99000000000001
