,MC.PA,SAN.PA,TTE.PA,OR.PA,SU.PA,AI.PA,AIR.PA,BNP.PA,KER.PA,DG.PA,EL.PA,CS.PA,SAF.PA,RI.PA,RMS.PA,BN.PA,DSYA.,SGO.PA,CAP.PA,LR.PA,ML.PA,VIV.PA,TEP.PA,STM.PA,WLN.PA,GLE.PA,ENGI.PA,ORA.PA,ACA.PA,VIE.PA,EDEN.PA,PUB.PA,ERF.PA,ALO.PA,DIM.PA,CA.PA,HO.PA,BVI.PA,ENX.PA,SEV.PA,AKE.PA,SW.PA,GFC.PA,EN.PA,FGR.PA,GET.PA,RNO.PA,FR.PA,AC.PA,UBI.PA,EDF.PA,RXL.PA,ORP.PA,ATO.PA,EO.PA,BOL.PA,SK.PA,FDJ.PA,AMUN.PA,RCO.PA,LI.PA,SOI.PA,BIM.PA,SCR.PA,COV.PA,RUI.PA,KN.PA,FTI,ADP.PA,RF.PA,MF.PA,IPN.PA,—,ICAD.PA,AM.PA,CNP.PA,DEC.PA,ILD.PA,NK.PA,TE.PA,CO.PA,POM.PA,NEOEN.PA,ALD,ALD.PA,NEOEN,DSY.PA,SUM
07/09/2021,10.2,5.89,5.73,5.56,4.48,4.26,3.85,3.51,3.33,2.82,2.78,2.59,2.56,2.38,2.36,2.26,1.75,1.66,1.59,1.52,1.46,1.33,1.26,1.25,1.24,1.2,1.2,1.14,0.85,0.84,0.76,0.76,0.74,0.74,0.62,0.62,0.55,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.34,0.33,0.31,0.3,0.29,0.29,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.16,0.15,0.14,0.13,0.11,0.11,0.1,0.09,0.09,0.09,0.07,0.06,0.0,0.0,0.0,100.02
07/12/2021,10.11,5.91,5.7,5.57,4.47,4.3,3.84,3.41,3.32,2.83,2.86,2.59,2.59,2.39,2.36,2.25,1.8,1.7,1.64,1.53,1.47,1.32,1.28,1.25,1.24,1.18,1.21,1.14,0.85,0.84,0.76,0.74,0.78,0.7,0.67,0.6,0.56,0.48,0.47,0.47,0.45,0.42,0.43,0.42,0.4,0.4,0.38,0.37,0.36,0.35,0.37,0.34,0.33,0.31,0.29,0.28,0.28,0.27,0.27,0.28,0.25,0.24,0.26,0.25,0.24,0.21,0.11,0.21,0.2,0.2,0.19,0.19,0.16,0.15,0.14,0.13,0.11,0.11,0.09,0.09,0.09,0.09,0.07,0.06,0.0,0.0,0.0,100.02
07/13/2021,10.11,5.91,5.7,5.57,4.47,4.3,3.84,3.41,3.32,2.83,2.86,2.59,2.59,2.39,2.36,2.25,1.8,1.7,1.64,1.53,1.47,1.32,1.28,1.25,1.24,1.18,1.21,1.14,0.85,0.84,0.76,0.74,0.78,0.7,0.67,0.6,0.56,0.48,0.47,0.47,0.45,0.42,0.43,0.42,0.4,0.4,0.38,0.37,0.36,0.35,0.37,0.34,0.33,0.31,0.29,0.28,0.28,0.27,0.27,0.28,0.25,0.24,0.26,0.25,0.24,0.21,0.11,0.21,0.2,0.2,0.19,0.19,0.16,0.15,0.14,0.13,0.11,0.11,0.09,0.09,0.09,0.09,0.07,0.06,0.0,0.0,0.0,100.02
07/14/2021,10.29,5.9,5.65,5.57,4.51,4.28,3.9,3.43,3.34,2.82,2.84,2.61,2.6,2.35,2.38,2.22,1.77,1.71,1.63,1.52,1.49,1.31,1.26,1.27,1.23,1.2,1.2,1.13,0.86,0.83,0.74,0.74,0.77,0.69,0.65,0.59,0.56,0.48,0.46,0.46,0.44,0.41,0.43,0.42,0.4,0.39,0.38,0.37,0.36,0.35,0.36,0.34,0.33,0.31,0.3,0.28,0.27,0.27,0.27,0.27,0.25,0.24,0.25,0.25,0.24,0.21,0.11,0.21,0.2,0.2,0.19,0.19,0.16,0.15,0.14,0.14,0.11,0.11,0.09,0.09,0.09,0.09,0.0,0.0,0.06,0.06,0.0,100.02
07/15/2021,10.29,5.98,5.63,5.59,4.53,4.31,3.87,3.42,3.34,2.82,2.86,2.6,2.52,2.36,2.4,2.22,1.78,1.71,1.64,1.53,1.48,1.3,1.27,1.27,1.24,1.19,1.2,1.14,0.85,0.84,0.74,0.74,0.78,0.68,0.65,0.58,0.55,0.48,0.46,0.46,0.44,0.4,0.44,0.42,0.4,0.39,0.38,0.36,0.35,0.35,0.36,0.34,0.33,0.26,0.29,0.28,0.28,0.27,0.27,0.27,0.25,0.24,0.25,0.25,0.24,0.21,0.11,0.2,0.19,0.2,0.19,0.19,0.16,0.15,0.13,0.14,0.12,0.11,0.09,0.09,0.09,0.09,0.0,0.0,0.06,0.06,0.0,99.99
07/16/2021,10.39,5.99,5.6,5.61,4.55,4.32,3.84,3.41,3.38,2.8,2.88,2.6,2.48,2.38,2.42,2.23,1.8,1.73,1.64,1.55,1.49,1.31,1.28,1.28,1.24,1.18,1.2,1.14,0.84,0.83,0.74,0.75,0.76,0.66,0.67,0.59,0.55,0.47,0.46,0.46,0.44,0.4,0.43,0.42,0.4,0.39,0.37,0.36,0.34,0.35,0.35,0.34,0.33,0.25,0.3,0.28,0.28,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.24,0.21,0.11,0.2,0.19,0.2,0.19,0.19,-0.01,0.15,0.13,0.13,0.12,0.11,0.09,0.09,0.09,0.09,0.06,0.0,0.06,0.0,0.0,99.99
07/19/2021,10.38,5.94,5.58,5.64,4.52,4.36,3.85,3.44,3.4,2.74,2.85,2.63,2.47,2.4,2.46,2.22,1.82,1.73,1.64,1.55,1.49,1.32,1.28,1.29,1.24,1.21,1.19,1.15,0.85,0.83,0.74,0.75,0.77,0.67,0.69,0.59,0.55,0.48,0.46,0.46,0.45,0.4,0.42,0.42,0.39,0.38,0.36,0.36,0.34,0.34,0.35,0.33,0.32,0.24,0.29,0.28,0.28,0.27,0.27,0.28,0.24,0.25,0.25,0.25,0.24,0.21,0.11,0.19,0.19,0.2,0.19,0.19,-0.01,0.15,0.13,0.14,0.11,0.11,0.09,0.09,0.08,0.09,0.06,0.0,0.06,0.0,0.0,100.01
07/22/2021,10.3,6.09,5.46,5.79,4.5,4.4,3.72,3.34,3.37,2.73,2.83,2.61,2.42,2.43,2.45,2.27,1.88,1.7,1.66,1.56,1.5,1.33,1.3,1.28,1.25,1.15,1.2,1.16,0.84,0.84,0.75,0.73,0.82,0.67,0.71,0.59,0.55,0.48,0.47,0.48,0.44,0.4,0.43,0.43,0.39,0.38,0.35,0.36,0.34,0.34,0.35,0.33,0.33,0.25,0.29,0.29,0.29,0.27,0.27,0.28,0.24,0.25,0.26,0.24,0.24,0.21,0.11,0.18,0.19,0.2,0.19,0.19,-0.01,0.15,0.13,0.13,0.11,0.11,0.09,0.08,0.09,0.09,0.06,0.0,0.06,0.0,0.0,100.01
07/23/2021,10.3,6.09,5.46,5.79,4.5,4.4,3.72,3.34,3.37,2.73,2.83,2.61,2.42,2.43,2.45,2.27,1.88,1.7,1.66,1.56,1.5,1.33,1.3,1.28,1.25,1.15,1.2,1.16,0.84,0.84,0.75,0.73,0.82,0.67,0.71,0.59,0.55,0.48,0.47,0.48,0.44,0.4,0.43,0.43,0.39,0.38,0.35,0.36,0.34,0.34,0.35,0.33,0.33,0.25,0.29,0.29,0.29,0.27,0.27,0.28,0.24,0.25,0.26,0.24,0.24,0.21,0.11,0.18,0.19,0.2,0.19,0.19,-0.01,0.15,0.13,0.13,0.11,0.11,0.09,0.08,0.09,0.09,0.06,0.0,0.06,0.0,0.0,100.01
07/26/2021,10.35,5.98,5.43,5.73,4.57,4.35,3.83,3.4,3.35,2.74,2.84,2.63,2.5,2.41,2.44,2.18,1.86,1.72,1.68,1.57,1.49,1.34,1.3,1.28,1.29,1.17,1.18,1.14,0.85,0.84,0.77,0.76,0.78,0.67,0.69,0.58,0.56,0.49,0.46,0.47,0.43,0.4,0.44,0.43,0.39,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.33,0.24,0.28,0.29,0.28,0.27,0.27,0.28,0.25,0.26,0.25,0.24,0.25,0.2,0.0,0.18,0.19,0.21,0.19,0.19,0.1,0.15,0.14,0.14,0.11,0.11,0.09,0.09,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.05
07/29/2021,10.42,5.9,5.48,5.72,4.6,4.29,3.86,3.47,3.4,2.75,2.81,2.61,2.51,2.39,2.45,2.16,1.83,1.74,1.68,1.55,1.47,1.31,1.28,1.31,1.28,1.2,1.18,1.14,0.86,0.84,0.78,0.77,0.76,0.67,0.68,0.57,0.56,0.48,0.45,0.46,0.42,0.41,0.43,0.43,0.4,0.38,0.36,0.36,0.34,0.32,0.34,0.33,0.33,0.24,0.27,0.28,0.26,0.26,0.27,0.28,0.25,0.26,0.24,0.24,0.25,0.2,0.0,0.18,0.19,0.21,0.19,0.19,0.1,0.15,0.14,0.14,0.11,0.11,0.09,0.09,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.0
07/30/2021,10.43,5.91,5.52,5.76,4.57,4.32,3.9,3.46,3.35,2.74,2.82,2.62,2.5,2.41,2.45,2.15,1.87,1.72,1.67,1.55,1.48,1.31,1.29,1.29,1.17,1.19,1.18,1.16,0.86,0.85,0.75,0.75,0.76,0.67,0.69,0.58,0.56,0.48,0.46,0.47,0.43,0.41,0.43,0.43,0.4,0.38,0.36,0.36,0.34,0.32,0.35,0.33,0.33,0.24,0.27,0.29,0.26,0.25,0.27,0.28,0.24,0.26,0.25,0.24,0.25,0.2,0.0,0.18,0.19,0.21,0.19,0.19,0.1,0.16,0.14,0.14,0.11,0.11,0.09,0.09,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.03
08/02/2021,10.51,5.79,5.6,5.71,4.53,4.16,3.98,3.47,3.43,2.75,2.8,2.6,2.42,2.41,2.45,2.25,1.89,1.71,1.75,1.53,1.49,1.31,1.28,1.37,1.2,1.19,1.19,1.1,0.86,0.88,0.74,0.74,0.74,0.65,0.69,0.58,0.56,0.49,0.45,0.46,0.44,0.39,0.43,0.43,0.4,0.38,0.38,0.36,0.34,0.32,0.33,0.33,0.33,0.24,0.27,0.29,0.25,0.25,0.27,0.28,0.24,0.26,0.25,0.24,0.25,0.2,0.0,0.18,0.18,0.22,0.2,0.19,0.12,0.15,0.13,0.13,0.11,0.1,0.1,0.09,0.08,0.09,0.06,0.06,0.0,0.0,0.0,100.05
