,BRKM5.SA,Centrais Eletricas Brasileiras S.A. (Electrobras),CSNA3.SA,CEMEXCPO.MX,Itausa-Investimentos Itau SA (Preference Shares),GGBR4.SA,JBSS3.SA,VALE3.SA,PETR4.SA,TIMS3.SA,CPFE3.SA,TLEVISACPO.MX,AC.MX,FUNO11.MX,BBAS3.SA,GFINBURO.MX,SUZB3.SA,GMEXICOB.MX,FALABELLA.SN,GCARSOA1.MX,ENELAM.SN,GFNORTEO.MX,Engie Brasil Energia SA,ISA.BC,Orbia Advance Corp SAB de CV,BSANTANDER.SN,CRFB3.SA,Cia. de Saneamento Basico do Estado de Sao Paulo - SABESP,CSAN3.SA,BCI.SN,COPEC.SN,Banco Santander (Brasil) S.A.,HAPV3.SA,BIMBOA.MX,WALMEX.MX,WEGE3.SA,GRUMAB.MX,CENCOSUD.SN,Sociedad Quimica y Minera de Chile S.A. (Class B),CMPC.SN,NTCO3.SA,ABEV3.SA,ITUB4.SA,FEMSAUBD.MX,BBDC4.SA,AMXL.MX,PE&OLES.MX,RADL3.SA,BBSE3.SA,CHILE.SN,US Dollar,ELET3.SA,ITSA4.SA,EGIE3.SA,SBSP3.SA,ORBIA.MX,SANB11.SA,SQM/B.SN,SUM
07/09/2021,5.03,4.21,3.98,3.62,3.62,3.31,3.26,3.14,3.11,2.99,2.97,2.97,2.96,2.82,2.8,2.7,2.34,2.23,2.22,2.2,2.18,2.14,1.9,1.86,1.86,1.83,1.8,1.76,1.44,1.39,1.39,1.36,1.36,1.3,1.26,1.25,1.17,1.07,1.06,0.85,0.84,0.78,0.71,0.7,0.69,0.68,0.67,0.67,0.63,0.48,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/12/2021,4.93,4.18,3.9,3.73,3.63,3.23,3.27,3.11,3.06,2.98,2.92,2.86,3.01,2.91,2.8,2.77,2.39,2.2,2.31,2.17,2.18,2.14,1.88,1.87,1.89,1.88,1.8,1.73,1.45,1.46,1.36,1.35,1.35,1.36,1.26,1.25,1.18,1.09,1.12,0.86,0.84,0.76,0.7,0.69,0.68,0.68,0.68,0.69,0.63,0.49,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/13/2021,4.93,4.18,3.9,3.73,3.63,3.23,3.27,3.11,3.06,2.98,2.92,2.86,3.01,2.91,2.8,2.77,2.39,2.2,2.31,2.17,2.18,2.14,1.88,1.87,1.89,1.88,1.8,1.73,1.45,1.46,1.36,1.35,1.35,1.36,1.26,1.25,1.18,1.09,1.12,0.86,0.84,0.76,0.7,0.69,0.68,0.68,0.68,0.69,0.63,0.49,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/22/2021,5.09,4.32,3.96,3.44,3.63,3.32,3.28,3.11,2.96,3.19,2.93,2.74,3.04,2.88,2.82,2.66,2.22,2.17,2.3,2.12,2.15,2.07,1.92,1.8,1.84,1.82,1.78,1.78,1.56,1.49,1.32,1.36,1.39,1.35,1.29,1.25,1.16,1.13,1.12,0.86,0.84,0.76,0.7,0.7,0.67,0.73,0.66,0.72,0.62,0.49,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,5.09,4.32,3.96,3.44,3.63,3.32,3.28,3.11,2.96,3.19,2.93,2.74,3.04,2.88,2.82,2.66,2.22,2.17,2.3,2.12,2.15,2.07,1.92,1.8,1.84,1.82,1.78,1.78,1.56,1.49,1.32,1.36,1.39,1.35,1.29,1.25,1.16,1.13,1.12,0.86,0.84,0.76,0.7,0.7,0.67,0.73,0.66,0.72,0.62,0.49,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,4.93,3.98,4.18,3.62,3.66,3.45,3.65,3.01,3.02,3.02,2.82,2.86,3.07,2.92,2.81,2.67,2.14,2.18,2.13,2.24,2.1,2.16,1.84,1.72,1.92,1.97,1.66,1.75,1.51,1.46,1.28,1.39,1.3,1.37,1.31,1.3,1.15,1.07,1.11,0.84,0.76,0.74,0.73,0.72,0.67,0.77,0.68,0.68,0.6,0.48,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,4.93,3.98,4.18,3.62,3.66,3.45,3.65,3.01,3.02,3.02,2.82,2.86,3.07,2.92,2.81,2.67,2.14,2.18,2.13,2.24,2.1,2.16,1.84,1.72,1.92,1.97,1.66,1.75,1.51,1.46,1.28,1.39,1.3,1.37,1.31,1.3,1.15,1.07,1.11,0.84,0.76,0.74,0.73,0.72,0.67,0.77,0.68,0.68,0.6,0.48,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,4.98,4.0,4.02,3.58,3.75,3.45,3.75,3.02,2.98,3.08,2.84,2.8,3.09,2.85,2.86,2.67,2.16,2.18,2.1,2.2,2.07,2.16,1.84,1.73,1.97,1.88,1.66,1.77,1.53,1.42,1.26,1.39,1.32,1.43,1.33,1.34,1.15,1.06,1.1,0.81,0.76,0.75,0.74,0.71,0.68,0.77,0.67,0.69,0.59,0.46,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/26/2021,5.09,0.0,3.94,3.57,0.0,3.32,3.32,3.14,3.31,3.09,3.0,2.88,2.81,2.76,2.86,2.6,2.37,2.15,2.34,2.05,2.12,2.05,0.0,1.73,0.0,1.89,1.84,0.0,1.42,1.43,1.43,0.0,1.41,1.26,1.24,1.23,1.14,1.12,0.0,0.89,0.8,0.76,0.72,0.67,0.72,0.66,0.64,0.67,0.65,0.5,0.0,4.27,3.67,1.91,1.81,1.76,1.39,1.05,99.45
