,QNBK.QA,IQCD.QA,QIBK.QA,MARK.QA,CBQK.QA,QEWS.QA,QFLS.QA,MPHC.QA,QGTS.QA,QIIK.QA,ORDS.QA,BRES.QA,DHBK.QA,QAMC.QA,QNNS.QA,QATI.QA,VFQS.QA,UDCD.QA,ERES.QA,MERS.QA,GWCS.QA,MCGS.QA,GISS.QA,AHCS.QA,QFBQ.QA,SIIS.QA,QNCD.QA,BLDN.QA,MRDS.QA,QIMD.QA,MCCS.QA,QIGD,XTSLA,QAR,HBCFT,MESU1,QIGD.QA,MESZ1,USD,SUM
07/09/2021,22.6,8.69,7.91,6.37,4.41,3.81,3.68,3.56,3.42,3.26,3.0,2.94,2.42,2.39,2.28,1.96,1.76,1.64,1.56,1.35,1.21,1.13,1.11,1.09,1.05,1.04,0.88,0.86,0.79,0.75,0.54,0.43,0.11,0.03,0.01,0.0,0.0,0.0,0.0,100.04000000000002
07/19/2021,22.74,8.62,7.83,6.34,4.48,3.85,3.7,3.55,3.4,3.26,2.96,2.94,2.44,2.41,2.34,1.98,1.74,1.63,1.56,1.41,1.21,1.13,1.09,1.07,1.03,0.99,0.88,0.87,0.79,0.75,0.52,0.42,0.07,0.03,0.01,0.0,0.0,0.0,0.0,100.03999999999998
07/20/2021,22.74,8.62,7.83,6.34,4.48,3.85,3.7,3.55,3.4,3.26,2.96,2.94,2.44,2.41,2.34,1.98,1.74,1.63,1.56,1.41,1.21,1.13,1.09,1.07,1.03,0.99,0.88,0.87,0.79,0.75,0.52,0.42,0.07,0.03,0.01,0.0,0.0,0.0,0.0,100.03999999999998
07/22/2021,22.74,8.62,7.83,6.34,4.48,3.85,3.7,3.55,3.4,3.26,2.96,2.94,2.44,2.41,2.34,1.98,1.74,1.63,1.56,1.41,1.21,1.13,1.09,1.07,1.03,0.99,0.88,0.87,0.79,0.75,0.53,0.42,0.07,0.03,0.01,0.0,0.0,0.0,0.0,100.04999999999998
07/23/2021,22.74,8.62,7.83,6.34,4.48,3.85,3.7,3.55,3.4,3.26,2.96,2.94,2.44,2.41,2.34,1.98,1.74,1.63,1.56,1.41,1.21,1.13,1.09,1.07,1.03,0.99,0.88,0.87,0.79,0.75,0.53,0.42,0.07,0.03,0.01,0.0,0.0,0.0,0.0,100.04999999999998
07/27/2021,22.74,8.62,7.83,6.34,4.48,3.85,3.7,3.55,3.4,3.26,2.96,2.94,2.44,2.41,2.34,1.98,1.74,1.63,1.56,1.41,1.21,1.13,1.09,1.07,1.03,0.99,0.88,0.87,0.79,0.75,0.53,0.42,0.07,0.03,0.01,0.0,0.0,0.0,0.0,100.04999999999998
07/29/2021,23.0,8.55,7.78,6.37,4.44,3.87,3.7,3.59,3.41,3.26,2.95,2.94,2.39,2.39,2.31,1.94,1.74,1.61,1.54,1.42,1.22,1.12,1.07,1.07,1.02,0.99,0.88,0.86,0.78,0.76,0.53,0.43,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,23.12,8.56,7.86,6.37,4.42,3.84,3.73,3.57,3.43,3.25,2.92,2.9,2.41,2.37,2.34,1.94,1.74,1.61,1.53,1.41,1.22,1.12,1.06,1.06,1.0,0.98,0.86,0.85,0.77,0.76,0.52,0.42,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.04
08/02/2021,23.13,8.67,7.89,6.19,4.58,3.78,3.75,3.6,3.41,3.22,2.87,2.91,2.58,2.32,2.33,2.01,1.72,1.59,1.47,1.41,1.21,1.1,1.05,1.06,0.98,0.95,0.88,0.84,0.74,0.76,0.52,0.41,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,23.13,8.67,7.89,6.19,4.58,3.78,3.75,3.6,3.41,3.22,2.87,2.91,2.58,2.32,2.33,2.01,1.72,1.59,1.47,1.41,1.21,1.1,1.05,1.06,0.98,0.95,0.88,0.84,0.74,0.76,0.52,0.41,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.03
