,PAAS.TO,EVN.AX,YRI.TO,FR.TO,EDV.TO,BTO.TO,HL,SSRM,MDKA.JK,AGI.TO,PE&OLES.MX,BVN.,CDE,MAG.TO,HAM.,EQX,NG,PVG.TO,ELD.TO,SSL.TO,OR.TO,KNT.TO,RRL.AX,CEY.L,WDO.TO,CG.TO,PRU.AX,SEA.TO,IMG.TO,OGC.NE,SIL.TO,NGD.TO,EDR.TO,1818.HK,FVI.TO,GGP.L,SLR.AX,DEG.AX,SVM.TO,LUG.TO,RMS.AX,POG.L,GOR.AX,SBM.AX,TXG.TO,HOC.L,DPM.TO,OSK.TO,AR.TO,KOZAL.IS,VGCX.TO,OLA.TO,MUX,MOZ.TO,NFG.V,GBR.V,WAF.AX,SKE.TO,KRR.TO,TBLD.L,NUAG.TO,ROXG.TO,BGL.AX,WGX.AX,DRD,DSV.V,ALK.AX,GATO,GCM.TO,MTA.V,AXU.TO,AMI.AX,SBB.TO,PGM.V,NVO.TO,MMX,RSG.AX,WM.TO,LGD.TO,CXB.TO,SVL.AX,RED.AX,GOLD.TO,GPR.TO,Us Dollar,GAU.TO,GORO,USA.TO,GSC.TO,DCN.AX,FVL.TO,GSV.TO,JAG.TO,GROY,IAU.TO,CMCL,Sulliden Mining Capital Inc,ASM.AX,UNTRADE.REALGOLD MINING,Pound Sterling,GVMXX,KOZAL.E.IS,AURA33.SA,SMC.TO,n/a,SUM
07/09/2021,5.49,4.61,4.06,3.87,3.54,3.32,2.96,2.94,2.81,2.68,1.91,1.87,1.82,1.76,1.71,1.7,1.69,1.57,1.54,1.51,1.5,1.41,1.35,1.32,1.31,1.3,1.28,1.23,1.2,1.16,1.14,1.1,1.08,1.01,0.98,0.97,0.97,0.95,0.95,0.92,0.91,0.91,0.81,0.81,0.81,0.72,0.71,0.71,0.66,0.66,0.65,0.6,0.59,0.56,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.4,0.4,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.32,0.3,0.3,0.29,0.28,0.27,0.25,0.24,0.23,0.23,0.23,0.19,0.19,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,5.53,4.6,4.02,3.97,3.47,3.38,2.99,2.92,2.87,2.66,1.91,1.93,1.84,1.74,1.68,1.72,1.61,1.57,1.53,1.52,1.49,1.39,1.26,1.31,1.32,1.29,1.25,1.24,1.2,1.15,1.14,1.13,1.1,1.0,1.01,1.01,0.95,0.98,0.95,0.92,0.91,0.92,0.79,0.75,0.8,0.7,0.72,0.71,0.67,0.0,0.66,0.62,0.58,0.56,0.56,0.56,0.53,0.49,0.48,0.0,0.46,0.46,0.47,0.44,0.46,0.39,0.4,0.38,0.37,0.36,0.37,0.35,0.37,0.36,0.33,0.31,0.29,0.28,0.28,0.26,0.24,0.25,0.23,0.23,0.0,0.2,0.19,0.19,0.18,0.15,0.15,0.14,0.14,0.13,0.13,0.1,0.0,0.0,0.0,0.0,3.61,0.69,0.48,0.0,0.0,103.38
