,Bank Of New York Cash Reserve,DGCXX,Goldman Sachs FS Government Instl,Cash,Future on Indxx USA Cloud Computing USD,SUM
07/09/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/12/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/13/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/14/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/15/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/16/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/19/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/20/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/21/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
07/22/2021,53.34,40.53,10.98,-0.09,-4.76,100.0
