,TREASURY BOND,TREASURY BOND.1,TREASURY BOND (OTR),TREASURY BOND.2,TREASURY BOND.3,TREASURY BOND.4,TREASURY BOND.5,TREASURY BOND.6,TREASURY BOND.7,TREASURY BOND.8,TREASURY BOND.9,TREASURY STRIP (INT),BLK CSH FND TREASURY SL AGENCY,TREASURY BOND.10,TREASURY BOND.11,TREASURY BOND.12,T 2.25 05.15.41,T 1.875 02.15.41,T 4.375 11.15.39,T 1.375 11.15.40,T 3.875 08.15.40,T 5 05.15.37,S 0 08.15.36,T 4.5 05.15.38,T 4.25 05.15.39,T 4.375 02.15.38,T 4.625 02.15.40,XTSLA,T 1.125 08.15.40,XIT 1.25 08.15.31,T 4.75 02.15.37,n/a,SUM
07/09/2021,21.96,18.57,18.55,14.53,8.69,5.54,2.88,2.4,1.77,1.53,1.52,1.3,0.65,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.13
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,25.21,18.81,13.78,3.43,2.9,2.0,1.85,1.79,1.52,1.5,0.46,0.26,0.13,0.05,0.0,100.0
