,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,Dj U.S. Real Estate Index Swap Morgan Stanley & Co. International Plc - Cas,Dj U.S. Real Estate Index Swap Societe Generale - Cash Offset,Dj U.S. Real Estate Index Swap Ubs Ag - Cash Offset,Dj U.S. Real Estate Index Swap Bank Of America Na - Cash Offset,Dj U.S. Real Estate Index Swap Bnp Paribas - Cash Offset,Dj U.S. Real Estate Index Swap Bnp Paribas,Dj U.S. Real Estate Index Swap Bank Of America Na,Dj U.S. Real Estate Index Swap Ubs Ag,Dj U.S. Real Estate Index Swap Societe Generale,Dj U.S. Real Estate Index Swap Morgan Stanley & Co. International Plc,SUM
07/09/2021,100.0,27.68,26.9,21.49,19.29,4.56,-4.56,-19.29,-21.49,-26.9,-27.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,26.9,21.49,19.29,4.56,-4.56,-19.29,-21.49,-26.9,-27.68,99.99999999999996
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,26.9,21.49,19.29,4.56,-4.56,-19.29,-21.49,-26.9,-27.68,99.99999999999996
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,26.9,21.49,19.29,4.56,-4.56,-19.29,-21.49,-26.9,-27.68,99.99999999999996
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,26.9,21.49,19.29,4.56,-4.56,-19.29,-21.49,-26.9,-27.68,99.99999999999997
