,XOM,BHP.AX,NTR.TO,TTE.PA,CVX,Vale S.A. Sponsored ADR,BP.L,Royal Dutch Shell Plc Class A,UPM.HE,AAL.L,FCX,Reliance Industries Limited Sponsored GDR 144A,GLEN.L,SK3.IR,ADM,CTVA,MNDI.L,ABX.TO,RIO.AX,COP,STERV.HE,CNQ.TO,WY,SCA B.ST,FMG.AX,IP,F34.SI,NUE,FNV.TO,YAR.OL,SU.TO,SIGN.SW,NEM,Public Joint-Stock Company Gazprom Sponsored ADR,SMDS.L,Newmont Corporation,POSCO Sponsored ADR,ENI.MI,MT.AS,AVY,Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,EOG,NESTE.HE,WPM.TO,SLB,MMC Norilsk Nickel PJSC ADR,Oil company LUKOIL PJSC Sponsored ADR,3861.T,EQNR.OL,FMC,WRK,MPC,5401.T,PKG,PSX,NCM.AX,AEM.TO,ICL.TA,PXD,AMCR,REP.MC,BG,CF,VLO,MOS,WPL.AX,Petroleo Brasileiro SA Sponsored ADR,NOVATEK JSC Sponsored GDR RegS,OXY,SEE,5713.T,S32.AX,KL.TO,Rosneft Oil Co. Sponsored GDR RegS,SMG,HAL,Amcor PLC Shs Chess Depository Interests Repr 1 Sh,K.TO,INGR,2689.HK,Gold Fields Limited Sponsored ADR,AngloGold Ashanti Limited Sponsored ADR,ANTO.L,TATNEFT PJSC Sponsored ADR,RYN,POLY.L,Polyus PJSC Sponsored GDR Class S,SCCO,010130.KQ,STATE STREET INSTITUTIONAL LIQ STATE STR,EC,FRESL.,Euro,U.S. Dollar,Japanese Yen,TGA.L,Canadian Dollar,British Pounds,Hong Kong Dollar,Israeli Shekel,Norwegian Krone,Singapore Dollar,Australian Dollar,Swiss Franc,Swedish Krona,Sino-Forest Corp.,China Renminbi,010130.KS,PLZL.L,SUM
07/09/2021,4.54,4.46,4.38,3.62,3.47,2.89,2.83,2.65,2.58,2.3,2.25,2.1,1.98,1.78,1.71,1.67,1.63,1.52,1.45,1.44,1.42,1.37,1.29,1.28,1.22,1.21,1.2,1.19,1.17,1.16,1.15,1.1,1.09,1.06,1.02,1.02,1.02,0.98,0.91,0.88,0.87,0.85,0.85,0.84,0.78,0.77,0.76,0.76,0.73,0.71,0.7,0.67,0.67,0.65,0.65,0.64,0.63,0.6,0.58,0.58,0.57,0.56,0.56,0.55,0.55,0.52,0.5,0.5,0.47,0.46,0.45,0.44,0.43,0.39,0.39,0.36,0.34,0.34,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.23,0.22,0.2,0.2,0.13,0.09,0.08,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,4.42,4.63,4.39,3.57,3.44,2.86,2.77,2.68,2.68,2.29,2.16,2.09,1.97,1.8,1.7,1.65,1.68,1.56,1.48,1.39,1.48,1.35,1.35,1.32,1.25,1.24,1.21,1.19,1.18,1.19,1.14,1.12,1.1,1.08,1.04,1.04,0.99,0.97,0.87,0.89,0.85,0.81,0.86,0.84,0.75,0.75,0.75,0.76,0.7,0.7,0.7,0.65,0.66,0.67,0.61,0.67,0.63,0.59,0.56,0.59,0.54,0.55,0.55,0.5,0.55,0.55,0.46,0.49,0.44,0.47,0.46,0.44,0.44,0.4,0.38,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.29,0.25,0.27,0.23,0.23,0.2,0.21,0.19,0.08,0.09,0.07,0.04,0.03,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,4.42,4.63,4.39,3.57,3.44,2.86,2.77,2.68,2.68,2.29,2.16,2.09,1.97,1.8,1.7,1.65,1.68,1.56,1.48,1.39,1.48,1.35,1.35,1.32,1.25,1.24,1.21,1.19,1.18,1.19,1.14,1.12,1.1,1.08,1.04,1.04,0.99,0.97,0.87,0.89,0.85,0.81,0.86,0.84,0.75,0.75,0.75,0.76,0.7,0.7,0.7,0.65,0.66,0.67,0.61,0.67,0.63,0.59,0.56,0.59,0.54,0.55,0.55,0.5,0.55,0.55,0.46,0.49,0.44,0.47,0.46,0.44,0.44,0.4,0.38,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.29,0.25,0.27,0.23,0.23,0.2,0.21,0.19,0.08,0.09,0.07,0.04,0.03,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,4.42,4.56,4.43,3.54,3.43,2.89,2.76,2.66,2.68,2.36,2.23,2.05,2.02,1.81,1.71,1.64,1.69,1.56,1.46,1.39,1.49,1.35,1.36,1.33,1.24,1.24,1.21,1.21,1.18,1.2,1.13,1.1,1.1,1.09,1.03,1.04,1.01,0.96,0.91,0.88,0.87,0.82,0.85,0.83,0.75,0.75,0.73,0.74,0.7,0.7,0.7,0.65,0.64,0.66,0.61,0.66,0.63,0.57,0.55,0.58,0.54,0.55,0.55,0.51,0.55,0.54,0.46,0.48,0.44,0.46,0.45,0.44,0.44,0.39,0.38,0.34,0.34,0.33,0.32,0.3,0.3,0.3,0.29,0.25,0.27,0.23,0.22,0.21,0.2,0.19,0.08,0.09,0.07,0.04,0.03,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,4.41,4.7,4.45,3.53,3.43,2.88,2.75,2.64,2.68,2.33,2.23,2.08,2.01,1.81,1.7,1.65,1.69,1.54,1.48,1.38,1.51,1.34,1.35,1.35,1.28,1.23,1.21,1.22,1.18,1.2,1.11,1.13,1.09,1.09,1.02,1.02,1.01,0.96,0.9,0.88,0.92,0.83,0.87,0.82,0.75,0.76,0.73,0.75,0.7,0.71,0.7,0.64,0.66,0.66,0.61,0.66,0.62,0.58,0.55,0.58,0.53,0.55,0.55,0.5,0.55,0.54,0.46,0.48,0.43,0.45,0.45,0.44,0.44,0.39,0.37,0.34,0.34,0.32,0.31,0.3,0.3,0.3,0.28,0.25,0.27,0.23,0.22,0.21,0.2,0.19,0.08,0.08,0.07,-0.08,0.03,0.02,0.01,0.04,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,4.41,4.68,4.48,3.52,3.44,2.9,2.73,2.63,2.68,2.33,2.19,2.09,2.0,1.81,1.68,1.63,1.7,1.57,1.49,1.38,1.5,1.34,1.31,1.35,1.31,1.23,1.23,1.19,1.2,1.21,1.1,1.14,1.1,1.09,1.03,1.03,1.0,0.96,0.89,0.88,0.92,0.83,0.88,0.84,0.74,0.78,0.74,0.76,0.7,0.7,0.69,0.64,0.66,0.66,0.61,0.66,0.63,0.6,0.55,0.59,0.52,0.54,0.54,0.5,0.55,0.53,0.47,0.48,0.44,0.45,0.46,0.44,0.46,0.39,0.37,0.34,0.34,0.33,0.3,0.3,0.31,0.31,0.28,0.25,0.26,0.23,0.22,0.21,0.2,0.19,0.08,0.09,0.03,-0.08,0.03,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,4.32,4.79,4.52,3.5,3.38,2.95,2.68,2.59,2.68,2.38,2.13,2.12,2.06,1.81,1.69,1.62,1.7,1.6,1.53,1.34,1.49,1.3,1.33,1.36,1.35,1.21,1.23,1.21,1.24,1.24,1.07,1.14,1.11,1.04,1.02,1.05,1.02,0.96,0.92,0.89,0.91,0.77,0.89,0.87,0.7,0.79,0.72,0.76,0.69,0.71,0.68,0.61,0.66,0.67,0.58,0.69,0.65,0.61,0.52,0.59,0.51,0.54,0.54,0.48,0.54,0.53,0.46,0.47,0.4,0.45,0.45,0.44,0.48,0.39,0.37,0.32,0.34,0.34,0.31,0.31,0.32,0.32,0.28,0.24,0.27,0.24,0.0,0.21,0.0,0.07,0.08,0.09,0.03,-0.02,0.03,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.23,0.23,99.98
07/23/2021,4.28,4.7,4.48,3.46,3.37,2.96,2.6,2.54,2.78,2.3,2.13,2.18,1.99,1.84,1.74,1.67,1.73,1.61,1.49,1.33,1.53,1.25,1.35,1.4,1.36,1.23,1.26,1.21,1.25,1.22,1.04,1.17,1.11,1.07,1.03,1.03,1.02,0.95,0.92,0.89,0.92,0.75,0.9,0.86,0.69,0.8,0.73,0.77,0.68,0.72,0.69,0.61,0.67,0.67,0.56,0.69,0.65,0.62,0.51,0.6,0.51,0.56,0.54,0.46,0.55,0.52,0.47,0.48,0.39,0.45,0.45,0.43,0.47,0.39,0.39,0.33,0.35,0.34,0.32,0.31,0.32,0.32,0.28,0.24,0.27,0.24,0.0,0.21,0.0,0.04,0.08,0.08,0.03,0.04,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.24,0.23,99.96
07/29/2021,4.29,4.8,4.38,3.49,3.38,2.96,2.64,2.57,2.81,2.45,2.27,2.11,2.1,1.85,1.68,1.62,1.73,1.57,1.51,1.34,1.56,1.27,1.33,1.42,1.33,1.18,1.21,1.24,1.22,1.19,1.05,1.13,1.06,1.06,1.03,0.99,1.05,0.95,0.99,0.88,0.89,0.75,0.94,0.84,0.72,0.78,0.72,0.75,0.7,0.71,0.67,0.62,0.66,0.66,0.56,0.66,0.63,0.63,0.51,0.59,0.52,0.54,0.53,0.47,0.54,0.51,0.47,0.47,0.4,0.44,0.45,0.45,0.45,0.38,0.38,0.32,0.34,0.33,0.31,0.29,0.31,0.31,0.3,0.24,0.27,0.22,0.0,0.21,0.0,0.04,0.08,0.08,0.05,0.05,0.03,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.26,0.22,100.0
08/03/2021,4.23,4.83,4.32,3.53,3.36,2.93,2.64,2.65,2.78,2.61,2.33,2.06,2.09,1.84,1.68,1.62,1.73,1.6,1.53,1.31,1.56,1.25,1.31,1.42,1.35,1.15,1.17,1.28,1.27,1.16,0.97,1.19,1.08,1.07,1.04,1.01,1.07,0.95,1.02,0.88,0.89,0.73,0.85,0.86,0.71,0.77,0.71,0.75,0.68,0.7,0.66,0.62,0.68,0.67,0.55,0.66,0.66,0.64,0.51,0.58,0.52,0.56,0.51,0.47,0.54,0.5,0.47,0.49,0.39,0.44,0.46,0.44,0.47,0.38,0.36,0.32,0.34,0.34,0.3,0.27,0.33,0.31,0.31,0.24,0.26,0.23,0.0,0.21,0.0,0.05,0.08,0.09,0.03,0.01,0.02,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.22,100.01
