,2QQQ  211231C00002510,2QQQ  211231P00313740,Cash&Other,2QQQ  211231P00266680,2QQQ  211231C00353300,SUM
07/09/2021,105.36,2.41,0.39,-0.92,-7.24,100.0
07/12/2021,105.59,2.34,0.38,-0.91,-7.39,100.01
07/13/2021,105.59,2.34,0.38,-0.91,-7.39,100.01
07/14/2021,105.59,2.34,0.38,-0.91,-7.39,100.01
07/15/2021,105.91,2.23,0.38,-0.87,-7.64,100.01
07/16/2021,105.94,2.32,0.37,-0.91,-7.72,100.0
07/19/2021,105.38,2.39,0.39,-0.92,-7.24,100.0
07/20/2021,104.87,2.59,0.39,-1.01,-6.84,100.0
07/21/2021,104.87,2.59,0.39,-1.01,-6.84,100.0
07/22/2021,104.36,2.81,0.38,-1.1,-6.45,100.0
07/23/2021,105.16,2.53,0.38,-1.01,-7.06,100.0
07/26/2021,106.21,2.17,0.37,-0.88,-7.88,99.99
07/27/2021,107.02,2.02,0.37,-0.82,-8.59,100.0
07/28/2021,107.02,2.02,0.37,-0.82,-8.59,100.0
07/29/2021,107.41,1.94,0.35,-0.9,-8.8,100.0
07/30/2021,106.2,2.3,0.35,-1.01,-7.84,100.0
08/02/2021,106.46,2.04,0.34,-0.88,-7.97,99.99
08/03/2021,106.31,2.08,0.34,-0.83,-7.91,99.99
08/04/2021,106.31,2.08,0.34,-0.83,-7.91,99.99
08/05/2021,106.29,2.05,0.34,-0.81,-7.87,100.0
08/06/2021,106.62,1.92,0.33,-0.76,-8.11,100.0
08/10/2021,106.78,1.72,0.32,-0.68,-8.15,99.98999999999998
08/11/2021,106.78,1.72,0.32,-0.68,-8.15,99.98999999999998
08/12/2021,106.93,1.65,0.32,-0.64,-8.27,99.99
08/13/2021,106.53,1.76,0.32,-0.66,-7.94,100.01
08/16/2021,106.64,1.68,0.31,-0.63,-8.01,99.99
08/17/2021,106.89,1.6,0.31,-0.6,-8.19,100.01
08/18/2021,106.89,1.6,0.31,-0.6,-8.19,100.01
08/19/2021,106.91,1.55,0.3,-0.58,-8.19,99.99
08/20/2021,106.11,1.77,0.3,-0.66,-7.52,100.0
08/23/2021,106.09,1.99,0.29,-0.77,-7.6,100.0
08/24/2021,106.78,1.76,0.28,-0.68,-8.14,100.0
08/25/2021,106.78,1.76,0.28,-0.68,-8.14,100.0
08/26/2021,107.93,1.43,0.28,-0.56,-9.08,100.0
08/27/2021,108.28,1.35,0.29,-0.63,-9.28,100.01
08/30/2021,107.84,1.43,0.3,-0.66,-8.9,100.01
08/31/2021,108.34,1.25,0.29,-0.5,-9.39,99.99
09/01/2021,108.34,1.25,0.29,-0.5,-9.39,99.99
09/02/2021,109.4,1.12,0.29,-0.45,-10.36,100.0
09/03/2021,109.49,1.05,0.3,-0.54,-10.3,100.0
09/06/2021,109.24,1.1,0.28,-0.43,-10.2,99.98999999999998
09/07/2021,109.66,1.08,0.27,-0.43,-10.58,100.0
09/08/2021,109.66,1.08,0.27,-0.43,-10.58,100.0
09/09/2021,109.66,1.08,0.27,-0.43,-10.58,100.0
09/10/2021,109.75,1.09,0.27,-0.43,-10.69,99.99
09/13/2021,109.19,1.15,0.26,-0.43,-10.18,99.99
09/14/2021,108.6,1.26,0.26,-0.48,-9.65,99.99
09/15/2021,108.6,1.26,0.26,-0.48,-9.65,99.99
09/16/2021,108.49,1.18,0.26,-0.44,-9.49,100.0
09/17/2021,108.23,1.22,0.26,-0.46,-9.26,99.99
09/20/2021,108.72,1.05,0.25,-0.39,-9.63,100.0
09/21/2021,107.65,1.23,0.25,-0.45,-8.67,100.01
09/22/2021,107.65,1.23,0.25,-0.45,-8.67,100.01
09/23/2021,106.17,1.69,0.25,-0.62,-7.49,100.0
09/24/2021,106.04,1.63,0.24,-0.58,-7.33,100.0
09/27/2021,107.53,1.07,0.23,-0.38,-8.46,99.99
09/28/2021,107.55,1.02,0.23,-0.36,-8.45,99.99
09/29/2021,107.55,1.02,0.23,-0.36,-8.45,99.99
09/30/2021,106.77,1.02,0.21,-0.34,-7.67,99.98999999999998
10/01/2021,104.77,1.66,0.21,-0.55,-6.09,100.0
10/04/2021,104.44,1.67,0.2,-0.53,-5.79,99.99
10/05/2021,104.67,1.48,0.2,-0.44,-5.91,100.0
10/06/2021,104.67,1.48,0.2,-0.44,-5.91,100.0
10/07/2021,103.34,1.81,0.19,-0.54,-4.8,100.0
10/08/2021,104.07,1.53,0.19,-0.44,-5.35,100.0
10/11/2021,104.57,1.34,0.18,-0.38,-5.7,100.01
10/12/2021,104.64,1.25,0.17,-0.35,-5.71,100.0
10/13/2021,104.64,1.25,0.17,-0.35,-5.71,100.0
10/14/2021,104.05,1.31,0.17,-0.36,-5.18,99.99000000000001
