,NESN.SW,ASML.AS,ROG.SW,MC.PA,NOVN.SW,AZN.L,ULVR.L,SAP.DE,NOVO B.CO,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,ALV.DE,GSK.L,RIO.L,BP.L,SU.PA,BATS.L,AI.PA,RDSA.AS,AIR.PA,ENEL.MI,DAI.DE,RYDBF,IBE.MC,BAS.DE,DTE.DE,ADS.DE,BNP.PA,DPW.DE,SAN.MC,RITN.,KER.PA,RKT.L,BHP.L,ABBN.SW,ZURN.SW,BAYN.DE,DG.PA,UBSG.SW,ABI.BR,LONN.SW,REL.L,AAL.L,IFX.DE,EL.PA,DSV.CO,INGA.AS,PRU.L,ADYEN.AS,CS.PA,SIKA.SW,SAF.PA,BN.PA,RMS.PA,NG.L,PRX.AS,VOW3.DE,LLOY.L,ISP.MI,RI.PA,VOD.L,PHIA.AS,GIVN.SW,GLEN.L,INVE B.ST,BBVA.MC,STLA.MI,BARC.L,ATCO A.ST,VWS.CO,CRH.L,CPG.L,ITX.MC,ERIC B.ST,MUV2.DE,NDA SE.ST,EXPN.L,VNA.DE,LSEG.L,PGHN.SW,ALC.SW,VOLV B.ST,AHT.L,CLNX.MC,DB1.DE,SGO.PA,DSY.PA,BMW.DE,DSM.AS,EUR,AMS.MC,FERG.L,CAP.PA,FLTR.L,HEIA.AS,AD.AS,HOLN.SW,ENI.MI,ASSA B.ST,EVO.ST,HEXA B.ST,NOKIA.HE,GEBN.SW,SAND.ST,ORSTED.CO,LR.PA,GMAB.CO,KNEBV.HE,WKL.AS,SREN.SW,ML.PA,NESTE.HE,EOAN.DE,STM.PA,UCG.MI,RACE.MI,CSGN.SW,MRK.DE,DBK.DE,BT.A.L,RWE.DE,GLE.PA,ENGI.PA,TSCO.L,VIV.PA,TEP.PA,WLN.PA,TEF.MC,BA.L,AKZA.AS,KRZ.IR,SAMPO.HE,DHER.DE,ORA.PA,LOGN.SW,MT.AS,SOON.SW,LGEN.L,EQNR.OL,FRE.DE,AV.L,SSE.L,G.MI,UPM.HE,ATCOB.ST,DNB.OL,IMB.L,ESSITY B.ST,ZAL.DE,SEB A.ST,DWNI.DE,COLO B.CO,SN.L,CARL B.CO,KBC.BR,SGRO.L,KNIN.SW,HEN3.DE,HM B.ST,HFG.DE,SY1.DE,REP.MC,SGSN.SW,CNHI.MI,PAH3.DE,ASM.AS,III.L,SWED A.ST,SHB A.ST,VIE.PA,SHL.DE,WPP.L,STMN.SW,STAN.L,MAERSK B.CO,ARGX.BR,CRDA.L,PUB.PA,SRT3.,NXT.L,SLHN.SW,NIBE B.ST,CON.DE,ERF.PA,EDP.LS,NZYM B.CO,FME.DE,ACA.PA,ENT.L,KRX.IR,EPI A.ST,PNDORA.CO,SPX.L,CABK.MC,PSN.L,NN.AS,DSYA.,BNR.DE,DIM.PA,SCMN.SW,SK3.IR,RO.SW,MTX.DE,HLMA.L,EDEN.PA,NWG.L,BAER.SW,MONC.MI,IGD.MI,SWMA.ST,TKWY.AS,CHF,FER.MC,DNB,GBP,RTO.L,UCB.BR,CFR.SW,FORTUM.HE,OCDO.L,UMG.AS,RR.L,SUM
07/09/2021,2.8,2.25,2.1,1.68,1.58,1.23,1.22,1.16,1.14,0.93,0.91,0.9,0.87,0.87,0.86,0.8,0.78,0.71,0.68,0.67,0.66,0.64,0.64,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.45,0.43,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.03999999999999
07/12/2021,2.87,2.22,2.14,1.66,1.61,1.22,1.22,1.2,1.17,0.93,0.9,0.91,0.87,0.86,0.86,0.8,0.78,0.71,0.68,0.67,0.65,0.64,0.65,0.6,0.59,0.57,0.57,0.55,0.56,0.55,0.56,0.52,0.53,0.49,0.5,0.5,0.5,0.5,0.48,0.47,0.47,0.45,0.43,0.41,0.43,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.33,0.34,0.33,0.34,0.31,0.31,0.31,0.33,0.31,0.3,0.29,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.0,0.26,0.25,0.21,0.24,0.25,0.25,0.23,0.24,0.25,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.19,0.18,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.11,0.26,0.12,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.10999999999999
07/13/2021,2.87,2.22,2.14,1.66,1.61,1.22,1.22,1.2,1.17,0.93,0.9,0.91,0.87,0.86,0.86,0.8,0.78,0.71,0.68,0.67,0.65,0.64,0.65,0.6,0.59,0.57,0.57,0.55,0.56,0.55,0.56,0.52,0.53,0.49,0.5,0.5,0.5,0.5,0.48,0.47,0.47,0.45,0.43,0.41,0.43,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.33,0.34,0.33,0.34,0.31,0.31,0.31,0.33,0.31,0.3,0.29,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.0,0.26,0.25,0.21,0.24,0.25,0.25,0.23,0.24,0.25,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.19,0.18,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.11,0.26,0.12,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.10999999999999
07/14/2021,2.82,2.25,2.11,1.69,1.6,1.22,1.21,1.2,1.16,0.94,0.9,0.91,0.86,0.86,0.86,0.8,0.77,0.73,0.68,0.68,0.65,0.64,0.64,0.61,0.59,0.58,0.57,0.54,0.57,0.55,0.56,0.53,0.53,0.5,0.5,0.51,0.49,0.51,0.48,0.47,0.46,0.45,0.43,0.41,0.42,0.42,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.36,0.35,0.35,0.35,0.34,0.33,0.34,0.34,0.34,0.32,0.31,0.32,0.33,0.3,0.31,0.29,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.27,0.0,0.27,0.25,0.21,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.18,0.18,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.11,0.0,0.11,0.26,0.12,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.09
07/15/2021,2.82,2.25,2.11,1.69,1.6,1.22,1.21,1.2,1.16,0.94,0.9,0.91,0.86,0.86,0.86,0.8,0.77,0.73,0.68,0.68,0.65,0.64,0.64,0.61,0.59,0.58,0.57,0.54,0.57,0.55,0.56,0.53,0.53,0.5,0.5,0.51,0.49,0.51,0.48,0.47,0.46,0.45,0.43,0.41,0.42,0.42,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.36,0.35,0.35,0.35,0.34,0.33,0.34,0.34,0.34,0.32,0.31,0.32,0.33,0.3,0.31,0.29,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.27,0.0,0.27,0.25,0.21,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.18,0.18,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.11,0.0,0.11,0.26,0.12,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.09
07/16/2021,2.82,2.3,2.11,1.7,1.6,1.23,1.22,1.21,1.16,0.94,0.9,0.92,0.87,0.85,0.87,0.8,0.78,0.73,0.66,0.68,0.65,0.65,0.63,0.6,0.6,0.58,0.56,0.55,0.57,0.56,0.56,0.52,0.53,0.49,0.5,0.51,0.49,0.51,0.48,0.47,0.46,0.44,0.43,0.41,0.42,0.43,0.41,0.4,0.41,0.4,0.38,0.38,0.39,0.39,0.38,0.36,0.36,0.37,0.36,0.35,0.37,0.35,0.34,0.35,0.34,0.33,0.34,0.34,0.34,0.31,0.3,0.31,0.33,0.31,0.3,0.28,0.29,0.3,0.29,0.28,0.3,0.28,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.27,0.0,0.27,0.25,0.21,0.23,0.25,0.25,0.22,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.18,0.18,0.19,0.2,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24
07/19/2021,2.82,2.33,2.13,1.7,1.59,1.19,1.22,1.21,1.18,0.92,0.9,0.91,0.88,0.84,0.87,0.8,0.77,0.74,0.65,0.68,0.66,0.65,0.62,0.6,0.59,0.58,0.55,0.54,0.57,0.56,0.56,0.53,0.53,0.5,0.51,0.51,0.49,0.52,0.48,0.47,0.46,0.44,0.43,0.41,0.42,0.43,0.42,0.4,0.4,0.41,0.39,0.38,0.39,0.39,0.39,0.35,0.35,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.33,0.33,0.34,0.35,0.34,0.32,0.3,0.32,0.33,0.29,0.3,0.28,0.28,0.3,0.29,0.28,0.3,0.28,0.26,0.28,0.27,0.27,0.28,0.26,0.25,0.27,0.0,0.27,0.26,0.2,0.23,0.25,0.25,0.22,0.24,0.24,0.24,0.23,0.24,0.22,0.24,0.24,0.23,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.18,0.18,0.19,0.2,0.19,0.2,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.17,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.0,0.12,0.0,0.13,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19999999999999
07/20/2021,2.82,2.33,2.13,1.7,1.59,1.19,1.22,1.21,1.18,0.92,0.9,0.91,0.88,0.84,0.87,0.8,0.77,0.74,0.65,0.68,0.66,0.65,0.62,0.6,0.59,0.58,0.55,0.54,0.57,0.56,0.56,0.53,0.53,0.5,0.51,0.51,0.49,0.52,0.48,0.47,0.46,0.44,0.43,0.41,0.42,0.43,0.42,0.4,0.4,0.41,0.39,0.38,0.39,0.39,0.39,0.35,0.35,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.33,0.33,0.34,0.35,0.34,0.32,0.3,0.32,0.33,0.29,0.3,0.28,0.28,0.3,0.29,0.28,0.3,0.28,0.26,0.28,0.27,0.27,0.28,0.26,0.25,0.27,0.0,0.27,0.26,0.2,0.23,0.25,0.25,0.22,0.24,0.24,0.24,0.23,0.24,0.22,0.24,0.24,0.23,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.2,0.18,0.18,0.18,0.19,0.2,0.19,0.2,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.17,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.0,0.12,0.0,0.13,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19999999999999
07/21/2021,2.85,2.29,2.16,1.68,1.6,1.18,1.24,1.21,1.19,0.92,0.89,0.92,0.88,0.84,0.88,0.8,0.78,0.72,0.64,0.67,0.67,0.65,0.62,0.6,0.6,0.58,0.55,0.55,0.57,0.57,0.55,0.52,0.54,0.49,0.5,0.51,0.5,0.51,0.48,0.47,0.46,0.44,0.43,0.41,0.42,0.43,0.41,0.39,0.4,0.4,0.38,0.38,0.4,0.39,0.39,0.36,0.36,0.37,0.36,0.37,0.36,0.35,0.34,0.36,0.34,0.33,0.35,0.34,0.35,0.32,0.3,0.31,0.34,0.28,0.3,0.28,0.28,0.28,0.29,0.29,0.3,0.29,0.26,0.28,0.27,0.27,0.27,0.26,0.25,0.27,0.0,0.26,0.26,0.0,0.23,0.25,0.25,0.22,0.25,0.25,0.24,0.23,0.24,0.22,0.24,0.25,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.2,0.19,0.2,0.19,0.21,0.19,0.18,0.18,0.18,0.19,0.2,0.19,0.2,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.19,0.17,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.0,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.12,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.2,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.31
07/22/2021,2.92,2.3,2.2,1.69,1.62,1.2,1.26,1.22,1.22,0.92,0.88,0.93,0.88,0.83,0.89,0.78,0.78,0.71,0.62,0.67,0.65,0.66,0.6,0.58,0.58,0.57,0.53,0.55,0.56,0.56,0.55,0.51,0.54,0.48,0.5,0.51,0.51,0.5,0.48,0.47,0.46,0.43,0.43,0.4,0.43,0.43,0.4,0.38,0.4,0.4,0.37,0.37,0.4,0.39,0.39,0.35,0.36,0.37,0.36,0.37,0.36,0.34,0.33,0.36,0.33,0.34,0.36,0.33,0.34,0.31,0.29,0.3,0.35,0.29,0.3,0.27,0.28,0.28,0.28,0.28,0.31,0.29,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.0,0.26,0.27,0.21,0.23,0.25,0.25,0.22,0.24,0.25,0.23,0.22,0.24,0.22,0.24,0.25,0.23,0.22,0.22,0.23,0.23,0.22,0.23,0.21,0.21,0.21,0.22,0.2,0.18,0.21,0.19,0.21,0.19,0.18,0.18,0.18,0.19,0.2,0.19,0.2,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.2,0.17,0.17,0.17,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.15,0.13,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.12,0.15,0.13,0.13,0.12,0.12,0.0,0.13,0.0,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.0,0.0,0.0,0.0,0.28,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.28
