,Us Dollars,4308.T,MISXX,BLA.BK,Morgan Stanley Instl Lqudty Trs Instl,n/a,1833.T,688101.SS,SUM
07/09/2021,78.99,20.68,0.34,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,80.91,0.0,0.34,18.75,0.0,0.0,0.0,0.0,100.0
07/13/2021,80.91,0.0,0.34,18.75,0.0,0.0,0.0,0.0,100.0
07/14/2021,79.93,0.0,0.34,19.73,0.0,0.0,0.0,0.0,100.0
07/15/2021,79.51,0.0,0.33,20.15,0.0,0.0,0.0,0.0,99.99
07/16/2021,79.14,0.0,0.33,20.53,0.0,0.0,0.0,0.0,100.0
07/19/2021,79.3,0.0,0.33,20.37,0.0,0.0,0.0,0.0,100.0
07/20/2021,79.2,0.0,0.0,20.47,0.33,0.0,0.0,0.0,100.0
07/21/2021,79.2,0.0,0.33,20.47,0.0,0.0,0.0,0.0,100.0
07/22/2021,79.2,0.0,0.0,20.47,0.33,0.0,0.0,0.0,100.0
07/23/2021,81.36,0.0,0.34,18.3,0.0,0.0,0.0,0.0,100.0
07/26/2021,78.57,0.0,0.33,21.1,0.0,0.0,0.0,0.0,100.0
07/27/2021,78.41,0.0,0.32,21.27,0.0,0.0,0.0,0.0,100.0
07/28/2021,78.41,0.0,0.32,21.27,0.0,0.0,0.0,0.0,100.0
07/29/2021,77.38,0.0,0.32,22.3,0.0,0.0,0.0,0.0,100.0
07/30/2021,78.17,0.0,0.32,21.51,0.0,0.0,0.0,0.0,100.0
08/02/2021,76.95,0.0,0.32,22.74,0.0,0.0,0.0,0.0,100.01
08/03/2021,76.95,0.0,0.0,22.74,0.32,0.0,0.0,0.0,100.01
08/04/2021,76.95,0.0,0.32,22.74,0.0,0.0,0.0,0.0,100.01
08/05/2021,76.95,0.0,0.32,22.74,0.0,0.0,0.0,0.0,100.01
08/06/2021,78.53,0.0,0.32,21.15,0.0,0.0,0.0,0.0,100.0
08/09/2021,0.0,0.0,0.32,21.04,0.0,78.64,0.0,0.0,100.0
08/10/2021,0.0,0.0,0.32,20.5,0.0,79.18,0.0,0.0,100.0
08/11/2021,0.0,0.0,0.32,20.5,0.0,79.18,0.0,0.0,100.0
08/12/2021,0.0,0.0,0.33,19.29,0.0,80.38,0.0,0.0,100.0
08/16/2021,0.0,0.0,0.32,20.92,0.0,78.76,0.0,0.0,100.0
08/17/2021,0.0,0.0,0.32,21.23,0.0,78.45,0.0,0.0,100.0
08/19/2021,0.0,0.0,0.32,0.0,0.0,78.56,21.12,0.0,100.0
08/20/2021,0.0,0.0,0.32,20.21,0.0,79.47,0.0,0.0,100.0
08/23/2021,0.0,0.0,0.33,18.24,0.0,81.44,0.0,0.0,100.01
08/25/2021,0.0,0.0,0.33,0.0,0.0,82.13,0.0,17.55,100.01
08/27/2021,0.0,0.0,0.32,0.0,0.0,79.42,0.0,20.26,100.0
08/30/2021,0.0,0.0,0.32,0.0,0.0,79.24,0.0,20.45,100.01
08/31/2021,0.0,0.0,0.31,0.0,0.0,78.39,0.0,21.3,100.0
