,NESN.SW,BAC,JPM,INTC,CSCO,CRM,NOVN.SW,GOOGL,PEP,ABBV,ACN,GOOG,MCD,MDT,QCOM,SAP.DE,RY.TO,AGPXX,SIE.DE,TD.TO,GSK.L,ANTM,ENPH,MDLZ,BNS.TO,GM,BNP.PA,CL,EW,NAB.AX,KER.PA,ANZ.AX,CSX,F,MCO,ULVR.L,SEDG,CS.PA,NEM,9983.T,ISP.MI,LLOY.L,LULU,FSLR,ITX.MC,HPQ,YUM,BMW.DE,8411.T,6594.T,BEPC,6702.T,FMG.AX,VRSK,4503.T,VFC,4502.T,UCG.MI,4901.T,4523.T,5108.T,GLE.PA,DELL,WDC,XYL,7751.T,SOON.SW,HPE,UAL,PEAK,AY,HASI,TRI.TO,NCM.AX,AEM.TO,IMP.JO,9020.T,MNDI.L,IPG,CBI.MI,BXB.AX,6701.T,QBE.AX,NDSN,SBK.JO,NWG.L,CBI.MI.1,CAE.TO,PSON.L,CBI.MI.2,GFI.JO,K.TO,ANG.JO,SGP.AX,NKE,MGR.AX,MS,FR.PA,AMS.JO,GIL.TO,GPS,CBK.DE,RBA.TO,ITV.L,PNN.L,VOD.JO,LUN.TO,SYD.AX,OZL.AX,AZJ.AX,BARN.SW,STN.TO,BMW3.,VCX.AX,BTO.TO,YRI.TO,SCG.AX,NED.JO,COV.PA,QAN.AX,9202.T,CBI.MI.3,7936.T,DOW.AX,CBI.MI.4,Occidental Petrlm ([Wts/Rts]) 0%,4902.T,CBI.MI.5,CBI.MI.6,Cash,CBI.MI.7,CBI.MI.8,CBI.MI.9,CBI.MI.10,CBI.MI.11,CBI.MI.12,CBI.MI.13,Invesco Shrt-Trm Inv Gov&Agcy Instl,Australian Dollar,Norwegian Krone,DXS.AX,Hong Kong Dollar,OXY/WS,Canadian Dollar,South African Rand,Singapore Dollar,Swiss Franc,Danish Krone,Mexican Peso,Japanese Yen,Swedish Krone,British Sterling Pound,Euro,SUM
07/09/2021,5.59,4.9,4.4,3.69,3.51,3.51,3.47,3.32,3.14,3.09,2.94,2.78,2.67,2.61,2.53,2.36,2.2,2.18,1.97,1.93,1.52,1.43,1.42,1.34,1.19,1.15,1.09,1.04,0.98,0.96,0.95,0.89,0.88,0.88,0.88,0.86,0.85,0.79,0.75,0.73,0.72,0.67,0.62,0.61,0.58,0.56,0.5,0.49,0.46,0.44,0.43,0.42,0.42,0.41,0.39,0.38,0.38,0.35,0.35,0.34,0.34,0.33,0.33,0.31,0.3,0.29,0.27,0.26,0.24,0.24,0.24,0.23,0.22,0.21,0.19,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,5.63,4.68,4.29,3.68,3.49,3.55,3.49,3.42,3.17,3.15,3.02,2.85,2.7,2.64,2.5,2.46,2.19,0.0,1.96,1.92,1.52,1.44,1.4,1.35,1.16,1.1,1.04,1.05,1.0,0.97,0.94,0.89,0.9,0.84,0.9,0.88,0.82,0.78,0.76,0.71,0.7,0.66,0.64,0.62,0.57,0.56,0.51,0.47,0.45,0.45,0.43,0.44,0.42,0.43,0.39,0.38,0.38,0.34,0.36,0.33,0.34,0.32,0.33,0.31,0.3,0.29,0.28,0.26,0.23,0.25,0.24,0.24,0.22,0.22,0.2,0.19,0.17,0.17,0.15,0.0,0.16,0.16,0.15,0.15,0.14,0.14,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.07,0.06,0.07,0.06,0.04,0.06,0.06,0.07,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.14,0.13,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-0.7,100.05
07/13/2021,5.63,4.68,4.29,3.68,3.49,3.55,3.49,3.42,3.17,3.15,3.02,2.85,2.7,2.64,2.5,2.46,2.19,0.0,1.96,1.92,1.52,1.44,1.4,1.35,1.16,1.1,1.04,1.05,1.0,0.97,0.94,0.89,0.9,0.84,0.9,0.88,0.82,0.78,0.76,0.71,0.7,0.66,0.64,0.62,0.57,0.56,0.51,0.47,0.45,0.45,0.43,0.44,0.42,0.43,0.39,0.38,0.38,0.34,0.36,0.33,0.34,0.32,0.33,0.31,0.3,0.29,0.28,0.26,0.23,0.25,0.24,0.24,0.22,0.22,0.2,0.19,0.17,0.17,0.15,0.0,0.16,0.16,0.15,0.15,0.14,0.14,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.07,0.06,0.07,0.06,0.04,0.06,0.06,0.07,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.14,0.13,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-0.7,100.05
07/14/2021,5.54,4.54,4.98,3.42,3.43,3.41,3.43,3.12,3.13,3.09,2.96,2.56,2.63,2.59,2.38,2.41,2.18,0.0,1.92,1.85,1.49,1.43,1.4,1.34,1.17,1.11,1.03,1.05,1.01,0.97,0.95,0.89,0.85,0.85,0.9,0.87,0.81,0.8,0.75,0.71,0.7,0.68,0.66,0.61,0.58,0.56,0.53,0.5,0.46,0.45,0.42,0.44,0.42,0.44,0.39,0.4,0.38,0.36,0.36,0.34,0.34,0.34,0.37,0.31,0.32,0.29,0.31,0.28,0.24,0.27,0.24,0.23,0.25,0.22,0.22,0.19,0.17,0.19,0.19,0.0,0.16,0.16,0.15,0.17,0.17,0.21,0.0,0.13,0.12,0.0,0.11,0.11,0.11,0.09,0.13,0.09,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.05,0.05,0.09,0.07,0.07,0.04,0.06,0.05,0.03,0.06,0.06,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.14,0.13,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.71,99.95
07/15/2021,5.46,4.63,5.08,3.42,3.42,3.36,3.43,3.1,3.08,3.06,2.96,2.54,2.63,2.57,2.4,2.42,2.18,0.0,1.93,1.86,1.49,1.43,1.41,1.32,1.18,1.15,1.05,1.04,0.99,0.96,0.96,0.89,0.86,0.87,0.89,0.87,0.82,0.81,0.76,0.7,0.71,0.69,0.66,0.62,0.59,0.55,0.52,0.51,0.45,0.43,0.42,0.44,0.44,0.44,0.38,0.4,0.37,0.37,0.36,0.34,0.33,0.35,0.37,0.32,0.32,0.29,0.29,0.29,0.25,0.27,0.23,0.23,0.25,0.23,0.22,0.19,0.17,0.19,0.19,0.0,0.18,0.16,0.17,0.17,0.18,0.22,0.0,0.13,0.12,0.0,0.11,0.11,0.11,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.05,0.07,0.06,0.04,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.14,0.13,0.09,0.01,0.01,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.79,100.0
07/16/2021,5.49,4.7,5.15,3.46,3.39,3.33,3.45,3.13,3.08,3.09,2.95,2.56,2.63,2.57,2.42,2.43,2.2,0.0,1.93,1.87,1.5,1.46,1.43,1.32,1.18,1.15,1.05,1.05,0.99,0.96,0.97,0.89,0.86,0.88,0.89,0.87,0.82,0.81,0.75,0.7,0.72,0.7,0.64,0.63,0.59,0.54,0.52,0.52,0.46,0.45,0.41,0.44,0.46,0.43,0.39,0.4,0.38,0.37,0.36,0.33,0.33,0.35,0.36,0.32,0.32,0.29,0.3,0.28,0.25,0.27,0.24,0.24,0.25,0.23,0.21,0.19,0.17,0.19,0.19,0.0,0.18,0.16,0.17,0.17,0.17,0.22,0.0,0.13,0.12,0.0,0.12,0.11,0.11,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.07,0.08,0.07,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.06,0.06,0.04,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.14,0.13,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.74,99.96
07/19/2021,5.49,4.52,5.08,3.46,3.46,3.34,3.44,3.18,3.2,3.09,2.99,2.6,2.66,2.57,2.45,2.46,2.22,0.0,1.94,1.86,1.5,1.46,1.32,1.34,1.18,1.14,1.05,1.06,0.99,0.97,0.99,0.89,0.86,0.86,0.9,0.87,0.76,0.81,0.76,0.71,0.71,0.69,0.66,0.61,0.58,0.53,0.52,0.52,0.46,0.46,0.4,0.43,0.47,0.44,0.4,0.39,0.39,0.36,0.35,0.34,0.32,0.35,0.35,0.32,0.32,0.3,0.3,0.28,0.23,0.27,0.23,0.23,0.25,0.23,0.22,0.2,0.17,0.19,0.19,0.0,0.18,0.16,0.17,0.17,0.17,0.22,0.0,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.07,0.08,0.07,0.09,0.07,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.04,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.14,0.13,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.7,99.98
07/20/2021,5.49,4.55,5.13,3.45,3.46,3.3,3.41,3.17,3.24,3.11,3.02,2.6,2.68,2.55,2.43,2.45,2.23,0.0,1.9,1.86,1.47,1.48,1.28,1.36,1.18,1.12,1.05,1.07,0.99,0.96,0.98,0.88,0.87,0.85,0.9,0.87,0.75,0.81,0.76,0.71,0.71,0.69,0.66,0.58,0.55,0.52,0.52,0.52,0.46,0.46,0.4,0.43,0.48,0.45,0.4,0.39,0.39,0.36,0.36,0.34,0.32,0.35,0.35,0.31,0.32,0.3,0.31,0.28,0.23,0.28,0.23,0.23,0.25,0.24,0.22,0.2,0.17,0.19,0.19,0.0,0.18,0.16,0.17,0.18,0.16,0.22,0.0,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.07,0.08,0.07,0.09,0.07,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.04,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.14,0.13,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.71,99.94
07/21/2021,5.49,4.55,5.13,3.45,3.46,3.3,3.41,3.17,3.24,3.11,3.02,2.6,2.68,2.55,2.43,2.45,2.23,0.0,1.9,1.86,1.47,1.48,1.28,1.36,1.18,1.12,1.05,1.07,0.99,0.96,0.98,0.88,0.87,0.85,0.9,0.87,0.75,0.81,0.76,0.71,0.71,0.69,0.66,0.58,0.55,0.52,0.52,0.52,0.46,0.46,0.4,0.43,0.48,0.45,0.4,0.39,0.39,0.36,0.36,0.34,0.32,0.35,0.35,0.31,0.32,0.3,0.31,0.28,0.23,0.28,0.23,0.23,0.25,0.24,0.22,0.2,0.17,0.19,0.19,0.0,0.18,0.16,0.17,0.18,0.16,0.22,0.0,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.07,0.08,0.07,0.09,0.07,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.04,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.14,0.13,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.71,99.94
07/22/2021,5.56,4.47,5.05,3.42,3.48,3.33,3.46,3.19,3.27,3.14,3.01,2.63,2.67,2.57,2.42,2.46,2.21,0.0,1.9,1.86,1.5,1.48,1.28,1.38,1.18,1.1,1.04,1.09,1.01,0.96,0.97,0.88,0.87,0.83,0.92,0.89,0.74,0.81,0.75,0.69,0.7,0.68,0.66,0.57,0.56,0.52,0.52,0.51,0.47,0.46,0.4,0.43,0.48,0.46,0.4,0.38,0.39,0.36,0.35,0.3,0.32,0.34,0.35,0.3,0.32,0.3,0.3,0.28,0.23,0.28,0.24,0.23,0.26,0.24,0.22,0.19,0.17,0.19,0.19,0.0,0.18,0.16,0.17,0.18,0.16,0.22,0.0,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.1,0.09,0.08,0.08,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.04,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.14,0.13,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-0.71,99.96000000000002
