,MC.PA,SAN.PA,TTE.PA,OR.PA,SU.PA,AI.PA,AIR.PA,BNP.PA,KER.PA,DG.PA,EL.PA,CS.PA,SAF.PA,BN.PA,RMS.PA,RI.PA,SGO.PA,DSY.PA,CAP.PA,LR.PA,ML.PA,STM.PA,ENGI.PA,TEP.PA,VIV.PA,GLE.PA,WLN.PA,ORA.PA,MT.AS,VIE.PA,ACA.PA,ERF.PA,EDEN.PA,PUB.PA,DIM.PA,ALO.PA,CA.PA,URW.AS,HO.PA,BVI.PA,FGR.PA,EN.PA,SW.PA,SEV.PA,RNO.PA,AKE.PA,GET.PA,GFC.PA,FR.PA,UBI.PA,ORP.PA,AC.PA,ATO.PA,EDF.PA,FDJ.PA,EO.PA,AMUN.PA,LI.PA,SK.PA,BOL.PA,RCO.PA,SCR.PA,COV.PA,BIM.PA,IPN.PA,ADP.PA,RF.PA,MF.PA,EUR,AM.PA,CNP.PA,ILD.PA,XTSLA,WFFUT,CFN1,EUR.1,DSYA.,CFQ1,-,CFU1,CFV1,UMG.AS,VIEDS.PA,CFX1,USD,CF10,SUM
07/09/2021,11.06,5.97,5.75,5.67,4.44,4.23,3.96,3.55,3.32,2.96,2.63,2.53,2.45,2.39,2.36,2.34,1.73,1.69,1.6,1.48,1.38,1.31,1.28,1.24,1.23,1.23,1.19,1.16,1.1,0.86,0.83,0.79,0.74,0.74,0.7,0.68,0.64,0.57,0.57,0.47,0.44,0.43,0.43,0.41,0.39,0.39,0.37,0.36,0.35,0.35,0.34,0.33,0.31,0.31,0.29,0.29,0.28,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.2,0.2,0.18,0.18,0.16,0.15,0.14,0.11,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/12/2021,10.95,6.0,5.72,5.67,4.43,4.26,3.96,3.45,3.3,2.97,2.69,2.54,2.47,2.39,2.35,2.33,1.76,0.0,1.63,1.49,1.39,1.31,1.3,1.26,1.22,1.2,1.18,1.15,1.1,0.86,0.83,0.83,0.74,0.72,0.75,0.64,0.62,0.56,0.58,0.48,0.44,0.44,0.41,0.42,0.39,0.4,0.37,0.37,0.34,0.34,0.34,0.33,0.31,0.32,0.29,0.28,0.28,0.28,0.26,0.24,0.25,0.24,0.24,0.24,0.21,0.2,0.18,0.18,0.16,0.15,0.15,0.11,0.07,0.01,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/13/2021,10.95,6.0,5.72,5.67,4.43,4.26,3.96,3.45,3.3,2.97,2.69,2.54,2.47,2.39,2.35,2.33,1.76,0.0,1.63,1.49,1.39,1.31,1.3,1.26,1.22,1.2,1.18,1.15,1.1,0.86,0.83,0.83,0.74,0.72,0.75,0.64,0.62,0.56,0.58,0.48,0.44,0.44,0.41,0.42,0.39,0.4,0.37,0.37,0.34,0.34,0.34,0.33,0.31,0.32,0.29,0.28,0.28,0.28,0.26,0.24,0.25,0.24,0.24,0.24,0.21,0.2,0.18,0.18,0.16,0.15,0.15,0.11,0.07,0.01,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/14/2021,11.13,5.98,5.66,5.67,4.47,4.24,4.01,3.47,3.32,2.96,2.67,2.55,2.48,2.35,2.37,2.29,1.77,0.0,1.62,1.48,1.41,1.33,1.28,1.24,1.22,1.22,1.16,1.15,1.14,0.85,0.83,0.82,0.73,0.72,0.73,0.64,0.61,0.57,0.58,0.48,0.44,0.44,0.41,0.41,0.39,0.4,0.37,0.37,0.35,0.34,0.34,0.32,0.32,0.32,0.28,0.29,0.28,0.28,0.25,0.24,0.25,0.25,0.24,0.23,0.2,0.2,0.18,0.18,0.16,0.15,0.15,0.11,0.06,0.01,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11
07/15/2021,11.13,5.98,5.66,5.67,4.47,4.24,4.01,3.47,3.32,2.96,2.67,2.55,2.48,2.35,2.37,2.29,1.77,0.0,1.62,1.48,1.41,1.33,1.28,1.24,1.22,1.22,1.16,1.15,1.14,0.85,0.83,0.82,0.73,0.72,0.73,0.64,0.61,0.57,0.58,0.48,0.44,0.44,0.41,0.41,0.39,0.4,0.37,0.37,0.35,0.34,0.34,0.32,0.32,0.32,0.28,0.29,0.28,0.28,0.25,0.24,0.25,0.25,0.24,0.23,0.2,0.2,0.18,0.18,0.16,0.15,0.15,0.11,0.06,0.01,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11
07/16/2021,11.22,6.06,5.6,5.7,4.49,4.29,3.94,3.45,3.36,2.93,2.71,2.54,2.36,2.35,2.42,2.32,1.79,0.0,1.63,1.5,1.4,1.33,1.28,1.26,1.21,1.2,1.18,1.16,1.11,0.85,0.81,0.82,0.72,0.72,0.74,0.6,0.6,0.55,0.57,0.47,0.44,0.44,0.4,0.41,0.38,0.4,0.37,0.37,0.34,0.33,0.34,0.31,0.26,0.31,0.29,0.28,0.28,0.27,0.26,0.24,0.25,0.24,0.24,0.23,0.2,0.19,0.18,0.18,0.16,0.14,0.15,0.11,0.02,0.01,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,11.15,6.14,5.42,5.91,4.47,4.36,3.88,3.41,3.36,2.85,2.66,2.55,2.36,2.38,2.44,2.36,1.77,0.0,1.67,1.52,1.41,1.32,1.26,1.28,1.22,1.18,1.19,1.17,1.13,0.85,0.82,0.84,0.73,0.71,0.77,0.62,0.6,0.54,0.57,0.49,0.43,0.45,0.39,0.42,0.36,0.39,0.35,0.38,0.33,0.31,0.33,0.31,0.25,0.3,0.29,0.28,0.28,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.21,0.19,0.18,0.18,0.13,0.15,0.15,0.11,0.04,0.01,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
07/27/2021,11.17,6.04,5.43,5.82,4.51,4.31,3.93,3.43,3.33,2.87,2.67,2.57,2.39,2.3,2.44,2.35,1.79,0.0,1.67,1.52,1.4,1.34,1.26,1.28,1.23,1.19,1.23,1.15,1.15,0.86,0.82,0.83,0.75,0.74,0.77,0.61,0.59,0.55,0.58,0.49,0.43,0.44,0.4,0.41,0.36,0.38,0.35,0.37,0.32,0.32,0.34,0.31,0.24,0.3,0.29,0.27,0.28,0.27,0.26,0.25,0.25,0.23,0.25,0.24,0.2,0.19,0.18,0.18,0.13,0.15,0.15,0.11,0.04,0.01,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/29/2021,11.24,5.97,5.48,5.81,4.53,4.25,3.96,3.5,3.37,2.88,2.64,2.55,2.39,2.28,2.44,2.33,1.8,0.0,1.67,1.5,1.38,1.37,1.26,1.26,1.21,1.21,1.21,1.16,1.22,0.86,0.83,0.81,0.76,0.74,0.76,0.61,0.59,0.55,0.58,0.48,0.43,0.45,0.4,0.41,0.36,0.38,0.36,0.37,0.34,0.31,0.33,0.31,0.24,0.3,0.28,0.26,0.28,0.27,0.24,0.25,0.25,0.24,0.25,0.23,0.2,0.19,0.18,0.18,0.13,0.15,0.15,0.1,0.04,0.01,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07000000000002
08/02/2021,11.33,5.85,5.59,5.79,4.46,4.12,4.07,3.5,3.4,2.88,2.62,2.53,2.31,2.37,2.43,2.34,1.77,0.0,1.74,1.48,1.39,1.43,1.26,1.26,1.21,1.21,1.14,1.11,1.27,0.9,0.83,0.79,0.73,0.71,0.78,0.59,0.6,0.54,0.58,0.49,0.43,0.45,0.39,0.4,0.38,0.39,0.36,0.37,0.34,0.3,0.33,0.3,0.24,0.29,0.27,0.26,0.28,0.26,0.23,0.25,0.25,0.23,0.25,0.24,0.2,0.18,0.19,0.19,0.12,0.15,0.15,0.1,0.06,0.01,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
