,ISHARES JPMORGAN USD EMERGING MARK,CASH COLLATERAL USD XJPM,SWP: USD 0.862500 30-MAR-2045,SWP: USD 0.774500 01-APR-2030,SWP: USD 1.060000 18-SEP-2050,DERIV USD BALANCE WITH R73215 CME,BLK CSH FND TREASURY SL AGENCY,SWP: USD 0.874000 30-MAR-2050,SWP: USD 0.490000 25-SEP-2027,DERIV NZD BALANCE WITH R73215 CME,SWP: USD 1.940000 09-JUN-2041,SWP: USD 1.170000 08-DEC-2021,SWP: USD 2.383500 12-JAN-2023,USD CASH,SWP: USD 2.337500 08-DEC-2036,SWP: USD 3.245500 18-OCT-2028,SWP: USD 0.880000 14-JUL-2026,SWP: USD 0.000000 23-JUL-2028,SUM
07/09/2021,95.08,4.74,1.41,1.09,0.97,0.62,0.56,0.14,0.03,0.0,-0.04,-0.1,-0.23,-0.29,-0.81,-1.34,0.0,0.0,101.83
07/12/2021,94.2,4.82,1.36,0.96,0.92,1.05,0.42,0.1,0.03,0.0,-0.04,-0.11,-0.23,0.51,-0.82,-1.29,0.0,0.0,101.88
07/13/2021,94.2,4.82,1.36,0.96,0.92,1.05,0.42,0.1,0.03,0.0,-0.04,-0.11,-0.23,0.51,-0.82,-1.29,0.0,0.0,101.88
07/14/2021,93.63,4.65,1.48,1.12,1.04,0.1,0.14,0.11,0.03,0.0,-0.03,-0.1,-0.23,1.87,-0.72,-1.25,0.0,0.0,101.84
07/16/2021,93.27,4.65,1.56,1.21,1.11,-0.32,1.54,0.12,0.04,0.0,-0.04,-0.1,-0.17,0.56,-0.68,-1.22,0.0,0.0,101.53000000000002
07/19/2021,94.14,4.65,1.36,0.98,0.93,0.64,1.68,0.1,0.03,0.0,-0.06,-0.1,-0.17,-0.55,-0.8,-1.28,0.0,0.0,101.55
07/20/2021,94.14,4.65,1.36,0.98,0.93,0.64,1.68,0.1,0.03,0.0,-0.06,-0.1,-0.17,-0.55,-0.8,-1.28,0.0,0.0,101.55
07/21/2021,94.2,4.73,1.34,0.96,0.91,0.62,0.98,0.1,0.03,0.0,-0.06,-0.1,-0.17,0.11,-0.81,-1.28,0.0,0.0,101.56
07/22/2021,95.05,4.78,1.16,0.72,0.75,1.65,0.99,0.09,0.02,0.0,-0.08,-0.11,-0.17,-0.92,-0.95,-1.36,0.0,0.0,101.62
07/23/2021,93.19,4.82,1.12,0.76,0.82,1.22,0.99,0.09,0.02,0.0,-0.07,-0.1,-0.17,0.92,-0.89,-1.09,0.0,0.0,101.63
07/27/2021,92.75,4.59,1.2,0.91,0.91,0.7,2.67,0.1,0.03,0.0,-0.08,-0.1,-0.17,-0.03,-0.82,-1.06,0.0,0.01,101.61
07/29/2021,92.55,4.6,1.25,0.96,0.95,0.62,2.53,0.1,0.03,0.0,-0.07,-0.1,-0.17,0.2,-0.79,-1.05,0.0,0.01,101.62
07/30/2021,92.86,4.62,1.19,0.85,0.89,0.89,2.69,0.1,0.03,0.0,-0.09,-0.11,-0.18,-0.22,-0.85,-1.08,0.0,0.01,101.6
08/02/2021,92.5,4.59,1.26,0.96,0.97,0.47,2.39,0.11,0.03,0.0,-0.07,-0.1,-0.17,0.49,-0.78,-1.05,0.0,0.01,101.61
08/03/2021,92.74,4.58,1.23,0.88,0.94,0.7,2.67,0.1,0.03,0.0,-0.08,-0.11,-0.17,-0.02,-0.82,-1.07,0.0,0.01,101.61
08/04/2021,92.74,4.58,1.23,0.88,0.94,0.7,2.67,0.1,0.03,0.0,-0.08,-0.11,-0.17,-0.02,-0.82,-1.07,0.0,0.01,101.61000000000001
