,Invesco QQQ Trust,RSP,Blackrock Treasury Trust Instl 62,Cash,QQQ,n/a,SUM
07/09/2021,51.65,48.02,0.32,0.01,0.0,0.0,100.0
07/12/2021,52.08,47.66,0.32,-0.06,0.0,0.0,100.0
07/13/2021,52.08,47.66,0.32,-0.06,0.0,0.0,100.0
07/14/2021,51.89,47.86,0.26,0.0,0.0,0.0,100.01
07/15/2021,51.9,47.84,0.26,0.0,0.0,0.0,100.0
07/16/2021,52.14,47.6,0.26,0.0,0.0,0.0,100.0
07/19/2021,52.11,47.63,0.26,0.0,0.0,0.0,100.0
07/20/2021,52.09,47.64,0.26,0.0,0.0,0.0,99.99
07/21/2021,52.09,47.64,0.26,0.0,0.0,0.0,99.99
07/22/2021,52.09,47.64,0.26,0.0,0.0,0.0,99.99
07/23/2021,52.34,47.39,0.27,0.0,0.0,0.0,100.0
07/26/2021,52.34,47.41,0.25,0.0,0.0,0.0,100.0
07/27/2021,52.43,47.32,0.25,0.0,0.0,0.0,100.0
07/28/2021,52.43,47.32,0.25,0.0,0.0,0.0,100.0
07/29/2021,52.38,47.37,0.25,0.0,0.0,0.0,100.0
07/30/2021,52.14,47.6,0.25,0.0,0.0,0.0,99.99
08/02/2021,52.09,47.66,0.25,0.0,0.0,0.0,100.0
08/03/2021,52.09,47.66,0.25,0.0,0.0,0.0,100.0
08/04/2021,52.09,47.66,0.25,0.0,0.0,0.0,100.0
08/05/2021,52.09,47.66,0.25,0.0,0.0,0.0,100.0
08/06/2021,51.98,47.72,0.3,0.0,0.0,0.0,100.0
09/07/2021,0.0,49.55,0.0,0.0,50.32,0.13,100.0
09/08/2021,0.0,49.55,0.0,0.0,50.32,0.13,100.0
09/09/2021,0.0,49.55,0.0,0.0,50.32,0.13,100.0
09/10/2021,0.0,49.31,0.0,0.0,50.56,0.13,100.0
09/13/2021,0.0,49.4,0.0,0.0,50.47,0.13,100.0
09/14/2021,0.0,49.45,0.0,0.0,50.48,0.07,100.0
09/15/2021,0.0,49.45,0.0,0.0,50.48,0.07,100.0
09/16/2021,0.0,49.54,0.0,0.0,50.39,0.07,100.0
09/17/2021,0.0,49.43,0.0,0.0,50.5,0.07,100.0
09/20/2021,0.0,49.47,0.0,0.0,50.46,0.07,100.0
09/21/2021,0.0,49.48,0.0,0.0,50.45,0.07,100.0
09/22/2021,0.0,49.48,0.0,0.0,50.45,0.07,100.0
09/23/2021,0.0,49.48,0.0,0.0,50.45,0.07,100.0
09/27/2021,0.0,49.63,0.0,0.0,50.32,0.05,100.0
09/28/2021,0.0,49.64,0.0,0.0,50.31,0.05,100.0
09/29/2021,0.0,49.64,0.0,0.0,50.31,0.05,100.0
09/30/2021,0.0,49.64,0.0,0.0,50.31,0.05,100.0
10/01/2021,0.0,49.93,0.0,0.0,50.02,0.05,100.0
10/04/2021,0.0,50.37,0.0,0.0,49.59,0.04,100.0
10/05/2021,0.0,50.13,0.0,0.0,49.64,0.23,100.0
10/06/2021,0.0,50.13,0.0,0.0,49.64,0.23,100.0
10/07/2021,0.0,50.13,0.0,0.0,49.64,0.23,100.0
10/08/2021,0.0,50.5,0.0,0.0,49.27,0.23,100.0
10/11/2021,0.0,50.24,0.0,0.0,49.6,0.16,100.0
10/12/2021,0.0,50.3,0.0,0.0,49.54,0.15,99.99
10/13/2021,0.0,50.3,0.0,0.0,49.54,0.15,99.99
10/14/2021,0.0,50.36,0.0,0.0,49.49,0.16,100.01
10/15/2021,0.0,50.45,0.0,0.0,49.39,0.16,100.0
10/18/2021,0.0,50.27,0.0,0.0,49.58,0.15,100.0
10/19/2021,0.0,50.19,0.0,0.0,49.65,0.16,100.0
10/20/2021,0.0,50.19,0.0,0.0,49.65,0.16,100.0
10/21/2021,0.0,49.95,0.0,0.0,49.89,0.16,100.0
10/22/2021,0.0,49.91,0.0,0.0,49.93,0.16,100.0
10/25/2021,0.0,50.01,0.0,0.0,49.83,0.16,100.0
10/26/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
10/27/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
10/28/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
10/29/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
11/01/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
11/02/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
11/03/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
11/04/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
11/05/2021,0.0,50.29,0.0,0.0,49.55,0.16,100.0
11/08/2021,0.0,49.44,0.0,0.0,50.42,0.14,100.0
11/09/2021,0.0,49.61,0.0,0.0,50.25,0.14,100.0
11/10/2021,0.0,49.61,0.0,0.0,50.25,0.14,100.0
11/11/2021,0.0,49.61,0.0,0.0,50.25,0.14,100.0
11/12/2021,0.0,49.85,0.0,0.0,50.01,0.14,100.0
11/15/2021,0.0,50.06,0.0,0.0,49.8,0.14,100.0
11/16/2021,0.0,50.06,0.0,0.0,49.8,0.14,100.0
11/17/2021,0.0,50.06,0.0,0.0,49.8,0.14,100.0
11/18/2021,0.0,50.06,0.0,0.0,49.8,0.14,100.0
11/19/2021,0.0,49.82,0.0,0.0,50.05,0.14,100.01
