,FENER.IS,FENER.IS.1,FENER.IS.2,FENER.IS.3,2SPY  220331C00003150,2SPY  220331C00396320,Cash&Other,2SPY  220331C00430340,SUM
07/09/2021,99.23,11.23,0.64,-11.1,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,0.0,0.0,0.0,99.86,12.19,0.55,-12.6,100.0
07/13/2021,0.0,0.0,0.0,0.0,99.86,12.19,0.55,-12.6,100.0
07/14/2021,0.0,0.0,0.0,0.0,99.86,12.19,0.55,-12.6,100.0
07/15/2021,0.0,0.0,0.0,0.0,100.08,12.49,0.54,-13.11,100.0
07/16/2021,0.0,0.0,0.0,0.0,99.99,12.33,0.54,-12.87,99.99
07/19/2021,0.0,0.0,0.0,0.0,99.88,12.11,0.53,-12.53,99.99
07/20/2021,0.0,0.0,0.0,0.0,99.61,11.65,0.53,-11.79,100.0
07/21/2021,0.0,0.0,0.0,0.0,99.61,11.65,0.53,-11.79,100.0
07/22/2021,0.0,0.0,0.0,0.0,99.16,10.84,0.54,-10.55,99.99
07/23/2021,0.0,0.0,0.0,0.0,99.7,11.8,0.53,-12.03,100.0
07/26/2021,0.0,0.0,0.0,0.0,100.08,12.29,0.52,-12.9,99.99
07/27/2021,0.0,0.0,0.0,0.0,100.46,12.98,0.51,-13.96,99.99
07/28/2021,0.0,0.0,0.0,0.0,100.46,12.98,0.51,-13.96,99.99
07/29/2021,0.0,0.0,0.0,0.0,100.68,13.23,0.51,-14.42,100.0
07/30/2021,0.0,0.0,0.0,0.0,100.39,12.78,0.51,-13.68,100.0
08/02/2021,0.0,0.0,0.0,0.0,100.5,12.99,0.5,-13.99,100.0
08/03/2021,0.0,0.0,0.0,0.0,100.4,12.85,0.5,-13.75,100.0
08/04/2021,0.0,0.0,0.0,0.0,100.4,12.85,0.5,-13.75,100.0
08/05/2021,0.0,0.0,0.0,0.0,100.32,12.7,0.5,-13.52,100.0
08/06/2021,0.0,0.0,0.0,0.0,100.51,13.04,0.49,-14.05,99.99
08/10/2021,0.0,0.0,0.0,0.0,100.59,13.23,0.48,-14.3,100.0
08/11/2021,0.0,0.0,0.0,0.0,100.59,13.23,0.48,-14.3,100.0
08/12/2021,0.0,0.0,0.0,0.0,100.59,13.22,0.48,-14.29,100.0
08/13/2021,0.0,0.0,0.0,0.0,100.69,13.18,0.48,-14.35,100.0
08/16/2021,0.0,0.0,0.0,0.0,100.86,13.58,0.47,-14.91,100.0
08/17/2021,0.0,0.0,0.0,0.0,100.96,13.71,0.46,-15.14,99.98999999999998
08/18/2021,0.0,0.0,0.0,0.0,100.96,13.71,0.46,-15.14,99.98999999999998
08/19/2021,0.0,0.0,0.0,0.0,101.16,13.96,0.46,-15.58,100.0
08/20/2021,0.0,0.0,0.0,0.0,100.85,13.44,0.46,-14.75,100.0
08/23/2021,0.0,0.0,0.0,0.0,100.66,13.11,0.46,-14.23,100.0
08/24/2021,0.0,0.0,0.0,0.0,100.87,13.46,0.45,-14.78,100.0
08/25/2021,0.0,0.0,0.0,0.0,100.87,13.46,0.45,-14.78,100.0
08/26/2021,0.0,0.0,0.0,0.0,101.24,14.09,0.45,-15.79,99.99
08/27/2021,0.0,0.0,0.0,0.0,101.34,14.19,0.44,-15.98,99.99
08/30/2021,0.0,0.0,0.0,0.0,101.2,13.98,0.44,-15.63,99.99
08/31/2021,0.0,0.0,0.0,0.0,101.56,14.45,0.43,-16.44,100.0
09/01/2021,0.0,0.0,0.0,0.0,101.56,14.45,0.43,-16.44,100.0
09/02/2021,0.0,0.0,0.0,0.0,101.84,14.83,0.43,-17.1,100.0
09/03/2021,0.0,0.0,0.0,0.0,101.83,14.89,0.43,-17.15,100.0
09/06/2021,0.0,0.0,0.0,0.0,101.89,14.9,0.41,-17.21,99.99
09/07/2021,0.0,0.0,0.0,0.0,101.88,14.95,0.41,-17.24,100.0
09/08/2021,0.0,0.0,0.0,0.0,101.88,14.95,0.41,-17.24,100.0
09/09/2021,0.0,0.0,0.0,0.0,101.88,14.95,0.41,-17.24,100.0
09/10/2021,0.0,0.0,0.0,0.0,101.76,14.71,0.41,-16.89,99.99
09/13/2021,0.0,0.0,0.0,0.0,101.52,14.32,0.4,-16.25,99.99
09/14/2021,0.0,0.0,0.0,0.0,101.19,13.88,0.4,-15.48,99.99
09/15/2021,0.0,0.0,0.0,0.0,101.19,13.88,0.4,-15.48,99.99
09/16/2021,0.0,0.0,0.0,0.0,101.2,13.98,0.4,-15.58,100.0
09/17/2021,0.0,0.0,0.0,0.0,100.88,13.49,0.4,-14.77,100.0
09/20/2021,0.0,0.0,0.0,0.0,101.1,13.86,0.39,-15.35,100.0
09/21/2021,0.0,0.0,0.0,0.0,100.7,13.04,0.39,-14.14,99.99
09/22/2021,0.0,0.0,0.0,0.0,100.7,13.04,0.39,-14.14,99.99
09/23/2021,0.0,0.0,0.0,0.0,100.22,12.07,0.39,-12.68,100.0
09/24/2021,0.0,0.0,0.0,0.0,100.03,11.9,0.39,-12.32,100.0
09/27/2021,0.0,0.0,0.0,0.0,100.71,13.21,0.37,-14.31,99.98
09/28/2021,0.0,0.0,0.0,0.0,100.7,13.25,0.37,-14.32,100.0
