,KRX.IR,DG.PA,J,PWR,ACM,EN.PA,SKA B.ST,FGR.PA,MTZ,KBR,Taisei Corporation,EME,1803.T,1802.T,1812.T,ACS.MC,GS Engineering & Construction Corp.,STN.TO,1721.T,DY,FLR,1963.T,Kyowa Exeo Corporation,SNC.TO,HOT.DE,BBY.L,China Railway Group Ltd. (Class H),047040.KS,DOW.AX,1944.T,Peab AB (Class B),ARCAD.AS,GVA,1893.T,BOKA.AS,1414.T,6366.T,1824.T,"Nishimatsu Construction Co., Ltd.",CIM.AX,Nippo Corporation,Toda Corporation,NCC B.ST,SCYR.MC,"Kumagai Gumi Co., Ltd.",3311.HK,MER.PM,BAMNB.AS,Okumura Corporation,Webuild SpA,VEI.OL,US Dollar,ARE.TO,1926.T,TPC,1942.T,YIT Oyj (YIT),MND.AX,TRE.MC,SUM
07/09/2021,3.52,3.36,3.22,3.14,3.09,2.97,2.97,2.82,2.79,2.76,2.75,2.67,2.58,2.54,2.54,2.53,2.45,2.44,2.31,2.24,2.22,2.22,2.18,2.05,1.91,1.89,1.82,1.82,1.69,1.68,1.68,1.58,1.56,1.44,1.42,1.41,1.36,1.35,1.33,1.1,1.09,1.07,0.95,0.87,0.8,0.75,0.7,0.65,0.56,0.54,0.53,0.43,0.42,0.37,0.26,0.23,0.18,0.13,0.05,99.98
07/22/2021,3.62,3.23,3.23,3.14,3.01,3.05,3.03,2.76,2.71,2.87,2.98,2.67,2.75,2.69,2.69,2.37,2.47,2.48,2.39,2.03,2.15,2.24,2.26,1.9,1.85,1.82,1.84,1.72,1.67,1.73,1.57,1.56,1.48,1.47,1.36,1.48,1.39,1.34,1.37,1.07,1.09,1.12,0.95,0.79,0.84,0.76,0.68,0.58,0.59,0.51,0.52,0.43,0.41,0.39,0.26,0.25,0.18,0.13,0.05,99.97
07/23/2021,3.62,3.23,3.23,3.14,3.01,3.05,3.03,2.76,2.71,2.87,2.98,2.67,2.75,2.69,2.69,2.37,2.47,2.48,2.39,2.03,2.15,2.24,2.26,1.9,1.85,1.82,1.84,1.72,1.67,1.73,1.57,1.56,1.48,1.47,1.36,1.48,1.39,1.34,1.37,1.07,1.09,1.12,0.95,0.79,0.84,0.76,0.68,0.58,0.59,0.51,0.52,0.43,0.41,0.39,0.26,0.25,0.18,0.13,0.05,99.97
08/03/2021,3.89,3.3,3.31,3.26,3.13,3.12,3.13,2.82,2.76,2.84,2.76,2.71,2.4,2.53,2.54,2.47,2.44,2.55,2.33,2.15,2.25,2.11,2.2,2.09,1.96,1.86,1.66,1.74,1.59,1.64,1.55,1.67,1.51,1.4,1.4,1.4,1.15,1.29,1.36,1.13,1.05,1.09,0.96,0.82,0.8,0.69,0.65,0.65,0.58,0.55,0.53,0.48,0.46,0.4,0.28,0.25,0.18,0.13,0.04,99.99000000000002
08/04/2021,3.89,3.3,3.31,3.26,3.13,3.12,3.13,2.82,2.76,2.84,2.76,2.71,2.4,2.53,2.54,2.47,2.44,2.55,2.33,2.15,2.25,2.11,2.2,2.09,1.96,1.86,1.66,1.74,1.59,1.64,1.55,1.67,1.51,1.4,1.4,1.4,1.15,1.29,1.36,1.13,1.05,1.09,0.96,0.82,0.8,0.69,0.65,0.65,0.58,0.55,0.53,0.48,0.46,0.4,0.28,0.25,0.18,0.13,0.04,99.99000000000002
08/05/2021,3.89,3.3,3.31,3.26,3.13,3.12,3.13,2.82,2.76,2.84,2.76,2.71,2.4,2.53,2.54,2.47,2.44,2.55,2.33,2.15,2.25,2.11,2.2,2.09,1.96,1.86,1.66,1.74,1.59,1.64,1.55,1.67,1.51,1.4,1.4,1.4,1.15,1.29,1.36,1.13,1.05,1.09,0.96,0.82,0.8,0.69,0.65,0.65,0.58,0.55,0.53,0.48,0.46,0.4,0.28,0.25,0.18,0.13,0.04,99.99000000000002
