,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,KO,T,PEP,ABBV,NKE,TMO,MRK,ACN,AVGO,WMT,LLY,WFC,DHR,TXN,COST,MCD,MDT,QCOM,PM,UPS,HON,ORCL,LIN,BMY,UNP,NEE,C,AMGN,LOW,INTU,SBUX,MS,RTX,BA,BLK,GS,AMAT,AMT,IBM,TGT,CAT,AMD,MMM,GE,ISRG,NOW,AXP,DE,CVS,SCHW,SPGI,CHTR,ANTM,LMT,ZTS,BKNG,MU,PLD,FIS,LRCX,MDLZ,SYK,MO,CCI,TMUS,GILD,ADP,TJX,CI,PNC,DUK,USB,CME,EL,GM,CSX,EQIX,ATVI,TFC,BDX,MMC,CB,FDX,COF,CL,ILMN,NSC,ICE,EW,SHW,SO,ADSK,FISV,ITW,APD,ADI,BSX,REGN,D,ETN,MCO,HUM,EMR,PGR,GPN,F,HCA,IDXX,TWTR,WM,NXPI,NOC,AON,FCX,ECL,BIIB,VRTX,DG,NEM,ROP,JCI,IQV,KLAC,PSA,DOW,TROW,A,KMB,MSCI,ROST,EBAY,LHX,TEL,TT,CMG,MET,SLB,ALGN,EXC,CNC,DLR,APTV,INFO,DXCM,AEP,GD,SNPS,SRE,SPG,APH,EA,ALXN,BAX,DD,ORLY,AIG,PPG,BK,MCHP,PRU,ALL,CARR,PH,STATE STREET INSTITUTIONAL LIQ STATE STR,SYY,MPC,STZ,CDNS,MSI,TRV,MAR,PSX,IFF,DFS,XEL,SSIXX,WELL,RMD,GIS,State Street Instl Liquid Reserves Prem,FTNT,YUM,SBAC,CTSH,HLT,GEN.,GE.,NUE,WBA,XLNX,ROK,n/a,MTD,MRNA,SIVB,AZO,PAYX,O,CTAS,FRC,HPQ,SUM
07/09/2021,6.19,5.81,4.38,2.35,2.11,2.05,1.46,1.43,1.41,1.29,1.23,1.12,1.07,0.95,0.94,0.92,0.91,0.88,0.84,0.79,0.73,0.67,0.65,0.64,0.63,0.62,0.61,0.59,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.01
07/12/2021,6.27,5.83,4.46,2.31,2.1,2.05,1.45,1.38,1.4,1.27,1.24,1.12,1.08,0.97,0.94,0.94,0.9,0.88,0.82,0.81,0.74,0.66,0.64,0.63,0.62,0.63,0.61,0.59,0.59,0.56,0.58,0.57,0.57,0.57,0.55,0.55,0.54,0.53,0.53,0.49,0.49,0.48,0.5,0.48,0.48,0.43,0.43,0.43,0.42,0.43,0.42,0.42,0.4,0.41,0.38,0.39,0.38,0.39,0.38,0.36,0.36,0.36,0.35,0.34,0.34,0.35,0.35,0.34,0.32,0.3,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06
07/13/2021,6.27,5.83,4.46,2.31,2.1,2.05,1.45,1.38,1.4,1.27,1.24,1.12,1.08,0.97,0.94,0.94,0.9,0.88,0.82,0.81,0.74,0.66,0.64,0.63,0.62,0.63,0.61,0.59,0.59,0.56,0.58,0.57,0.57,0.57,0.55,0.55,0.54,0.53,0.53,0.49,0.49,0.48,0.5,0.48,0.48,0.43,0.43,0.43,0.42,0.43,0.42,0.42,0.4,0.41,0.38,0.39,0.38,0.39,0.38,0.36,0.36,0.36,0.35,0.34,0.34,0.35,0.35,0.34,0.32,0.3,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06
07/14/2021,6.28,5.78,4.4,2.32,2.08,2.03,1.47,1.38,1.4,1.3,1.23,1.11,1.07,0.97,0.94,0.93,0.9,0.89,0.83,0.8,0.73,0.65,0.64,0.63,0.62,0.62,0.61,0.59,0.58,0.56,0.57,0.57,0.57,0.56,0.54,0.55,0.54,0.53,0.52,0.5,0.49,0.48,0.5,0.48,0.48,0.44,0.43,0.43,0.43,0.44,0.42,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.35,0.34,0.33,0.3,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.02000000000001
07/15/2021,6.23,5.74,4.38,2.33,2.1,2.04,1.46,1.41,1.45,1.31,1.23,1.11,1.08,0.98,0.94,0.92,0.9,0.92,0.84,0.79,0.73,0.65,0.64,0.62,0.63,0.62,0.61,0.58,0.58,0.56,0.57,0.57,0.57,0.56,0.54,0.54,0.54,0.53,0.52,0.5,0.48,0.49,0.5,0.48,0.47,0.44,0.42,0.42,0.43,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.34,0.33,0.3,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.27,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.96000000000001
07/16/2021,6.3,5.84,4.35,2.33,2.11,2.05,1.46,1.39,1.42,1.3,1.23,1.13,1.09,0.98,0.93,0.92,0.93,0.92,0.83,0.8,0.73,0.66,0.64,0.62,0.63,0.62,0.61,0.58,0.59,0.56,0.58,0.57,0.57,0.56,0.54,0.55,0.54,0.53,0.52,0.49,0.48,0.49,0.5,0.49,0.47,0.44,0.42,0.42,0.43,0.44,0.42,0.42,0.4,0.4,0.39,0.39,0.38,0.38,0.39,0.38,0.36,0.35,0.35,0.35,0.34,0.35,0.35,0.34,0.32,0.3,0.32,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.27,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.13000000000001
07/19/2021,6.43,5.85,4.3,2.28,2.11,2.06,1.46,1.31,1.38,1.3,1.22,1.16,1.09,0.96,0.95,0.94,0.94,0.92,0.81,0.8,0.73,0.66,0.65,0.61,0.62,0.62,0.62,0.57,0.6,0.56,0.59,0.57,0.57,0.56,0.54,0.55,0.54,0.54,0.51,0.51,0.49,0.48,0.5,0.49,0.47,0.44,0.43,0.43,0.45,0.43,0.42,0.42,0.4,0.42,0.39,0.39,0.38,0.38,0.39,0.38,0.36,0.34,0.34,0.35,0.34,0.35,0.35,0.35,0.32,0.29,0.32,0.31,0.31,0.3,0.31,0.3,0.3,0.29,0.27,0.27,0.27,0.25,0.26,0.24,0.24,0.26,0.25,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.14,0.1,0.0,0.1,0.11,0.1,0.11,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.11
07/20/2021,6.39,5.88,4.26,2.27,2.12,2.08,1.46,1.26,1.38,1.28,1.23,1.17,1.1,0.96,0.95,0.96,0.94,0.91,0.8,0.81,0.73,0.65,0.65,0.61,0.62,0.63,0.63,0.58,0.61,0.56,0.6,0.58,0.57,0.57,0.55,0.55,0.53,0.54,0.51,0.51,0.5,0.48,0.5,0.49,0.47,0.44,0.43,0.42,0.44,0.44,0.42,0.42,0.4,0.42,0.38,0.4,0.39,0.38,0.39,0.38,0.35,0.33,0.34,0.34,0.33,0.36,0.35,0.35,0.32,0.29,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.24,0.23,0.26,0.26,0.23,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.1,0.1,0.14,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.17000000000002
07/21/2021,6.39,5.88,4.26,2.27,2.12,2.08,1.46,1.26,1.38,1.28,1.23,1.17,1.1,0.96,0.95,0.96,0.94,0.91,0.8,0.81,0.73,0.65,0.65,0.61,0.62,0.63,0.63,0.58,0.61,0.56,0.6,0.58,0.57,0.57,0.55,0.55,0.53,0.54,0.51,0.51,0.5,0.48,0.5,0.49,0.47,0.44,0.43,0.42,0.44,0.44,0.42,0.42,0.4,0.42,0.38,0.4,0.39,0.38,0.39,0.38,0.35,0.33,0.34,0.34,0.33,0.36,0.35,0.35,0.32,0.29,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.24,0.23,0.26,0.26,0.23,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.1,0.1,0.14,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.17000000000002
07/22/2021,6.39,5.88,4.26,2.27,2.12,2.08,1.46,1.26,1.38,1.28,1.23,1.17,1.1,0.96,0.95,0.96,0.94,0.91,0.8,0.81,0.73,0.65,0.65,0.61,0.62,0.63,0.63,0.58,0.61,0.56,0.6,0.58,0.57,0.57,0.55,0.55,0.53,0.54,0.51,0.51,0.5,0.48,0.5,0.49,0.47,0.44,0.43,0.42,0.44,0.44,0.42,0.42,0.4,0.42,0.38,0.4,0.39,0.38,0.39,0.38,0.35,0.33,0.34,0.34,0.33,0.36,0.35,0.35,0.32,0.29,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.24,0.23,0.26,0.26,0.23,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.17000000000002
