,Cash,Nasdaq 100 Index Swap Goldman Sachs International - Cash Offset,Nasdaq 100 Index Swap Societe Generale - Cash Offset,Nasdaq 100 Index Swap Citibank Na - Cash Offset,Nasdaq 100 Index Swap Ubs Ag - Cash Offset,Nasdaq 100 Index Swap Bnp Paribas - Cash Offset,Nasdaq 100 Index Swap Bank Of America Na - Cash Offset,Nasdaq 100 Index Swap Jp Morgan Securities - Cash Offset,B 0 04/21/22,Nasdaq 100 09/17/21 (Nqu1) - Cash Offset,B 0 09/09/21,B 0 08/12/21,B 0 11/04/21,B 0 02/24/22,B 0 12/16/21,B 0 03/24/22,B 0 12/30/21,B 0 07/01/21,United States Treasury Bills,B 0 12/02/21,B 0 12/23/21,XIB 0 10/07/21,B 0 07/08/21,B 0 07/29/21,B 0 08/05/21,B 0 10/14/21,B 0 10/21/21,B 0 01/27/22,B 0 05/19/22,B 0 06/16/22,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc - Cash Offset,B 0 09/30/21,B 0 07/15/21,B 0 09/23/21,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc,E-mini Nasdaq 100 Future Sept 21,Nasdaq 100 Index Swap Jp Morgan Securities,Nasdaq 100 Index Swap Bank Of America Na,Nasdaq 100 Index Swap Bnp Paribas,Nasdaq 100 Index Swap Ubs Ag,Nasdaq 100 Index Swap Citibank Na,Nasdaq 100 Index Swap Societe Generale,Nasdaq 100 Index Swap Goldman Sachs International,B 0 11/12/21,B 0 10/07/21,XIB 0 10/14/21,SUM
07/09/2021,47.0,34.09,24.6,19.6,15.82,15.14,12.03,11.99,7.4,6.42,5.25,3.36,3.36,3.23,2.69,2.69,2.15,2.02,2.02,2.02,2.02,1.61,1.35,1.35,1.35,1.35,1.35,1.35,1.34,1.34,1.29,1.08,0.67,0.67,-1.29,-6.42,-11.99,-12.03,-15.14,-15.82,-19.6,-24.6,-34.09,0.0,0.0,0.0,100.02
07/15/2021,47.0,34.09,24.6,19.6,15.82,15.14,12.03,11.99,7.4,6.42,5.25,3.36,3.36,3.23,2.69,2.69,2.15,2.02,1.08,2.02,2.02,0.0,1.35,1.35,1.35,0.0,1.35,1.35,1.34,1.34,1.29,0.0,0.67,0.67,-1.29,-6.42,-11.99,-12.03,-15.14,-15.82,-19.6,-24.6,-34.09,2.02,1.61,1.35,100.02
07/16/2021,47.0,34.09,24.6,19.6,15.82,15.14,12.03,11.99,7.4,6.42,5.25,3.36,3.36,3.23,2.69,2.69,2.15,2.02,2.02,2.02,2.02,0.0,1.35,1.35,1.35,0.0,1.35,1.35,1.34,1.34,1.29,1.08,0.67,0.67,-1.29,-6.42,-11.99,-12.03,-15.14,-15.82,-19.6,-24.6,-34.09,0.0,1.61,1.35,100.02000000000001
