,AMT,EQIX,PSA,PLD,AVB,WY,EQR,SGRO.L,DRE,ELS,823.HK,REXR,EGP,COR,TRNO,PCH,PSB,GMT.NZ,BWP.AX,INA.AX,CHCT,AIV,KLCC.KL,HBRN.IR,ARF.AX,CQE.AX,UHT,HMC.AX,IGBREIT.KL,FTREIT.BK,WHART/F.BK,IHR.L,AXREIT.KL,IMPACT.BK,M1GU.SI,PSB.1,UKCM.L,CPT,FR,NTST,AEWU.L,n/a,CCI,LXI.L,CREI.L,WHART.F.BK,MAA,SUI,PEAK,ME8U.SI,SUM
07/09/2021,12.32,11.99,11.91,11.82,4.94,4.92,4.89,4.88,4.85,4.84,4.77,2.94,2.53,2.17,1.72,1.37,1.13,0.68,0.59,0.52,0.41,0.39,0.38,0.37,0.36,0.33,0.3,0.28,0.25,0.24,0.22,0.21,0.17,0.15,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,12.35,12.11,11.9,11.82,4.93,4.86,4.85,5.01,4.86,4.89,4.66,2.92,2.52,2.19,1.72,1.36,1.13,0.69,0.57,0.5,0.41,0.38,0.37,0.37,0.35,0.33,0.29,0.28,0.23,0.24,0.21,0.21,0.16,0.14,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,12.35,12.11,11.9,11.82,4.93,4.86,4.85,5.01,4.86,4.89,4.66,2.92,2.52,2.19,1.72,1.36,1.13,0.69,0.57,0.5,0.41,0.38,0.37,0.37,0.35,0.33,0.29,0.28,0.23,0.24,0.21,0.21,0.16,0.14,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,12.24,11.89,11.93,11.91,5.0,4.95,4.94,5.03,4.92,4.93,4.53,2.91,2.53,2.2,1.72,1.37,1.13,0.69,0.57,0.48,0.41,0.39,0.37,0.37,0.35,0.33,0.29,0.27,0.23,0.23,0.21,0.21,0.16,0.14,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,12.2,11.92,11.89,11.99,5.03,4.88,4.93,5.08,4.93,4.9,4.54,2.91,2.54,2.2,1.72,1.35,1.12,0.68,0.57,0.49,0.41,0.4,0.36,0.38,0.35,0.34,0.29,0.27,0.23,0.23,0.21,0.21,0.16,0.14,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,12.2,11.92,11.89,11.99,5.03,4.88,4.93,5.08,4.93,4.9,4.54,2.91,2.54,2.2,1.72,1.35,1.12,0.68,0.57,0.49,0.41,0.4,0.36,0.38,0.35,0.34,0.29,0.27,0.23,0.23,0.21,0.21,0.16,0.14,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,12.27,11.96,11.88,11.89,5.03,4.75,4.96,5.05,4.9,4.89,4.88,2.89,2.52,2.17,1.7,1.32,1.13,0.68,0.57,0.49,0.41,0.39,0.36,0.36,0.34,0.33,0.29,0.27,0.23,0.23,0.2,0.21,0.16,0.14,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,12.24,11.96,11.87,11.93,5.04,4.73,4.98,5.01,4.91,4.91,4.91,2.91,2.53,2.17,1.7,1.31,1.13,0.67,0.56,0.47,0.41,0.38,0.36,0.36,0.34,0.33,0.29,0.27,0.23,0.23,0.2,0.2,0.16,0.14,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,12.28,11.92,11.88,11.96,5.06,4.65,5.0,5.0,4.92,4.97,4.94,2.9,2.53,2.17,1.71,1.28,1.12,0.67,0.55,0.47,0.41,0.38,0.34,0.37,0.33,0.31,0.29,0.27,0.22,0.23,0.21,0.2,0.16,0.14,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,12.28,11.92,11.88,11.96,5.06,4.65,5.0,5.0,4.92,4.97,4.94,2.9,2.53,2.17,1.71,1.28,1.12,0.67,0.55,0.47,0.41,0.38,0.34,0.37,0.33,0.31,0.29,0.27,0.22,0.23,0.21,0.2,0.16,0.14,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
