,SCHH,AGG,SPAB,BND,AMLP,QQQ,NTSX,VIG,XLU,SCHX,PFFD,JEPI,BAB,VCIT,VOO,IVV,FBND,USHY,VMBS,SUM
03/15/2022,11.11,10.82,10.81,10.81,7.21,6.61,6.39,5.85,5.02,4.51,4.1,3.56,2.88,2.35,2.22,2.21,1.78,1.16,0.59,99.99
03/24/2022,6.07,11.51,11.49,11.5,7.51,7.48,7.07,6.56,5.44,2.53,4.44,3.93,3.12,2.51,2.52,2.52,1.9,1.26,0.63,99.99
03/29/2022,6.07,11.26,11.25,11.26,7.93,7.76,7.14,6.59,5.52,2.59,4.36,3.95,3.01,2.45,2.57,2.57,1.87,1.25,0.61,100.01
04/22/2022,6.04,11.46,11.45,11.44,8.29,7.32,6.32,7.18,5.36,2.51,4.32,3.94,2.47,1.87,2.48,2.48,1.26,3.18,0.63,100.0
05/03/2022,5.89,11.88,11.87,11.85,8.11,6.87,6.11,7.08,5.2,2.41,4.4,3.89,2.57,1.92,2.38,2.38,1.3,3.24,0.65,100.0
05/20/2022,6.69,11.73,11.73,11.73,7.95,7.42,5.09,6.44,5.92,2.49,3.81,4.48,2.56,1.93,2.46,2.47,1.28,3.16,0.64,99.98
05/23/2022,6.58,12.02,11.98,12.01,7.86,7.15,4.99,6.22,5.96,2.42,3.86,4.39,2.62,1.98,2.39,2.39,1.3,3.22,0.66,100.0
06/07/2022,6.67,11.66,11.64,11.66,8.31,7.33,5.09,6.36,6.01,2.48,3.91,4.4,2.55,1.93,2.45,2.45,1.27,3.2,0.64,100.01000000000002
07/04/2022,6.28,12.11,12.09,12.1,7.03,7.29,5.01,6.97,5.7,2.44,3.9,4.55,2.66,1.97,2.39,2.4,1.31,3.14,0.66,100.0
