,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust C 3.46,US Dollar,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust P 329.93,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust P 243.10,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust C 379.73,SUM
07/09/2021,114.08,0.49,0.42,-0.09,-14.89,100.01
07/12/2021,114.79,0.49,0.41,-0.1,-15.59,100.0
07/13/2021,114.79,0.49,0.41,-0.1,-15.59,100.0
07/22/2021,112.42,0.49,0.62,-0.15,-13.38,100.0
08/03/2021,115.57,0.48,0.32,-0.07,-16.29,100.00999999999999
