,Spy 12/17/2021 5.55 C,Spy 12/17/2021 367.28 P,U.S. Bank Money Market Deposit Account,Spy 12/17/2021 312.15 P,Spy 12/17/2021 412.23 C,SUM
07/09/2021,106.18,1.56,0.28,-0.61,-7.41,100.0
07/12/2021,107.45,1.49,0.15,-0.6,-8.49,100.0
07/13/2021,107.45,1.49,0.15,-0.6,-8.49,100.0
07/14/2021,106.7,1.72,0.15,-0.7,-7.87,100.0
07/15/2021,107.66,1.4,0.15,-0.56,-8.65,100.0
07/16/2021,107.66,1.4,0.15,-0.56,-8.65,100.0
07/19/2021,107.87,1.48,0.12,-0.59,-8.88,100.0
07/20/2021,107.45,1.55,0.12,-0.61,-8.51,100.0
07/21/2021,106.84,1.72,0.12,-0.68,-8.0,100.0
07/22/2021,106.84,1.72,0.12,-0.68,-8.0,100.0
07/23/2021,106.84,1.72,0.12,-0.68,-8.0,100.0
07/26/2021,107.54,1.51,0.12,-0.6,-8.56,100.01000000000002
07/27/2021,107.54,1.51,0.12,-0.6,-8.56,100.01000000000002
07/28/2021,108.51,1.37,0.12,-0.56,-9.44,100.0
07/29/2021,108.51,1.37,0.12,-0.56,-9.44,100.0
07/30/2021,108.81,1.3,0.12,-0.53,-9.71,99.99
08/02/2021,108.47,1.38,0.0,-0.56,-9.29,100.0
08/03/2021,108.47,1.38,0.0,-0.56,-9.29,100.0
08/04/2021,108.47,1.38,0.0,-0.56,-9.29,100.0
08/05/2021,108.47,1.38,0.0,-0.56,-9.29,100.0
08/06/2021,108.6,1.28,0.15,-0.52,-9.51,100.0
