,AMZN,GOOG,NVDA,FB,MSFT,V,NOW,ZI,NET,CRWD,SNOW,NFLX,PYPL,ASML,ISRG,LSCC,SQ,SE,EW,ADI,APTV,AMAT,DHR,MDT,NXPI,TRMB,ADBE,DIS,MRVL,ATVI,PLAN,WDAY,UBER,GH,EXAS,ZS,MQ,TMO,TTWO,CRNC,UPST,SUM
12/06/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/07/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/08/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/09/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/10/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/13/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/14/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/15/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/16/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/17/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/20/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/21/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/22/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/23/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/24/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/27/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/28/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/29/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/30/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
12/31/2021,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/03/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/03/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/03/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/04/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/05/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/06/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/07/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/10/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
