,2SPY  210930C00002700,2QQQ  210930C00278120,Cash&Other,2SPY  210930C00373770,2QQQ  210930C00310390,2SPY  220930C00003470,2QQQ  220930C00357980,2SPY  220930C00467290,2QQQ  220930C00389780,SUM
07/09/2021,105.74,24.72,0.32,-15.15,-15.63,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,106.39,25.02,0.31,-15.8,-15.92,0.0,0.0,0.0,0.0,100.0
07/13/2021,106.39,25.02,0.31,-15.8,-15.92,0.0,0.0,0.0,0.0,100.0
07/14/2021,106.39,25.02,0.31,-15.8,-15.92,0.0,0.0,0.0,0.0,100.0
07/15/2021,106.72,25.46,0.3,-16.17,-16.31,0.0,0.0,0.0,0.0,100.0
07/16/2021,106.44,25.42,0.3,-15.86,-16.3,0.0,0.0,0.0,0.0,100.00000000000004
07/19/2021,106.18,24.6,0.29,-15.51,-15.57,0.0,0.0,0.0,0.0,99.98999999999998
07/20/2021,105.46,24.0,0.29,-14.81,-14.95,0.0,0.0,0.0,0.0,99.98999999999997
07/21/2021,105.46,24.0,0.29,-14.81,-14.95,0.0,0.0,0.0,0.0,99.98999999999997
07/22/2021,104.35,23.37,0.29,-13.66,-14.35,0.0,0.0,0.0,0.0,100.0
07/23/2021,105.56,24.45,0.29,-14.97,-15.33,0.0,0.0,0.0,0.0,100.0
07/26/2021,106.32,25.87,0.28,-15.82,-16.66,0.0,0.0,0.0,0.0,99.99
07/27/2021,107.12,26.86,0.27,-16.63,-17.62,0.0,0.0,0.0,0.0,100.00000000000004
07/28/2021,107.12,26.86,0.27,-16.63,-17.62,0.0,0.0,0.0,0.0,100.00000000000004
07/29/2021,107.42,27.03,0.27,-16.96,-17.78,0.0,0.0,0.0,0.0,99.98
07/30/2021,106.82,25.61,0.27,-16.27,-16.43,0.0,0.0,0.0,0.0,100.00000000000004
08/02/2021,107.16,25.97,0.26,-16.66,-16.73,0.0,0.0,0.0,0.0,100.0
08/03/2021,106.94,25.95,0.26,-16.47,-16.69,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,106.94,25.95,0.26,-16.47,-16.69,0.0,0.0,0.0,0.0,99.98999999999998
08/05/2021,106.68,25.92,0.26,-16.21,-16.65,0.0,0.0,0.0,0.0,100.0
08/06/2021,107.19,26.33,0.26,-16.72,-17.07,0.0,0.0,0.0,0.0,99.98999999999998
08/10/2021,107.56,26.7,0.25,-17.14,-17.37,0.0,0.0,0.0,0.0,100.0
08/11/2021,107.56,26.7,0.25,-17.14,-17.37,0.0,0.0,0.0,0.0,100.0
08/12/2021,107.43,26.89,0.25,-17.04,-17.53,0.0,0.0,0.0,0.0,100.0
08/13/2021,107.45,26.27,0.25,-17.04,-16.93,0.0,0.0,0.0,0.0,100.0
08/16/2021,108.01,26.49,0.24,-17.62,-17.13,0.0,0.0,0.0,0.0,99.99
08/17/2021,108.17,26.84,0.24,-17.79,-17.46,0.0,0.0,0.0,0.0,100.0
08/18/2021,108.17,26.84,0.24,-17.79,-17.46,0.0,0.0,0.0,0.0,100.0
08/19/2021,108.48,26.9,0.23,-18.1,-17.52,0.0,0.0,0.0,0.0,99.98999999999998
08/20/2021,107.67,25.81,0.23,-17.24,-16.48,0.0,0.0,0.0,0.0,99.98999999999998
08/23/2021,107.02,25.64,0.22,-16.56,-16.33,0.0,0.0,0.0,0.0,99.99
08/24/2021,107.57,26.61,0.22,-17.15,-17.26,0.0,0.0,0.0,0.0,99.99
08/25/2021,107.57,26.61,0.22,-17.15,-17.26,0.0,0.0,0.0,0.0,99.99
08/26/2021,108.54,28.22,0.22,-18.17,-18.81,0.0,0.0,0.0,0.0,100.0
08/27/2021,108.61,28.41,0.22,-18.24,-19.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,108.25,27.86,0.21,-17.92,-18.41,0.0,0.0,0.0,0.0,99.99000000000002
08/31/2021,109.08,28.88,0.21,-18.73,-19.44,0.0,0.0,0.0,0.0,100.0
09/01/2021,109.08,28.88,0.21,-18.73,-19.44,0.0,0.0,0.0,0.0,100.0
09/02/2021,109.61,30.19,0.2,-19.27,-20.73,0.0,0.0,0.0,0.0,100.0
09/03/2021,109.6,30.15,0.2,-19.27,-20.68,0.0,0.0,0.0,0.0,100.0
09/06/2021,109.73,30.0,0.2,-19.39,-20.55,0.0,0.0,0.0,0.0,99.99
09/07/2021,109.74,30.48,0.2,-19.4,-21.02,0.0,0.0,0.0,0.0,100.0
09/08/2021,109.74,30.48,0.2,-19.4,-21.02,0.0,0.0,0.0,0.0,100.0
09/09/2021,109.74,30.48,0.2,-19.4,-21.02,0.0,0.0,0.0,0.0,100.0
09/10/2021,109.31,30.53,0.2,-18.97,-21.06,0.0,0.0,0.0,0.0,100.01
09/13/2021,108.7,29.81,0.19,-18.36,-20.34,0.0,0.0,0.0,0.0,100.0
09/14/2021,107.93,29.08,0.19,-17.67,-19.53,0.0,0.0,0.0,0.0,100.0
09/15/2021,107.93,29.08,0.19,-17.67,-19.53,0.0,0.0,0.0,0.0,100.0
09/16/2021,108.25,29.03,0.18,-17.94,-19.53,0.0,0.0,0.0,0.0,99.99
09/17/2021,107.6,28.72,0.18,-17.29,-19.22,0.0,0.0,0.0,0.0,99.99
09/20/2021,108.2,29.42,0.17,-17.88,-19.91,0.0,0.0,0.0,0.0,100.0
09/21/2021,106.87,27.89,0.17,-16.49,-18.44,0.0,0.0,0.0,0.0,100.0
09/22/2021,106.87,27.89,0.17,-16.49,-18.44,0.0,0.0,0.0,0.0,100.0
09/23/2021,105.16,25.7,0.17,-14.76,-16.28,0.0,0.0,0.0,0.0,99.98999999999997
09/24/2021,105.01,25.81,0.17,-14.63,-16.37,0.0,0.0,0.0,0.0,99.98999999999998
09/27/2021,107.75,27.91,-0.15,-17.0,-18.55,0.0,0.0,0.0,0.0,99.96
09/28/2021,107.77,28.04,-0.12,-17.15,-18.54,0.0,0.0,0.0,0.0,100.0
