,BRX,RVI,CUBE,K2LU.SI,AIV,EXR,INA.AX,ARF.AX,PSA,SKT,IRM,CXP,AMH,MNR,M44U.SI,DXPE,IIPR,HIW,8986.T,NNN,GMG.AX,AFIN,CHC.AX,SITC,ME8U.SI,BDN,FR,UBA,DANHOS13.MX,PDM,VICI,CONE,8967.T,DRE,KIM,MONT.BR,O5RU.SI,ILPT,PSB,OFC,AX.UN.TO,REXR,RFF.AX,KRG,TERRA13.MX,GNL,BWCU.SI,PLD,CTRE,K71U.SI,STAG,FSP,C2PU.SI,QTS,HPI.AX,FIBRAPL14.MX,AXREIT.KL,OHI,TRNO,GRT.UN.TO,VASTN.AS,FIBRAMQ12.MX,AJBU.SI,BWP.AX,GTY,LXP,KLCC.KL,EQC,ALX,NHI,Cash,LTC,BRG,DLR,UD1U.SI,EKGYO.IS,WPG,Singapore Dollar,Malaysian Ringgit,Mexican Peso,Canadian Dollar,DIR.UN.TO,SRU.UN.TO,HR.UN.TO,LSI,CDR,AEWU.L,AHB.JO,OLP,HYP.JO,AVB,UMH,AHH,BFS,O,RPT,ROIC,BCPT.L,SRC,3292.T,STOR,SOT.UN.TO,REI.UN.TO,MAA,PGRE,3472.T,3451.T,3287.T,PINE,YGGYO.E.IS,8953.T,3476.T,808.HK,VKE.JO,SAC.JO,3459.T,n/a,BNL,8955.T,8968.T,8964.T,ECMPA.AS,SBRA,3463.T,SNGYO.E.IS,EQR,WHA.AS,CPT,VTR,SUM
07/09/2021,2.01,1.94,1.65,1.63,1.61,1.53,1.49,1.46,1.46,1.44,1.43,1.42,1.41,1.4,1.39,1.39,1.39,1.38,1.37,1.37,1.36,1.36,1.36,1.36,1.36,1.36,1.35,1.35,1.35,1.34,1.33,1.33,1.33,1.32,1.31,1.31,1.3,1.3,1.3,1.3,1.3,1.29,1.29,1.28,1.28,1.27,1.27,1.26,1.25,1.24,1.24,1.23,1.22,1.21,1.21,1.2,1.2,1.19,1.19,1.19,1.19,1.18,1.18,1.14,1.14,1.14,1.14,1.13,1.12,1.11,1.09,1.09,1.08,1.07,1.05,0.93,0.43,0.06,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/18/2021,1.26,1.7,1.5,0.0,0.0,1.52,0.0,0.0,1.44,1.06,0.0,1.33,1.34,0.0,0.0,0.0,0.0,1.27,0.0,1.21,0.0,1.21,0.0,1.38,0.0,1.23,0.0,1.31,1.44,1.22,1.22,0.0,0.0,1.43,1.32,0.0,1.29,1.34,1.43,0.0,1.29,0.0,0.0,1.26,0.0,0.0,1.16,0.0,0.0,0.0,1.38,1.19,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.94,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.76,1.7,1.55,1.5,1.48,1.47,1.45,1.44,1.43,1.35,1.34,1.3,1.3,1.28,1.27,1.27,1.26,1.25,1.24,1.23,1.23,1.22,1.2,1.2,1.19,1.19,1.18,1.18,1.18,1.18,1.17,1.17,1.16,1.15,1.15,1.12,1.11,1.11,1.1,1.1,1.1,1.08,1.05,1.05,1.04,0.98,0.64,99.96000000000002
