,PGR,PFE,CAH,PRU,XOM,VZ,IBM,WBA,DOW,MMM,PM,LYB,GILD,DUK,MO,SO,IP,LUMN,NEE,K,EIX,KMI,PFG,UNM,AMCR,ED,FE,NWL,ETR,OKE,STX,IPG,ORI,R,WMB,AFG,CFG,KEY,PPL,XRX,BEN,RF,HBAN,SPG,MCY,WU,LEG,FLO,IRM,NAVI,VTR,PNW,OGE,MSM,FHN,CMA,HRB,NLOK,JHG,TNL,SR,PBCT,NYCB,O,NFG,FGXXX,FHI,VLY,UMPQ,FNB,ETRN,CMP,MPW,ALE,NWE,UBSI,KIM,VNO,FULT,OHI,AM,ACC,FRT,STOR,HIW,NNN,LSI,OFC,COR,WRI,SRC,DOC,UE,ABBV,T,COST,KHC,GIS,D,CSX,VLO,NI,HR,WING,KD WI,ONL,LMT,MRK,KMB,AEP,NEM,CVX,HBI,EVRG,SWX,PEAK,HPP,SLG,SUM
07/09/2021,4.85,4.6,4.57,4.53,4.52,4.52,4.52,4.13,4.1,3.48,3.09,2.98,2.77,2.5,2.2,2.17,2.14,2.03,1.85,1.47,1.45,1.43,1.41,1.36,1.29,1.26,1.12,1.05,1.04,1.04,1.0,0.94,0.9,0.88,0.87,0.86,0.78,0.76,0.72,0.71,0.69,0.69,0.55,0.5,0.49,0.49,0.46,0.46,0.41,0.4,0.39,0.37,0.34,0.33,0.32,0.31,0.29,0.27,0.26,0.23,0.23,0.22,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,4.93,4.64,4.6,4.47,4.42,4.61,4.37,4.09,4.12,3.55,3.1,2.94,2.78,2.55,2.19,2.21,2.17,2.02,1.9,1.49,1.47,1.44,1.39,1.32,1.31,1.3,1.14,1.03,1.07,1.03,1.03,0.93,0.9,0.86,0.86,0.85,0.75,0.74,0.73,0.73,0.7,0.66,0.54,0.48,0.48,0.5,0.46,0.46,0.42,0.4,0.39,0.37,0.35,0.34,0.31,0.3,0.29,0.28,0.26,0.22,0.23,0.21,0.18,0.18,0.16,0.07,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,4.93,4.64,4.6,4.47,4.42,4.61,4.37,4.09,4.12,3.55,3.1,2.94,2.78,2.55,2.19,2.21,2.17,2.02,1.9,1.49,1.47,1.44,1.39,1.32,1.31,1.3,1.14,1.03,1.07,1.03,1.03,0.93,0.9,0.86,0.86,0.85,0.75,0.74,0.73,0.73,0.7,0.66,0.54,0.48,0.48,0.5,0.46,0.46,0.42,0.4,0.39,0.37,0.35,0.34,0.31,0.3,0.29,0.28,0.26,0.22,0.23,0.21,0.18,0.18,0.16,0.07,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,4.92,4.64,4.58,4.44,4.45,4.54,4.39,4.05,4.14,3.54,3.1,2.98,2.76,2.54,2.2,2.19,2.18,2.01,1.88,1.49,1.47,1.46,1.38,1.32,1.29,1.29,1.12,1.04,1.07,1.06,1.03,0.95,0.9,0.86,0.87,0.85,0.76,0.74,0.73,0.73,0.7,0.67,0.55,0.49,0.48,0.5,0.46,0.46,0.43,0.41,0.4,0.37,0.34,0.34,0.31,0.3,0.3,0.27,0.26,0.22,0.22,0.21,0.18,0.18,0.16,0.1,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,4.93,4.65,4.59,4.49,4.43,4.54,4.37,4.06,4.14,3.53,3.07,2.96,2.74,2.56,2.2,2.19,2.18,1.99,1.88,1.47,1.47,1.44,1.39,1.33,1.29,1.28,1.12,1.04,1.07,1.05,1.04,0.94,0.9,0.86,0.86,0.86,0.77,0.75,0.73,0.72,0.7,0.68,0.55,0.5,0.48,0.49,0.46,0.46,0.43,0.42,0.4,0.37,0.34,0.33,0.32,0.3,0.3,0.27,0.27,0.22,0.23,0.21,0.18,0.18,0.16,0.1,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,4.88,4.69,4.61,4.47,4.45,4.58,4.39,4.08,4.15,3.56,3.07,2.98,2.77,2.58,2.19,2.2,2.17,1.99,1.89,1.47,1.46,1.44,1.38,1.32,1.31,1.28,1.11,1.03,1.06,1.04,1.04,0.93,0.89,0.87,0.86,0.86,0.76,0.75,0.73,0.71,0.67,0.67,0.55,0.49,0.49,0.51,0.45,0.45,0.43,0.42,0.4,0.37,0.34,0.33,0.31,0.3,0.29,0.27,0.27,0.22,0.23,0.21,0.18,0.18,0.16,0.07,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,4.74,4.74,4.59,4.47,4.31,4.62,4.4,3.99,4.1,3.61,3.12,2.96,2.78,2.65,2.22,2.25,2.12,1.98,1.94,1.49,1.47,1.4,1.39,1.32,1.31,1.31,1.13,1.05,1.08,1.01,1.01,0.92,0.89,0.86,0.84,0.88,0.76,0.75,0.73,0.71,0.66,0.67,0.55,0.49,0.47,0.5,0.44,0.46,0.43,0.42,0.41,0.38,0.35,0.33,0.31,0.3,0.3,0.26,0.27,0.22,0.23,0.21,0.18,0.18,0.16,0.13,0.16,0.16,0.15,0.14,0.14,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/20/2021,4.74,4.74,4.59,4.47,4.31,4.62,4.4,3.99,4.1,3.61,3.12,2.96,2.78,2.65,2.22,2.25,2.12,1.98,1.94,1.49,1.47,1.4,1.39,1.32,1.31,1.31,1.13,1.05,1.08,1.01,1.01,0.92,0.89,0.86,0.84,0.88,0.76,0.75,0.73,0.71,0.66,0.67,0.55,0.49,0.47,0.5,0.44,0.46,0.43,0.42,0.41,0.38,0.35,0.33,0.31,0.3,0.3,0.26,0.27,0.22,0.23,0.21,0.18,0.18,0.16,0.13,0.16,0.16,0.15,0.14,0.14,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/21/2021,4.84,4.81,4.63,4.44,4.23,4.65,4.39,4.01,4.01,3.59,3.14,2.84,2.82,2.69,2.23,2.28,2.11,1.93,1.99,1.51,1.49,1.4,1.39,1.3,1.31,1.34,1.15,1.06,1.1,1.0,1.0,0.91,0.89,0.84,0.84,0.89,0.74,0.73,0.75,0.69,0.65,0.66,0.54,0.48,0.47,0.51,0.44,0.47,0.43,0.42,0.41,0.39,0.35,0.33,0.3,0.3,0.3,0.26,0.27,0.21,0.23,0.2,0.18,0.18,0.16,0.13,0.16,0.15,0.15,0.13,0.13,0.17,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/22/2021,4.84,4.81,4.63,4.44,4.23,4.65,4.39,4.01,4.01,3.59,3.14,2.84,2.82,2.69,2.23,2.28,2.11,1.93,1.99,1.51,1.49,1.4,1.39,1.3,1.31,1.34,1.15,1.06,1.1,1.0,1.0,0.91,0.89,0.84,0.84,0.89,0.74,0.73,0.75,0.69,0.65,0.66,0.54,0.48,0.47,0.51,0.44,0.47,0.43,0.42,0.41,0.39,0.35,0.33,0.3,0.3,0.3,0.26,0.27,0.21,0.23,0.2,0.18,0.18,0.16,0.13,0.16,0.15,0.15,0.13,0.13,0.17,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
