,2899 HK,914 HK,3323.HK,600309 C1,1772 HK,1378.HK,2600 HK,2689.HK,358 HK,1313.HK,3993 HK,002812 C2,002493 C2,600346 C1,002460 C2,603799 C1,600019 C1,2314.HK,1818.HK,1787 HK,603993 C1,603659 C1,1208.HK,600111 C1,600585 C1,600426 C1,601600 C1,600010 C1,002601 C2,600547 C1,600176 C1,601233 C1,002709 C2,600362 C1,601899 C1,000703 C2,002340 C2,600219 C1,601216 C1,300285 C2,600489 C1,600352 C1,000825 C2,000932 C2,600486 C1,600989 C1,300699 C2,002078 C2,600549 C1,000630 C2,600160 C1,002010 C2,000709 C2,603737 C1,600143 C1,000975 C2,600688 C1,002075 C2,000629 C2,600801 C1,601992 C1,002683 C2,002080 C2,300037 C2,002409 C2,000401 C2,002648 C2,002541 C2,002064 C2,000830 C2,600392 C1,000301 C2,600988 C1,000807 C2,2798.HK,CASH,246 HK,67 HK,n/a,2899.HK,336.HK,3323 HK,1378 HK,1313 HK,2689 HK,336 HK,2314 HK,1208 HK,1818 HK,67.HK,SUM
09/09/2021,7.67,7.36,6.59,3.37,5.17,3.25,3.29,2.71,2.62,2.91,2.87,2.45,2.14,1.74,2.22,1.57,2.29,1.47,1.1,1.15,1.41,1.1,1.25,2.05,1.25,0.9,1.19,1.89,0.93,0.81,0.95,0.71,0.85,0.72,1.15,0.62,0.76,0.75,0.66,0.0,0.61,0.61,0.75,0.64,0.53,0.61,0.5,0.51,0.56,0.61,0.6,0.48,0.5,0.34,0.35,0.36,0.37,0.24,0.61,0.44,0.37,0.33,0.34,0.27,0.27,0.28,0.28,0.21,0.22,0.25,0.27,0.46,0.17,0.22,0.0,0.0,0.0,0.0,0.19,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/10/2021,7.44,7.39,6.54,3.37,5.12,3.19,3.46,2.63,2.55,2.91,2.8,2.57,2.2,1.71,2.21,1.55,2.37,1.44,1.08,1.15,1.37,1.13,1.21,2.19,1.24,0.91,1.25,1.85,0.93,0.78,0.98,0.72,0.91,0.69,1.09,0.6,0.77,0.76,0.65,0.0,0.58,0.62,0.83,0.66,0.53,0.59,0.48,0.5,0.56,0.59,0.61,0.45,0.5,0.31,0.35,0.35,0.41,0.24,0.64,0.45,0.36,0.33,0.36,0.32,0.27,0.27,0.26,0.2,0.22,0.27,0.27,0.45,0.16,0.23,0.0,0.0,0.0,0.0,0.32,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,7.37,7.14,6.48,3.25,4.92,3.66,3.69,2.57,2.54,2.81,2.62,2.42,2.27,1.73,2.14,1.42,2.45,1.42,1.05,1.13,1.37,1.14,1.22,2.23,1.23,0.95,1.39,1.88,0.92,0.8,0.98,0.73,0.88,0.72,1.11,0.59,0.75,0.79,0.72,0.0,0.59,0.61,0.86,0.68,0.51,0.61,0.47,0.51,0.58,0.62,0.61,0.46,0.52,0.29,0.34,0.37,0.42,0.26,0.61,0.46,0.37,0.32,0.35,0.3,0.26,0.29,0.27,0.2,0.22,0.28,0.27,0.46,0.17,0.26,0.0,0.0,0.0,0.0,0.55,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/14/2021,7.37,7.14,6.48,3.25,4.92,3.66,3.69,2.57,2.54,2.81,2.62,2.42,2.27,1.73,2.14,1.42,2.45,1.42,1.05,1.13,1.37,1.14,1.22,2.23,1.23,0.95,1.39,1.88,0.92,0.8,0.98,0.73,0.88,0.72,1.11,0.59,0.75,0.79,0.72,0.0,0.59,0.61,0.86,0.68,0.51,0.61,0.47,0.51,0.58,0.62,0.61,0.46,0.52,0.29,0.34,0.37,0.42,0.26,0.61,0.46,0.37,0.32,0.35,0.3,0.26,0.29,0.27,0.2,0.22,0.28,0.27,0.46,0.17,0.26,0.0,0.0,0.0,0.0,0.55,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/15/2021,7.72,7.16,6.57,3.19,4.78,3.66,3.6,2.62,2.61,2.89,2.72,2.4,2.19,1.71,2.16,1.46,2.37,1.42,1.03,1.14,1.46,1.14,1.22,2.25,1.25,0.9,1.35,1.79,0.88,0.82,0.94,0.7,0.88,0.72,1.15,0.58,0.76,0.77,0.72,0.0,0.58,0.6,0.89,0.66,0.49,0.58,0.46,0.52,0.58,0.67,0.6,0.44,0.5,0.28,0.33,0.37,0.4,0.26,0.6,0.48,0.36,0.32,0.34,0.3,0.28,0.28,0.27,0.2,0.21,0.27,0.28,0.48,0.17,0.26,0.0,0.0,0.0,0.0,0.43,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,7.82,6.99,6.28,3.42,4.47,3.7,3.79,2.57,2.7,2.89,2.85,2.41,2.18,1.74,2.09,1.35,2.44,1.37,1.03,1.19,1.52,1.12,1.25,2.11,1.27,0.94,1.45,1.77,0.91,0.87,0.93,0.71,0.85,0.77,1.16,0.58,0.73,0.8,0.68,0.0,0.6,0.62,0.88,0.66,0.47,0.6,0.44,0.48,0.6,0.72,0.61,0.43,0.49,0.27,0.32,0.38,0.4,0.25,0.6,0.49,0.36,0.31,0.33,0.3,0.26,0.28,0.28,0.18,0.21,0.27,0.28,0.49,0.17,0.28,0.0,0.0,0.0,0.0,0.42,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,7.66,7.01,6.36,3.41,4.65,3.65,3.65,2.56,2.61,2.94,2.79,2.71,2.25,1.79,2.09,1.42,2.33,1.36,1.03,1.19,1.45,1.3,1.18,2.15,1.28,0.93,1.41,1.75,0.92,0.87,0.94,0.72,0.94,0.73,1.13,0.6,0.74,0.74,0.67,0.0,0.58,0.61,0.84,0.64,0.49,0.59,0.45,0.47,0.58,0.73,0.59,0.44,0.48,0.29,0.32,0.37,0.44,0.24,0.57,0.47,0.36,0.32,0.36,0.37,0.25,0.28,0.29,0.19,0.22,0.26,0.3,0.5,0.17,0.29,0.0,0.0,0.0,0.0,0.15,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/20/2021,7.44,6.98,6.22,3.49,4.56,3.6,3.71,2.56,2.6,2.9,2.73,2.64,2.24,1.86,2.09,1.38,2.4,1.38,0.97,1.19,1.44,1.39,1.18,2.04,1.26,0.93,1.43,1.78,0.96,0.89,0.93,0.74,0.97,0.71,1.1,0.63,0.74,0.73,0.69,0.0,0.59,0.65,0.93,0.65,0.49,0.67,0.47,0.48,0.56,0.7,0.66,0.47,0.5,0.27,0.35,0.38,0.45,0.24,0.6,0.46,0.37,0.31,0.42,0.38,0.25,0.28,0.31,0.2,0.23,0.27,0.29,0.48,0.17,0.3,0.0,0.0,0.0,0.0,0.15,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,7.44,6.98,6.22,3.49,4.56,3.6,3.71,2.56,2.6,2.9,2.73,2.64,2.24,1.86,2.09,1.38,2.4,1.38,0.97,1.19,1.44,1.39,1.18,2.04,1.26,0.93,1.43,1.78,0.96,0.89,0.93,0.74,0.97,0.71,1.1,0.63,0.74,0.73,0.69,0.0,0.59,0.65,0.93,0.65,0.49,0.67,0.47,0.48,0.56,0.7,0.66,0.47,0.5,0.27,0.35,0.38,0.45,0.24,0.6,0.46,0.37,0.31,0.42,0.38,0.25,0.28,0.31,0.2,0.23,0.27,0.29,0.48,0.17,0.3,0.0,0.0,0.0,0.0,0.15,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,7.22,7.23,6.47,3.28,4.69,3.48,3.72,2.61,2.5,2.94,2.75,2.58,2.01,1.66,1.9,1.32,2.13,1.38,0.96,1.16,1.29,1.36,1.17,1.79,1.19,0.87,1.34,1.55,0.86,0.8,0.88,0.67,0.95,0.64,1.0,0.57,0.67,0.67,0.63,0.0,0.53,0.64,0.84,0.57,0.44,0.62,0.43,0.43,0.51,0.62,0.64,0.45,0.45,0.24,0.32,0.33,0.41,0.22,0.53,0.42,0.34,0.29,0.41,0.36,0.23,0.26,0.27,0.17,0.2,0.25,0.27,0.44,0.15,0.25,0.0,0.0,0.0,0.0,4.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,7.05,7.16,6.33,3.34,4.64,3.39,3.66,2.57,2.43,2.92,2.63,2.62,2.05,1.69,1.94,1.34,2.17,1.35,0.95,1.15,1.32,1.38,1.12,1.82,1.21,0.89,1.36,1.58,0.88,0.81,0.89,0.68,0.97,0.65,1.02,0.58,0.68,0.68,0.64,0.0,0.54,0.65,0.85,0.58,0.45,0.63,0.44,0.44,0.52,0.63,0.65,0.46,0.46,0.25,0.32,0.34,0.42,0.22,0.54,0.43,0.34,0.29,0.42,0.36,0.23,0.27,0.28,0.17,0.21,0.26,0.28,0.45,0.16,0.26,0.0,0.0,0.0,0.0,4.08,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
