,NEM,ABX.TO,n/a,FNV.TO,WPM.TO,NCM.AX,AEM.TO,KL.TO,EDG.,AU,NST.AX,K.TO,RGLD,POLY.L,EVN.AX,PAAS.TO,EDV.TO,BTO.TO,YRI.TO,SSRM,AGI.TO,PVG.TO,601899.SS,FRES.L,HAM.,EQX,OR.TO,CG.TO,BVN.,ELD.TO,PRU.AX,IMG.TO,CEY.L,CDE,WDO.TO,KNT.TO,DPM.TO,SLR.AX,SSL.TO,RRL.AX,OGC.NE,NGD.TO,1818.HK,GOR.AX,DEG.AX,RMS.AX,600547.SS,TXG.TO,WAF.AX,SBM.AX,POG.L,LUG.TO,WGX.AX,GGD.TO,AR.TO,SUM
01/11/2022,14.31,11.12,8.42,8.38,6.03,5.0,4.25,3.61,3.07,2.74,2.68,2.33,2.3,1.86,1.78,1.65,1.34,1.34,1.29,1.21,0.96,0.9,0.87,0.72,0.66,0.61,0.61,0.6,0.57,0.56,0.49,0.47,0.46,0.43,0.4,0.4,0.39,0.38,0.37,0.36,0.34,0.34,0.34,0.33,0.31,0.3,0.29,0.28,0.28,0.25,0.23,0.21,0.21,0.19,0.18,100.0
01/12/2022,14.36,11.07,8.81,8.34,5.97,4.96,4.22,3.58,3.1,2.74,2.67,2.35,2.3,1.84,1.73,1.62,1.33,1.32,1.29,1.19,0.95,0.91,0.83,0.71,0.65,0.61,0.6,0.59,0.59,0.57,0.49,0.46,0.47,0.43,0.4,0.41,0.38,0.37,0.37,0.35,0.35,0.35,0.33,0.32,0.31,0.3,0.29,0.28,0.28,0.24,0.24,0.21,0.21,0.2,0.17,100.00999999999998
01/13/2022,14.36,11.07,8.81,8.34,5.97,4.96,4.22,3.58,3.1,2.74,2.67,2.35,2.3,1.84,1.73,1.62,1.33,1.32,1.29,1.19,0.95,0.91,0.83,0.71,0.65,0.61,0.6,0.59,0.59,0.57,0.49,0.46,0.47,0.43,0.4,0.41,0.38,0.37,0.37,0.35,0.35,0.35,0.33,0.32,0.31,0.3,0.29,0.28,0.28,0.24,0.24,0.21,0.21,0.2,0.17,100.00999999999998
01/14/2022,14.38,11.22,8.72,8.51,6.0,4.88,4.28,3.62,3.09,2.7,2.58,2.35,2.32,1.8,1.69,1.64,1.32,1.29,1.29,1.2,0.96,0.89,0.83,0.69,0.64,0.62,0.61,0.58,0.59,0.58,0.47,0.46,0.46,0.44,0.4,0.41,0.38,0.36,0.38,0.35,0.35,0.35,0.34,0.3,0.3,0.29,0.29,0.28,0.28,0.24,0.23,0.21,0.2,0.2,0.17,100.01
01/17/2022,14.01,11.06,9.65,8.26,5.88,4.88,4.17,3.54,3.14,2.81,2.6,2.35,2.23,1.77,1.74,1.63,1.33,1.26,1.29,1.18,0.94,0.87,0.84,0.69,0.67,0.62,0.61,0.57,0.62,0.57,0.47,0.44,0.46,0.44,0.41,0.44,0.39,0.36,0.39,0.36,0.35,0.38,0.34,0.3,0.3,0.29,0.28,0.28,0.28,0.24,0.22,0.21,0.2,0.2,0.18,99.99
01/18/2022,14.12,10.98,9.48,8.26,5.89,4.95,4.15,3.52,3.1,2.77,2.63,2.33,2.23,1.78,1.78,1.62,1.33,1.25,1.33,1.16,0.94,0.88,0.86,0.7,0.66,0.63,0.61,0.58,0.64,0.57,0.48,0.42,0.46,0.44,0.42,0.43,0.39,0.37,0.39,0.38,0.35,0.37,0.34,0.31,0.32,0.29,0.29,0.28,0.29,0.24,0.22,0.21,0.2,0.2,0.17,99.99
01/19/2022,14.26,11.01,9.36,8.24,5.92,4.96,4.17,3.53,3.09,2.77,2.66,2.32,2.22,1.74,1.79,1.6,1.34,1.25,1.33,1.15,0.92,0.9,0.85,0.68,0.66,0.63,0.6,0.58,0.64,0.58,0.49,0.41,0.46,0.44,0.4,0.42,0.38,0.37,0.39,0.38,0.34,0.37,0.34,0.31,0.34,0.3,0.29,0.28,0.29,0.24,0.21,0.21,0.2,0.21,0.17,99.98999999999998
01/20/2022,14.26,11.01,9.36,8.24,5.92,4.96,4.17,3.53,3.09,2.77,2.66,2.32,2.22,1.74,1.79,1.6,1.34,1.25,1.33,1.15,0.92,0.9,0.85,0.68,0.66,0.63,0.6,0.58,0.64,0.58,0.49,0.41,0.46,0.44,0.4,0.42,0.38,0.37,0.39,0.38,0.34,0.37,0.34,0.31,0.34,0.3,0.29,0.28,0.29,0.24,0.21,0.21,0.2,0.21,0.17,99.98999999999998
01/21/2022,14.49,11.11,9.31,8.36,5.96,4.91,4.14,3.52,2.94,2.6,2.62,2.31,2.25,1.71,1.77,1.61,1.37,1.27,1.33,1.16,0.88,0.89,0.87,0.68,0.65,0.63,0.6,0.59,0.64,0.57,0.47,0.41,0.47,0.44,0.4,0.42,0.39,0.37,0.39,0.38,0.34,0.37,0.34,0.31,0.38,0.3,0.29,0.28,0.28,0.25,0.19,0.21,0.21,0.2,0.17,100.0
01/24/2022,14.13,11.15,10.06,8.14,5.91,4.9,4.04,3.43,3.05,2.72,2.66,2.29,2.2,1.77,1.76,1.63,1.35,1.23,1.32,1.15,0.89,0.86,0.83,0.69,0.7,0.63,0.58,0.54,0.64,0.55,0.46,0.41,0.47,0.43,0.43,0.41,0.38,0.37,0.38,0.38,0.32,0.37,0.36,0.31,0.37,0.3,0.27,0.28,0.28,0.24,0.19,0.2,0.21,0.21,0.18,100.01
