,TECH,FICO,CGNX,MOH,SEDG,XPO,SBNY,CPT,CDAY,GGG,FDS,MASI,BRO,WSM,MPW,LII,TTC,NDSN,TREX,RPM,RH,STLD,AXON,CREE,JAZZ,FIVE,DAR,DECK,CABO,WTRG,LAD,RGEN,OC,HUBB,AZPN,CSL,EWBC,JLL,MIDD,CLF,UGI,OLED,PEN,Y,LEA,WSO,RS,MANH,SCI,ACM,RUN,LAMR,FHN,NBIX,SYNH,MKSI,ATR,CIEN,CONE,STOR,OHI,AMED,BLDR,WEX,SAM,LSI,CPRI,UTHR,ARW,NNN,OSK,KSS,AFG,G,DCI,EHC,GNTX,ITT,AGCO,LECO,CHE,JBL,BC,RGLD,CBSH,IIVI,PII,HRC,RGA,FSLR,AIRC,REXR,PCTY,RNR,SMG,TPX,IAA,LSCC,KRC,SEIC,THC,WWD,ORI,HOG,MAT,AMG,CHDN,VAC,BRX,CNXC,HQY,BRKS,TTEK,FFIN,SLAB,STAA,FR,YETI,SF,ARWR,PB,SLM,PNFP,LHCG,EME,SKX,SRCL,JEF,SON,EGP,ACC,WH,TXRH,BLD,MDU,NYT,MAN,BJ,SNV,POST,COHR,LITE,FOXF,TOL,FAF,FL,GMED,HALO,CFR,INGR,LFUS,AYI,THO,X,NCR,MSA,JHG,EXP,COR,JCOM,LSTR,CDK,EXEL,ACHC,NATI,HELE,CC,LPX,VVV,EVR,MTZ,PRI,KNX,SLG,CFX,VNT,SRC,SYNA,CUZ,DEI,AEO,IBKR,TDC,JBLU,AN,RBC,MMS,KBR,TKR,VLY,SAIC,OZK,ASGN,ESNT,MEDP,TNL,RYN,NVT,GBCI,HXL,XTSLA,FLS,NYCB,SNX,OLLI,ADS,VMI,THG,HIW,QDEL,NEOG,CRUS,FLO,WING,IART,FCN,GXO WI,CIT,CLH,IRDM,SIGI,MTG,CR,HE,GXO,PACW,BYD,CW,ICUI,SMTC,ASH,CAR,GME,TRGP,CROX,SGMS,GT,HFC,WBS,WOLF,n/a,RRX,ZD,CHX,CADE,SAIL,AVNT,WTFC,STL,SSD,NSA,SUM
07/09/2021,0.81,0.68,0.68,0.68,0.65,0.65,0.63,0.61,0.59,0.59,0.59,0.59,0.57,0.56,0.55,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.28
07/12/2021,0.83,0.68,0.69,0.68,0.63,0.64,0.64,0.63,0.59,0.61,0.59,0.61,0.56,0.56,0.54,0.54,0.55,0.54,0.53,0.53,0.54,0.55,0.53,0.5,0.51,0.49,0.5,0.49,0.49,0.49,0.47,0.49,0.46,0.46,0.45,0.46,0.45,0.45,0.43,0.44,0.44,0.42,0.43,0.42,0.42,0.44,0.44,0.43,0.42,0.42,0.39,0.42,0.41,0.43,0.43,0.41,0.42,0.4,0.41,0.39,0.4,0.41,0.4,0.4,0.41,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.36,0.34,0.35,0.36,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.33,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.3,0.28,0.3,0.31,0.3,0.3,0.3,0.29,0.31,0.31,0.31,0.3,0.28,0.28,0.29,0.28,0.29,0.3,0.29,0.3,0.29,0.29,0.3,0.29,0.31,0.29,0.29,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.28,0.27,0.28,0.26,0.26,0.25,0.25,0.25,0.27,0.26,0.26,0.26,0.26,0.28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.0,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.0,0.0,0.23,0.24,0.24,0.0,0.0,0.32,0.25,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.55000000000001
07/13/2021,0.83,0.68,0.69,0.68,0.63,0.64,0.64,0.63,0.59,0.61,0.59,0.61,0.56,0.56,0.54,0.54,0.55,0.54,0.53,0.53,0.54,0.55,0.53,0.5,0.51,0.49,0.5,0.49,0.49,0.49,0.47,0.49,0.46,0.46,0.45,0.46,0.45,0.45,0.43,0.44,0.44,0.42,0.43,0.42,0.42,0.44,0.44,0.43,0.42,0.42,0.39,0.42,0.41,0.43,0.43,0.41,0.42,0.4,0.41,0.39,0.4,0.41,0.4,0.4,0.41,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.36,0.34,0.35,0.36,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.33,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.31,0.3,0.31,0.32,0.31,0.31,0.31,0.3,0.28,0.3,0.31,0.3,0.3,0.3,0.29,0.31,0.31,0.31,0.3,0.28,0.28,0.29,0.28,0.29,0.3,0.29,0.3,0.29,0.29,0.3,0.29,0.31,0.29,0.29,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.28,0.27,0.28,0.26,0.26,0.25,0.25,0.25,0.27,0.26,0.26,0.26,0.26,0.28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.0,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.0,0.0,0.23,0.24,0.24,0.0,0.0,0.32,0.25,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.55000000000001
07/14/2021,0.82,0.68,0.69,0.68,0.63,0.65,0.67,0.62,0.59,0.59,0.59,0.59,0.56,0.57,0.54,0.53,0.55,0.54,0.53,0.53,0.54,0.56,0.52,0.49,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.45,0.46,0.45,0.46,0.47,0.45,0.44,0.47,0.44,0.42,0.42,0.42,0.43,0.43,0.44,0.42,0.42,0.42,0.38,0.42,0.42,0.42,0.42,0.41,0.42,0.4,0.41,0.39,0.4,0.4,0.4,0.4,0.41,0.4,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.34,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.36,0.35,0.36,0.33,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.33,0.3,0.31,0.31,0.31,0.3,0.3,0.31,0.32,0.3,0.3,0.31,0.31,0.31,0.32,0.3,0.29,0.31,0.3,0.3,0.3,0.29,0.29,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.29,0.3,0.3,0.29,0.29,0.28,0.3,0.28,0.32,0.29,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.28,0.26,0.25,0.27,0.26,0.28,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.0,0.0,0.0,0.24,0.23,0.23,0.23,0.0,0.25,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42
07/15/2021,0.79,0.67,0.69,0.68,0.63,0.66,0.67,0.62,0.57,0.59,0.58,0.59,0.56,0.57,0.54,0.53,0.54,0.54,0.53,0.52,0.54,0.57,0.52,0.5,0.5,0.49,0.5,0.49,0.47,0.48,0.48,0.47,0.45,0.47,0.44,0.46,0.47,0.45,0.44,0.48,0.44,0.42,0.41,0.42,0.43,0.43,0.44,0.41,0.42,0.42,0.4,0.42,0.42,0.41,0.42,0.41,0.42,0.4,0.42,0.4,0.4,0.39,0.41,0.4,0.41,0.4,0.37,0.37,0.38,0.38,0.39,0.38,0.39,0.37,0.37,0.36,0.36,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.35,0.35,0.36,0.36,0.36,0.36,0.33,0.34,0.33,0.34,0.35,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.34,0.3,0.31,0.31,0.3,0.3,0.3,0.31,0.32,0.3,0.3,0.32,0.31,0.32,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.31,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.29,0.3,0.3,0.29,0.28,0.28,0.3,0.28,0.32,0.29,0.29,0.27,0.28,0.27,0.28,0.28,0.28,0.3,0.27,0.27,0.29,0.27,0.27,0.27,0.27,0.27,0.25,0.26,0.25,0.23,0.26,0.27,0.26,0.25,0.27,0.26,0.27,0.25,0.25,0.24,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.26,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.0,0.0,0.0,0.24,0.24,0.23,0.23,0.0,0.25,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41999999999999
07/16/2021,0.81,0.68,0.69,0.69,0.63,0.66,0.67,0.63,0.58,0.6,0.58,0.6,0.56,0.57,0.54,0.53,0.54,0.54,0.53,0.53,0.54,0.56,0.54,0.5,0.5,0.48,0.49,0.49,0.47,0.48,0.48,0.47,0.45,0.47,0.44,0.46,0.46,0.45,0.46,0.48,0.44,0.42,0.41,0.42,0.43,0.43,0.44,0.41,0.43,0.42,0.39,0.42,0.42,0.42,0.42,0.42,0.42,0.4,0.41,0.4,0.4,0.39,0.4,0.39,0.4,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.36,0.36,0.37,0.36,0.37,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.35,0.35,0.36,0.35,0.36,0.33,0.34,0.34,0.33,0.35,0.33,0.34,0.33,0.33,0.32,0.32,0.31,0.32,0.33,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.32,0.3,0.29,0.32,0.32,0.32,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.31,0.31,0.31,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.31,0.29,0.29,0.27,0.28,0.27,0.28,0.28,0.27,0.3,0.27,0.27,0.29,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.0,0.26,0.27,0.26,0.26,0.27,0.26,0.28,0.25,0.25,0.24,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.23,0.26,0.24,0.25,0.25,0.25,0.24,0.0,0.23,0.0,0.23,0.0,0.0,0.24,0.24,0.23,0.23,0.0,0.25,0.24,0.0,0.23,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47
07/19/2021,0.81,0.69,0.69,0.7,0.58,0.66,0.66,0.64,0.58,0.6,0.59,0.62,0.58,0.55,0.55,0.5,0.55,0.55,0.51,0.53,0.52,0.57,0.52,0.47,0.49,0.48,0.51,0.49,0.47,0.49,0.48,0.46,0.45,0.48,0.45,0.47,0.46,0.46,0.47,0.46,0.44,0.41,0.39,0.43,0.43,0.43,0.44,0.41,0.43,0.41,0.35,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.42,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.35,0.38,0.38,0.39,0.38,0.37,0.4,0.38,0.38,0.37,0.36,0.38,0.36,0.37,0.35,0.35,0.35,0.36,0.36,0.34,0.34,0.35,0.36,0.34,0.37,0.37,0.33,0.35,0.33,0.33,0.36,0.32,0.34,0.34,0.33,0.32,0.32,0.31,0.32,0.32,0.29,0.31,0.31,0.31,0.29,0.3,0.31,0.32,0.3,0.28,0.32,0.31,0.32,0.3,0.3,0.3,0.31,0.3,0.31,0.3,0.29,0.31,0.31,0.32,0.32,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.32,0.27,0.28,0.26,0.28,0.27,0.28,0.28,0.27,0.29,0.27,0.27,0.29,0.27,0.27,0.27,0.28,0.27,0.25,0.25,0.25,0.24,0.26,0.26,0.26,0.25,0.26,0.27,0.28,0.25,0.24,0.24,0.26,0.24,0.26,0.26,0.24,0.24,0.24,0.23,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.0,0.24,0.23,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.25,0.24,0.0,0.0,0.23,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.38000000000001
07/20/2021,0.81,0.69,0.69,0.7,0.58,0.66,0.66,0.64,0.58,0.6,0.59,0.62,0.58,0.55,0.55,0.5,0.55,0.55,0.51,0.53,0.52,0.57,0.52,0.47,0.49,0.48,0.51,0.49,0.47,0.49,0.48,0.46,0.45,0.48,0.45,0.47,0.46,0.46,0.47,0.46,0.44,0.41,0.39,0.43,0.43,0.43,0.44,0.41,0.43,0.41,0.35,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.42,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.35,0.38,0.38,0.39,0.38,0.37,0.4,0.38,0.38,0.37,0.36,0.38,0.36,0.37,0.35,0.35,0.35,0.36,0.36,0.34,0.34,0.35,0.36,0.34,0.37,0.37,0.33,0.35,0.33,0.33,0.36,0.32,0.34,0.34,0.33,0.32,0.32,0.31,0.32,0.32,0.29,0.31,0.31,0.31,0.29,0.3,0.31,0.32,0.3,0.28,0.32,0.31,0.32,0.3,0.3,0.3,0.31,0.3,0.31,0.3,0.29,0.31,0.31,0.32,0.32,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.32,0.27,0.28,0.26,0.28,0.27,0.28,0.28,0.27,0.29,0.27,0.27,0.29,0.27,0.27,0.27,0.28,0.27,0.25,0.25,0.25,0.24,0.26,0.26,0.26,0.25,0.26,0.27,0.28,0.25,0.24,0.24,0.26,0.24,0.26,0.26,0.24,0.24,0.24,0.0,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.0,0.23,0.0,0.24,0.23,0.24,0.0,0.0,0.25,0.25,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.39000000000001
07/21/2021,0.83,0.7,0.68,0.7,0.57,0.66,0.63,0.66,0.58,0.6,0.6,0.62,0.59,0.55,0.57,0.51,0.55,0.56,0.52,0.54,0.52,0.56,0.52,0.46,0.49,0.48,0.5,0.49,0.48,0.5,0.47,0.48,0.45,0.48,0.45,0.47,0.46,0.46,0.48,0.43,0.45,0.41,0.4,0.44,0.42,0.43,0.44,0.41,0.44,0.41,0.35,0.42,0.4,0.42,0.42,0.41,0.43,0.4,0.42,0.41,0.41,0.39,0.4,0.4,0.4,0.41,0.34,0.39,0.38,0.4,0.37,0.36,0.41,0.39,0.38,0.37,0.35,0.38,0.36,0.37,0.35,0.34,0.34,0.35,0.36,0.34,0.34,0.36,0.35,0.33,0.38,0.37,0.34,0.35,0.34,0.33,0.37,0.32,0.35,0.34,0.33,0.32,0.32,0.31,0.32,0.32,0.29,0.3,0.31,0.31,0.29,0.3,0.31,0.32,0.29,0.28,0.33,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.29,0.3,0.31,0.31,0.32,0.32,0.3,0.29,0.29,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.29,0.28,0.32,0.27,0.29,0.26,0.28,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.29,0.27,0.28,0.27,0.28,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.26,0.27,0.28,0.24,0.24,0.25,0.26,0.24,0.27,0.26,0.24,0.24,0.0,0.0,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.0,0.24,0.23,0.24,0.0,0.24,0.23,0.23,0.0,0.0,0.25,0.24,0.0,0.23,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.48
07/22/2021,0.84,0.71,0.68,0.69,0.59,0.66,0.62,0.66,0.6,0.61,0.61,0.63,0.58,0.56,0.57,0.52,0.56,0.56,0.52,0.54,0.52,0.55,0.54,0.47,0.49,0.48,0.5,0.5,0.49,0.5,0.47,0.48,0.45,0.48,0.46,0.47,0.45,0.45,0.47,0.42,0.45,0.42,0.41,0.43,0.42,0.44,0.44,0.43,0.45,0.41,0.36,0.41,0.39,0.42,0.42,0.41,0.43,0.4,0.42,0.41,0.4,0.39,0.4,0.39,0.42,0.41,0.33,0.39,0.38,0.39,0.37,0.35,0.4,0.39,0.38,0.37,0.36,0.38,0.35,0.37,0.35,0.34,0.35,0.36,0.35,0.34,0.35,0.36,0.34,0.34,0.37,0.37,0.34,0.35,0.34,0.33,0.37,0.33,0.34,0.34,0.33,0.31,0.32,0.31,0.31,0.32,0.29,0.3,0.3,0.31,0.29,0.3,0.31,0.32,0.3,0.29,0.33,0.31,0.31,0.32,0.3,0.3,0.3,0.31,0.3,0.29,0.3,0.31,0.31,0.32,0.32,0.29,0.28,0.29,0.29,0.29,0.29,0.31,0.29,0.29,0.3,0.29,0.31,0.28,0.32,0.27,0.29,0.26,0.27,0.27,0.28,0.27,0.28,0.28,0.26,0.28,0.29,0.26,0.28,0.28,0.28,0.27,0.24,0.25,0.25,0.25,0.24,0.25,0.26,0.24,0.26,0.27,0.27,0.24,0.24,0.25,0.26,0.24,0.27,0.26,0.24,0.24,0.24,0.0,0.27,0.25,0.25,0.26,0.24,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.25,0.24,0.0,0.24,0.0,0.0,0.0,0.23,0.25,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.62
