,TSLA,NEE,NIO,IBE.MC,ENEL.MI,VWS.CO,006400.KS,ORSTED.CO,LI,XPEV,ENPH,BY6.,NIBE B.ST,KRX.IR,PLUG,SEDG,968.HK,VACN.SW,NPI.TO,OC,SGRE.MC,JMAT.L,RUN,FSLR,EDPR.LS,ENIA,VER.VI,3800.HK,BLDP.TO,009830.KS,BEPC,MEL.NZ,CEN.NZ,ANA.MC,ROCK B.CO,NKLA,NEL.OL,HASI,EA-R.BK,DQ,916.HK,MCY.NZ,ENS,NOVA,BE,EBR,SCATC.OL,FCEL,BLX.TO,ITM.L,FSR,CIG,6121,257.HK,AY,BMI,6856.T,REGI,ORA,RNW.TO,IBP,CWR.L,INE.TO,ERG.MI,WKHS,NDX1.DE,NEOEN.PA,CSIQ,ROCK B.CO.1,ENIC,ECV.DE,ROCK B.CO.2,ROCK B.CO.3,ROCK B.CO.4,LAND.SW,PTBL.TA,GVMXX,SAR.AX,n/a,SUM
07/09/2021,8.45,7.64,6.59,6.22,5.77,5.64,4.66,3.63,3.04,3.03,2.99,2.86,2.41,2.22,2.21,1.77,1.61,1.37,1.24,1.18,1.18,1.11,1.02,1.02,0.91,0.88,0.86,0.83,0.68,0.65,0.62,0.62,0.62,0.6,0.58,0.58,0.56,0.54,0.53,0.52,0.51,0.49,0.49,0.47,0.46,0.46,0.4,0.4,0.39,0.39,0.38,0.36,0.35,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93
07/27/2021,8.25,8.18,5.93,6.34,6.05,5.48,4.9,3.84,2.9,2.93,2.95,3.0,2.74,2.44,1.88,1.64,1.66,1.56,1.28,1.17,1.0,1.13,0.94,0.96,0.98,0.85,0.92,0.8,0.61,0.64,0.65,0.66,0.65,0.63,0.64,0.51,0.49,0.56,0.52,0.51,0.52,0.5,0.51,0.44,0.39,0.45,0.33,0.32,0.39,0.35,0.35,0.36,0.38,0.31,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.28,0.21,0.33,0.25,0.23,0.0,0.22,0.22,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,100.04
07/28/2021,8.25,8.18,5.93,6.34,6.05,5.48,4.9,3.84,2.9,2.93,2.95,3.0,2.74,2.44,1.88,1.64,1.66,1.56,1.28,1.17,1.0,1.13,0.94,0.96,0.98,0.85,0.92,0.8,0.61,0.64,0.65,0.66,0.65,0.63,0.64,0.51,0.49,0.56,0.52,0.51,0.52,0.5,0.51,0.44,0.39,0.45,0.33,0.32,0.39,0.35,0.35,0.36,0.38,0.31,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.28,0.21,0.33,0.25,0.23,0.0,0.22,0.22,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,100.04
07/29/2021,8.25,8.18,5.93,6.34,6.05,5.48,4.9,3.84,2.9,2.93,2.95,3.0,2.74,2.44,1.88,1.64,1.66,1.56,1.28,1.17,1.0,1.13,0.94,0.96,0.98,0.85,0.92,0.8,0.61,0.64,0.65,0.66,0.65,0.63,0.64,0.51,0.49,0.56,0.52,0.51,0.52,0.5,0.51,0.44,0.39,0.45,0.33,0.32,0.39,0.35,0.35,0.36,0.38,0.31,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.28,0.21,0.33,0.25,0.23,0.0,0.22,0.22,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,100.04
07/30/2021,8.49,8.47,5.44,6.43,6.18,5.5,5.05,3.91,2.6,2.54,2.94,2.77,2.8,2.54,1.91,1.62,1.59,1.61,1.31,1.17,1.01,1.15,0.94,0.97,0.98,0.87,0.94,0.77,0.62,0.64,0.67,0.67,0.65,0.65,0.65,0.49,0.48,0.57,0.56,0.47,0.49,0.5,0.51,0.44,0.39,0.47,0.33,0.32,0.4,0.34,0.36,0.37,0.39,0.31,0.33,0.32,0.32,0.3,0.31,0.31,0.3,0.26,0.26,0.29,0.22,0.33,0.26,0.23,0.0,0.23,0.21,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,99.99000000000002
08/02/2021,8.29,8.25,5.64,6.28,6.08,5.46,5.05,3.89,2.93,2.67,3.0,2.93,2.74,2.46,1.95,1.67,1.57,1.59,1.28,1.17,1.02,1.12,0.97,0.96,0.99,0.85,0.93,0.8,0.64,0.63,0.67,0.65,0.64,0.63,0.63,0.52,0.46,0.56,0.55,0.52,0.52,0.49,0.5,0.45,0.4,0.46,0.33,0.32,0.4,0.35,0.37,0.37,0.38,0.31,0.33,0.31,0.32,0.31,0.31,0.3,0.29,0.27,0.26,0.28,0.22,0.34,0.26,0.24,0.0,0.22,0.22,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,100.05
08/03/2021,8.29,8.25,5.64,6.28,6.08,5.46,5.05,3.89,2.93,2.67,3.0,2.93,2.74,2.46,1.95,1.67,1.57,1.59,1.28,1.17,1.02,1.12,0.97,0.96,0.99,0.85,0.93,0.8,0.64,0.63,0.67,0.65,0.64,0.63,0.63,0.52,0.46,0.56,0.55,0.52,0.52,0.49,0.5,0.45,0.4,0.46,0.33,0.32,0.4,0.35,0.37,0.37,0.38,0.31,0.33,0.31,0.32,0.31,0.31,0.3,0.29,0.27,0.26,0.28,0.22,0.34,0.26,0.24,0.0,0.22,0.22,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,100.05
08/04/2021,8.29,8.25,5.64,6.28,6.08,5.46,5.05,3.89,2.93,2.67,3.0,2.93,2.74,2.46,1.95,1.67,1.57,1.59,1.28,1.17,1.02,1.12,0.97,0.96,0.99,0.85,0.93,0.8,0.64,0.63,0.67,0.65,0.64,0.63,0.63,0.52,0.46,0.56,0.55,0.52,0.52,0.49,0.5,0.45,0.4,0.46,0.33,0.32,0.4,0.35,0.37,0.37,0.38,0.31,0.33,0.31,0.32,0.31,0.31,0.3,0.29,0.27,0.26,0.28,0.22,0.34,0.26,0.24,0.0,0.22,0.22,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,100.05
08/05/2021,8.29,8.25,5.64,6.28,6.08,5.46,5.05,3.89,2.93,2.67,3.0,2.93,2.74,2.46,1.95,1.67,1.57,1.59,1.28,1.17,1.02,1.12,0.97,0.96,0.99,0.85,0.93,0.8,0.64,0.63,0.67,0.65,0.64,0.63,0.63,0.52,0.46,0.56,0.55,0.52,0.52,0.49,0.5,0.45,0.4,0.46,0.33,0.32,0.4,0.35,0.37,0.37,0.38,0.31,0.33,0.31,0.32,0.31,0.31,0.3,0.29,0.27,0.26,0.28,0.22,0.34,0.26,0.24,0.0,0.22,0.22,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,100.05
08/10/2021,8.7,8.29,5.73,5.99,5.66,5.65,4.93,3.74,2.82,3.71,2.88,3.51,2.74,2.45,1.76,1.89,1.79,1.56,1.23,1.15,1.04,1.06,0.87,1.04,0.91,0.79,0.85,0.75,0.58,0.57,0.62,0.63,0.62,0.61,0.63,0.36,0.39,0.55,0.51,0.49,0.56,0.48,0.5,0.44,0.38,0.42,0.31,0.3,0.38,0.33,0.31,0.34,0.36,0.32,0.31,0.32,0.34,0.29,0.29,0.3,0.29,0.27,0.24,0.25,0.19,0.33,0.22,0.23,0.0,0.2,0.21,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,100.02
08/11/2021,8.7,8.29,5.73,5.99,5.66,5.65,4.93,3.74,2.82,3.71,2.88,3.51,2.74,2.45,1.76,1.89,1.79,1.56,1.23,1.15,1.04,1.06,0.87,1.04,0.91,0.79,0.85,0.75,0.58,0.57,0.62,0.63,0.62,0.61,0.63,0.36,0.39,0.55,0.51,0.49,0.56,0.48,0.5,0.44,0.38,0.42,0.31,0.3,0.38,0.33,0.31,0.34,0.36,0.32,0.31,0.32,0.34,0.29,0.29,0.3,0.29,0.27,0.24,0.25,0.19,0.33,0.22,0.23,0.0,0.2,0.21,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,100.02
08/13/2021,8.74,8.19,5.72,5.91,5.6,5.54,4.99,3.81,2.79,3.77,2.92,3.42,2.72,2.47,1.96,1.88,1.71,1.54,1.19,1.15,1.03,1.07,0.88,1.06,0.92,0.79,0.84,0.75,0.61,0.57,0.62,0.62,0.61,0.62,0.63,0.36,0.4,0.57,0.5,0.5,0.54,0.48,0.49,0.45,0.4,0.41,0.31,0.36,0.36,0.34,0.39,0.33,0.34,0.32,0.31,0.31,0.33,0.28,0.28,0.28,0.29,0.27,0.23,0.26,0.19,0.34,0.23,0.24,0.0,0.19,0.21,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,99.98
08/16/2021,8.72,8.39,5.69,5.95,5.65,5.44,5.0,3.8,2.83,3.76,2.9,3.44,2.75,2.51,1.85,1.83,1.66,1.56,1.2,1.18,1.03,1.1,0.87,1.07,0.92,0.8,0.85,0.73,0.59,0.56,0.63,0.63,0.62,0.62,0.63,0.35,0.39,0.55,0.5,0.47,0.55,0.49,0.5,0.44,0.38,0.41,0.31,0.32,0.36,0.34,0.39,0.33,0.34,0.32,0.31,0.32,0.33,0.27,0.29,0.27,0.3,0.27,0.23,0.26,0.18,0.34,0.23,0.24,0.0,0.19,0.21,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,99.99
08/17/2021,8.95,8.61,5.38,6.02,5.79,5.51,5.11,3.83,2.67,3.62,2.82,3.53,2.8,2.53,1.71,1.83,1.66,1.57,1.16,1.16,1.04,1.1,0.84,1.09,0.93,0.81,0.88,0.77,0.57,0.55,0.62,0.62,0.62,0.64,0.64,0.34,0.39,0.56,0.5,0.43,0.53,0.5,0.47,0.42,0.37,0.4,0.32,0.3,0.36,0.33,0.31,0.33,0.32,0.4,0.31,0.32,0.34,0.26,0.29,0.28,0.29,0.27,0.24,0.26,0.17,0.32,0.23,0.22,0.0,0.2,0.21,0.0,0.0,0.0,0.26,-0.04,0.0,0.0,0.0,99.99
08/18/2021,8.95,8.61,5.38,6.02,5.79,5.51,5.11,3.83,2.67,3.62,2.82,3.53,2.8,2.53,1.71,1.83,1.66,1.57,1.16,1.16,1.04,1.1,0.84,1.09,0.93,0.81,0.88,0.77,0.57,0.55,0.62,0.62,0.62,0.64,0.64,0.34,0.39,0.56,0.5,0.43,0.53,0.5,0.47,0.42,0.37,0.4,0.32,0.3,0.36,0.33,0.31,0.33,0.32,0.4,0.31,0.32,0.34,0.26,0.29,0.28,0.29,0.27,0.24,0.26,0.17,0.32,0.23,0.22,0.0,0.2,0.21,0.0,0.0,0.0,0.26,-0.04,0.0,0.0,0.0,99.99
08/31/2021,8.47,7.55,6.97,6.13,5.77,5.62,4.5,3.5,3.25,3.08,2.95,3.02,2.41,2.14,2.33,1.77,1.73,1.34,1.23,1.18,1.2,1.11,1.0,1.02,0.89,0.87,0.83,0.89,0.68,0.65,0.62,0.64,0.63,0.6,0.58,0.64,0.55,0.54,0.55,0.54,0.52,0.48,0.5,0.46,0.47,0.46,0.38,0.43,0.38,0.38,0.41,0.37,0.35,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.26,0.31,0.3,0.25,0.26,0.0,0.24,0.21,0.0,0.0,0.0,0.24,0.0,2.39,0.0,0.0,102.95000000000002
09/01/2021,8.47,7.55,6.97,6.13,5.77,5.62,4.5,3.5,3.25,3.08,2.95,3.02,2.41,2.14,2.33,1.77,1.73,1.34,1.23,1.18,1.2,1.11,1.0,1.02,0.89,0.87,0.83,0.89,0.68,0.65,0.62,0.64,0.63,0.6,0.58,0.64,0.55,0.54,0.55,0.54,0.52,0.48,0.5,0.46,0.47,0.46,0.38,0.43,0.38,0.38,0.41,0.37,0.35,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.26,0.31,0.3,0.25,0.26,0.0,0.24,0.21,0.0,0.0,0.0,0.24,0.0,2.39,0.0,0.0,102.95000000000002
09/02/2021,8.47,7.55,6.97,6.13,5.77,5.62,4.5,3.5,3.25,3.08,2.95,3.02,2.41,2.14,2.33,1.77,1.73,1.34,1.23,1.18,1.2,1.11,1.0,1.02,0.89,0.87,0.83,0.89,0.68,0.65,0.62,0.64,0.63,0.6,0.58,0.64,0.55,0.54,0.55,0.54,0.52,0.48,0.5,0.46,0.47,0.46,0.38,0.43,0.38,0.38,0.41,0.37,0.35,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.26,0.31,0.3,0.25,0.26,0.0,0.24,0.21,0.0,0.0,0.0,0.24,0.0,2.39,0.0,0.0,102.95000000000002
