,2QQQ  220331C00002550,2QQQ  220331P00319130,Cash&Other,2QQQ  220331P00271260,2QQQ  220331C00352260,SUM
07/09/2021,106.15,3.96,0.64,-1.68,-9.06,100.01
07/12/2021,106.35,3.87,0.63,-1.65,-9.19,100.01
07/13/2021,106.35,3.87,0.63,-1.65,-9.19,100.01
07/14/2021,106.35,3.87,0.63,-1.65,-9.19,100.01
07/15/2021,106.77,3.73,0.62,-1.59,-9.54,99.99
07/16/2021,106.8,3.81,0.62,-1.66,-9.58,99.99
07/19/2021,106.21,3.97,0.61,-1.69,-9.11,99.99
07/20/2021,105.73,4.19,0.61,-1.83,-8.7,100.0
07/21/2021,105.73,4.19,0.61,-1.83,-8.7,100.0
07/22/2021,105.16,4.5,0.61,-1.96,-8.31,100.0
07/23/2021,106.1,4.13,0.61,-1.86,-8.98,100.0
07/26/2021,107.2,3.7,0.6,-1.67,-9.83,100.0
07/27/2021,108.04,3.52,0.59,-1.59,-10.56,100.0
07/28/2021,108.04,3.52,0.59,-1.59,-10.56,100.0
07/29/2021,108.12,3.52,0.59,-1.59,-10.65,99.99
07/30/2021,107.25,3.92,0.59,-1.93,-9.84,99.99
08/02/2021,107.53,3.61,0.58,-1.74,-9.98,100.0
08/03/2021,107.31,3.65,0.58,-1.65,-9.89,100.0
08/04/2021,107.31,3.65,0.58,-1.65,-9.89,100.0
08/05/2021,107.24,3.64,0.58,-1.61,-9.85,100.0
08/06/2021,107.63,3.44,0.57,-1.54,-10.1,100.0
08/10/2021,107.82,3.23,0.56,-1.45,-10.16,100.0
08/11/2021,107.82,3.23,0.56,-1.45,-10.16,100.0
08/13/2021,107.57,3.34,0.56,-1.46,-10.0,100.01
08/16/2021,107.71,3.23,0.55,-1.41,-10.09,99.99
