,FSR,MP,SOFI,PRCH,GENI,ETWO,LAZR,QS,HYLN,PSFE,BTRS,OPEN,BFLY,CHPT,GOEV,CANO,CLOV,DM,AEVA,VLDR,n/a,SKLZ,DNMR,RIDE,APPH,HIMS,ALIT,PAYO,LCID,ASTR,STEM,MTTR,MVST,IS,PTRA,WE,DNA,AUR,EMBK,IONQ,MIR,NVTS,SUM
08/16/2021,5.02,4.79,4.71,4.54,4.38,4.29,4.26,4.22,4.18,4.18,4.17,4.13,4.12,4.11,4.09,4.07,4.05,3.92,3.87,3.8,3.42,3.13,2.99,2.9,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,4.09,4.8,4.33,4.61,4.66,4.51,4.13,4.18,4.0,4.25,4.48,5.18,3.99,4.08,3.75,4.26,4.25,3.81,3.74,3.6,3.92,3.07,2.96,2.89,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,4.09,4.8,4.33,4.61,4.66,4.51,4.13,4.18,4.0,4.25,4.48,5.18,3.99,4.08,3.75,4.26,4.25,3.81,3.74,3.6,3.92,3.07,2.96,2.89,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,4.09,4.8,4.33,4.61,4.66,4.51,4.13,4.18,4.0,4.25,4.48,5.18,3.99,4.08,3.75,4.26,4.25,3.81,3.74,3.6,2.96,3.07,0.0,2.89,2.47,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,4.2,3.87,4.02,4.21,3.99,3.99,4.26,3.96,3.96,3.52,3.93,3.88,3.99,3.97,3.89,3.76,4.32,3.92,3.98,3.96,3.89,4.09,0.0,0.0,0.0,0.0,4.22,4.14,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,4.2,3.93,4.17,3.8,4.16,4.11,4.05,3.97,4.02,3.53,4.02,3.8,4.23,3.93,3.7,4.16,4.13,3.96,4.03,3.81,3.71,3.99,0.0,0.0,0.0,0.0,4.01,4.39,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/24/2021,4.17,3.73,4.18,3.62,4.16,4.14,4.12,3.98,4.15,3.56,4.01,3.88,4.22,3.96,3.7,4.15,4.17,4.03,4.04,3.74,3.71,4.09,0.0,0.0,0.0,0.0,3.99,4.39,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,4.17,3.73,4.18,3.62,4.16,4.14,4.12,3.98,4.15,3.56,4.01,3.88,4.22,3.96,3.7,4.15,4.17,4.03,4.04,3.74,3.71,4.09,0.0,0.0,0.0,0.0,3.99,4.39,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,4.17,3.73,4.18,3.62,4.16,4.14,4.12,3.98,4.15,3.56,4.01,3.88,4.22,3.96,3.7,4.15,4.17,4.03,4.04,3.74,3.71,4.09,0.0,0.0,0.0,0.0,3.99,4.39,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,4.03,3.55,3.99,3.83,3.88,4.32,4.03,3.89,4.23,3.48,3.87,3.82,4.42,3.81,4.54,4.18,4.07,4.04,4.27,4.03,3.79,3.9,0.0,0.0,0.0,0.0,3.96,4.28,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,3.99,3.63,3.99,3.99,4.18,4.39,4.05,3.9,4.03,3.32,3.74,3.93,4.48,3.75,4.24,4.37,4.25,3.99,4.62,4.01,3.62,3.82,0.0,0.0,0.0,0.0,0.0,4.16,3.73,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/31/2021,3.95,3.64,3.74,4.24,4.35,4.4,4.03,3.9,4.08,3.28,3.74,3.9,4.56,3.54,4.13,4.41,4.15,3.95,4.89,3.69,3.56,3.79,0.0,0.0,0.0,0.0,3.86,4.18,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/01/2021,3.95,3.64,3.74,4.24,4.35,4.4,4.03,3.9,4.08,3.28,3.74,3.9,4.56,3.54,4.13,4.41,4.15,3.95,4.89,3.69,3.56,3.79,0.0,0.0,0.0,0.0,3.86,4.18,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/02/2021,3.95,3.64,3.74,4.24,4.35,4.4,4.03,3.9,4.08,3.28,3.74,3.9,4.56,3.54,4.13,4.41,4.15,3.95,4.89,3.69,3.56,3.79,0.0,0.0,0.0,0.0,3.86,4.18,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/03/2021,3.96,3.7,3.87,4.26,4.35,4.59,4.0,3.99,4.06,3.31,3.75,4.05,4.58,3.57,4.09,4.54,4.19,3.97,4.7,3.64,3.35,3.79,0.0,0.0,0.0,0.0,3.93,4.18,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,3.99,3.56,3.85,4.47,4.39,4.52,3.99,4.0,4.0,3.37,3.71,4.11,4.63,3.51,4.1,4.93,4.05,3.94,4.67,3.62,2.99,4.22,0.0,0.0,0.0,0.0,3.9,4.22,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/07/2021,3.79,3.57,3.89,4.59,4.4,4.38,3.91,3.93,3.87,3.44,3.61,4.16,4.65,3.54,4.11,4.73,4.1,4.03,4.73,3.56,0.0,4.07,0.0,0.0,0.0,0.0,4.05,4.28,3.19,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,3.79,3.57,3.89,4.59,4.4,4.38,3.91,3.93,3.87,3.44,3.61,4.16,4.65,3.54,4.11,4.73,4.1,4.03,4.73,3.56,0.0,4.07,0.0,0.0,0.0,0.0,4.05,4.28,3.19,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,3.79,3.57,3.89,4.59,4.4,4.38,3.91,3.93,3.87,3.44,3.61,4.16,4.65,3.54,4.11,4.73,4.1,4.03,4.73,3.56,0.0,4.07,0.0,0.0,0.0,0.0,4.05,4.28,3.19,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,3.79,3.55,4.02,4.65,4.39,4.38,3.86,3.84,4.02,3.27,3.48,4.23,4.69,3.59,4.17,4.63,4.96,4.01,4.7,3.59,0.0,4.19,0.0,0.0,0.0,0.0,4.02,3.78,3.21,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,3.86,3.51,4.09,4.55,4.78,4.43,3.85,3.74,3.93,3.44,3.54,4.19,4.62,3.59,4.08,4.65,4.52,3.86,4.72,3.49,0.0,4.0,0.0,0.0,0.0,0.0,4.33,4.06,3.18,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/14/2021,3.78,3.65,4.04,4.7,4.8,4.38,3.85,3.8,3.83,3.28,3.44,4.19,4.7,3.42,3.82,5.05,4.11,3.85,4.65,3.49,0.0,3.88,0.0,0.0,0.0,0.0,4.61,4.02,3.35,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,3.78,3.65,4.04,4.7,4.8,4.38,3.85,3.8,3.83,3.28,3.44,4.19,4.7,3.42,3.82,5.05,4.11,3.85,4.65,3.49,0.0,3.88,0.0,0.0,0.0,0.0,4.61,4.02,3.35,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,3.78,3.65,4.04,4.7,4.8,4.38,3.85,3.8,3.83,3.28,3.44,4.19,4.7,3.42,3.82,5.05,4.11,3.85,4.65,3.49,0.0,3.88,0.0,0.0,0.0,0.0,4.61,4.02,3.35,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,4.11,4.37,4.01,3.5,3.89,4.05,4.1,4.11,0.0,4.07,0.0,3.86,4.06,4.19,4.18,4.09,3.96,4.05,3.96,0.0,0.0,4.04,0.0,0.0,0.0,0.0,3.82,3.96,4.12,3.85,4.19,3.93,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/20/2021,4.01,4.24,4.15,3.39,3.68,4.25,4.07,4.02,0.0,4.01,0.0,3.73,4.07,4.1,4.12,4.3,3.91,4.01,3.93,0.0,0.0,4.09,0.0,0.0,0.0,0.0,3.95,4.2,4.11,3.91,4.1,4.3,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,3.99,4.01,3.96,3.45,3.58,4.04,4.15,4.15,0.0,3.84,0.0,3.92,3.94,4.13,3.99,4.4,3.88,3.81,3.86,0.0,0.0,3.94,0.0,0.0,0.0,0.0,3.81,4.04,4.62,3.98,4.63,4.72,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,3.99,4.01,3.96,3.45,3.58,4.04,4.15,4.15,0.0,3.84,0.0,3.92,3.94,4.13,3.99,4.4,3.88,3.81,3.86,0.0,0.0,3.94,0.0,0.0,0.0,0.0,3.81,4.04,4.62,3.98,4.63,4.72,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,3.99,4.01,3.96,3.45,3.58,4.04,4.15,4.15,0.0,3.84,0.0,3.92,3.94,4.13,3.99,4.4,3.88,3.81,3.86,0.0,0.0,3.94,0.0,0.0,0.0,0.0,3.81,4.04,4.62,3.98,4.63,4.72,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,4.03,3.73,4.05,3.41,3.53,3.95,4.2,4.67,0.0,3.75,0.0,4.21,3.61,4.01,3.98,4.15,3.69,3.83,3.61,0.0,0.0,3.85,0.0,0.0,0.0,0.0,3.73,3.84,5.49,3.78,4.59,4.72,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,4.2,3.7,4.39,3.31,3.46,3.92,4.11,5.03,0.0,3.79,0.0,4.18,3.67,3.89,4.24,4.05,3.61,3.8,3.45,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.49,3.85,5.0,3.8,4.55,4.82,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,4.33,3.93,4.52,3.34,3.37,3.92,4.0,5.02,0.0,3.71,0.0,4.26,3.52,3.78,5.17,3.94,3.53,3.74,3.42,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.53,3.85,5.0,3.78,4.42,4.62,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/29/2021,4.33,3.93,4.52,3.34,3.37,3.92,4.0,5.02,0.0,3.71,0.0,4.26,3.52,3.78,5.17,3.94,3.53,3.74,3.42,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.53,3.85,5.0,3.78,4.42,4.62,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/30/2021,4.33,3.93,4.52,3.34,3.37,3.92,4.0,5.02,0.0,3.71,0.0,4.26,3.52,3.78,5.17,3.94,3.53,3.74,3.42,0.0,0.0,3.98,0.0,0.0,0.0,0.0,3.53,3.85,5.0,3.78,4.42,4.62,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,4.59,4.05,4.59,3.26,3.21,4.01,4.05,4.93,0.0,3.74,0.0,4.4,3.48,4.15,4.61,4.0,3.77,3.75,3.32,0.0,0.0,3.89,0.0,0.0,0.0,0.0,3.65,3.83,5.07,3.75,4.48,4.29,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,4.58,3.99,4.43,3.25,3.24,4.05,4.0,5.11,0.0,3.75,0.0,4.5,3.38,4.18,4.58,3.87,3.64,3.75,3.35,0.0,0.0,3.76,0.0,0.0,0.0,0.0,3.74,3.65,5.58,3.75,4.45,4.28,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
10/05/2021,4.64,3.96,4.56,3.25,3.46,4.07,3.95,4.93,0.0,3.81,0.0,4.64,3.67,3.96,4.43,4.01,3.68,3.8,3.32,0.0,0.0,3.68,0.0,0.0,0.0,0.0,3.69,3.77,5.23,3.69,4.65,4.18,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,4.64,3.96,4.56,3.25,3.46,4.07,3.95,4.93,0.0,3.81,0.0,4.64,3.67,3.96,4.43,4.01,3.68,3.8,3.32,0.0,0.0,3.68,0.0,0.0,0.0,0.0,3.69,3.77,5.23,3.69,4.65,4.18,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,4.62,4.04,4.69,3.21,3.45,4.09,4.01,4.86,0.0,3.76,0.0,4.52,3.68,3.88,4.43,4.01,3.71,3.8,3.42,0.0,0.0,3.58,0.0,0.0,0.0,0.0,3.75,3.88,5.4,3.58,4.42,4.25,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/08/2021,4.62,4.04,4.69,3.21,3.45,4.09,4.01,4.86,0.0,3.76,0.0,4.52,3.68,3.88,4.43,4.01,3.71,3.8,3.42,0.0,0.0,3.58,0.0,0.0,0.0,0.0,3.75,3.88,5.4,3.58,4.42,4.25,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
