,Cash,Dj U.S. Health Care Index Swap Societe Generale - Cash Offset,Dj U.S. Health Care Index Swap Bank Of America Na - Cash Offset,Dj U.S. Health Care Index Swap Ubs Ag - Cash Offset,Ishares U.S. Healthcare (Iyh) Swap Bank Of America Na - Cash Offset,Ishares U.S. Healthcare (Iyh) Swap Morgan Stanley & Co. International Plc -,Dj U.S. Health Care Index Swap Morgan Stanley & Co. International Plc - Cas,Dj U.S. Health Care Index Swap Morgan Stanley & Co. International Plc,Ishares U.S. Healthcare (Iyh) Swap Morgan Stanley & Co. International Plc,iShares US Healthcare ETF,Dj U.S. Health Care Index Swap Ubs Ag,Dj U.S. Health Care Index Swap Bank Of America Na,Dj U.S. Health Care Index Swap Societe Generale,SUM
07/09/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/12/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/13/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/14/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/15/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/16/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/19/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/20/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/21/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/22/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/23/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/26/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/27/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/28/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/29/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
07/30/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,100.0
08/02/2021,100.0,76.96,59.98,38.77,10.32,9.11,5.27,-5.27,-9.11,-10.32,-38.77,-59.98,-76.96,99.99999999999999
