,FTNT,MRVL,NVDA,MPWR,2454.TW,DDOG,NOKIA.HE,2330.TW,MSFT,TWLO,ANET,SWKS,DLR,FFIV,EQIX,ADI,STM.PA,AVGO,QRVO,IFX.DE,AKAM,VMW,INTC,XLNX,MU,CONE,JNPR,005930.KS,QCOM,6981.T,ERIC B.ST,DBX,DD,000660.KS,DISH,COR,CREE,TDC,CIEN,6976.T,PSTG,NEWR,2327.TW,LITE,CCOI,3105,MTSI,MP1.AX,XTSLA,USD,TWD,SUM
08/16/2021,5.16,3.5,3.24,3.17,3.07,3.04,3.03,2.99,2.86,2.82,2.79,2.58,2.56,2.55,2.53,2.49,2.49,2.47,2.45,2.39,2.37,2.31,2.23,2.18,2.08,2.05,2.04,2.04,2.0,1.96,1.96,1.95,1.78,1.64,1.45,1.37,1.35,1.18,1.13,1.01,0.93,0.9,0.9,0.81,0.66,0.58,0.36,0.35,0.12,0.09,0.01,99.97
08/17/2021,5.21,3.53,3.28,3.18,3.08,3.16,3.08,2.95,2.89,2.79,2.76,2.58,2.58,2.52,2.53,2.51,2.49,2.48,2.44,2.38,2.34,2.32,2.22,2.19,2.09,2.04,2.06,1.95,2.01,1.95,1.96,1.94,1.75,1.64,1.43,1.37,1.33,1.24,1.12,1.0,0.91,0.9,0.85,0.8,0.66,0.56,0.36,0.35,0.12,0.09,0.01,99.98
08/18/2021,5.21,3.53,3.28,3.18,3.08,3.16,3.08,2.95,2.89,2.79,2.76,2.58,2.58,2.52,2.53,2.51,2.49,2.48,2.44,2.38,2.34,2.32,2.22,2.19,2.09,2.04,2.06,1.95,2.01,1.95,1.96,1.94,1.75,1.64,1.43,1.37,1.33,1.24,1.12,1.0,0.91,0.9,0.85,0.8,0.66,0.56,0.36,0.35,0.12,0.09,0.01,99.98
08/19/2021,5.13,3.48,3.26,3.16,3.08,3.13,3.08,2.99,2.93,2.67,2.8,2.57,2.64,2.53,2.58,2.54,2.51,2.51,2.45,2.38,2.34,2.33,2.24,2.14,2.11,2.07,2.06,1.97,2.02,1.94,1.95,1.9,1.76,1.65,1.46,1.4,1.29,1.23,1.13,1.01,0.9,0.87,0.84,0.8,0.67,0.55,0.36,0.36,0.12,0.1,0.01,100.0
08/20/2021,5.12,3.48,3.21,3.15,3.03,3.16,3.09,3.0,2.94,2.68,2.82,2.56,2.67,2.53,2.62,2.5,2.49,2.48,2.42,2.36,2.36,2.33,2.23,2.16,2.12,2.07,2.07,1.97,1.99,1.94,1.97,1.9,1.74,1.66,1.47,1.42,1.29,1.21,1.13,1.02,0.89,0.88,0.82,0.83,0.67,0.55,0.34,0.36,0.12,0.11,0.01,99.94000000000004
08/23/2021,5.11,3.53,3.29,3.28,3.07,3.16,3.04,2.9,3.0,2.67,2.86,2.55,2.71,2.5,2.66,2.53,2.49,2.47,2.4,2.34,2.33,2.31,2.23,2.18,2.12,2.09,2.13,1.96,1.95,1.95,1.94,1.87,1.7,1.69,1.44,1.44,1.2,1.17,1.13,1.0,0.89,0.86,0.78,0.89,0.66,0.56,0.34,0.36,0.12,0.12,0.01,99.98
08/24/2021,5.11,3.56,3.44,3.32,3.0,3.11,3.04,2.84,3.06,2.65,2.86,2.56,2.69,2.51,2.65,2.51,2.51,2.47,2.4,2.38,2.35,2.33,2.2,2.19,2.11,2.1,2.12,1.93,1.96,1.92,1.94,1.88,1.69,1.67,1.46,1.44,1.24,1.2,1.12,0.97,0.91,0.84,0.77,0.88,0.66,0.53,0.35,0.35,0.12,0.11,0.01,100.02
08/25/2021,5.11,3.56,3.44,3.32,3.0,3.11,3.04,2.84,3.06,2.65,2.86,2.56,2.69,2.51,2.65,2.51,2.51,2.47,2.4,2.38,2.35,2.33,2.2,2.19,2.11,2.1,2.12,1.93,1.96,1.92,1.94,1.88,1.69,1.67,1.46,1.44,1.24,1.2,1.12,0.97,0.91,0.84,0.77,0.88,0.66,0.53,0.35,0.35,0.12,0.11,0.01,100.02
08/26/2021,5.18,3.62,3.56,3.32,3.07,3.09,3.04,2.86,3.0,2.67,2.81,2.54,2.63,2.5,2.6,2.5,2.48,2.46,2.39,2.36,2.3,2.32,2.21,2.29,2.12,2.06,2.09,1.92,1.95,1.93,1.94,1.87,1.68,1.66,1.45,1.4,1.27,1.19,1.12,0.98,0.93,0.85,0.77,0.88,0.65,0.54,0.35,0.35,0.12,0.13,0.0,100.0
08/27/2021,5.03,3.64,3.52,3.31,3.06,3.15,3.03,2.89,2.97,2.71,2.85,2.55,2.61,2.52,2.55,2.44,2.48,2.44,2.39,2.41,2.28,2.3,2.23,2.27,2.12,2.03,2.1,1.98,1.95,1.95,1.97,1.86,1.69,1.69,1.44,1.38,1.28,1.19,1.12,0.99,0.94,0.87,0.77,0.88,0.64,0.54,0.35,0.34,0.12,0.12,0.0,99.94
08/30/2021,5.2,3.68,3.57,3.32,2.99,3.05,3.04,3.0,2.94,2.7,2.79,2.53,2.57,2.51,2.56,2.46,2.48,2.46,2.4,2.42,2.27,2.33,2.2,2.24,2.14,1.99,2.09,1.95,1.92,1.9,2.01,1.85,1.68,1.67,1.43,1.37,1.24,1.18,1.13,1.01,1.08,0.87,0.78,0.87,0.65,0.55,0.35,0.35,0.12,0.13,0.0,100.02
08/31/2021,5.26,3.54,3.63,3.34,2.99,3.1,3.02,3.0,2.92,2.73,2.8,2.55,2.57,2.5,2.54,2.43,2.51,2.5,2.44,2.45,2.23,2.15,2.21,2.3,2.15,2.0,2.08,1.93,1.94,1.88,1.99,1.86,1.69,1.65,1.43,1.36,1.26,1.2,1.13,1.01,1.08,0.88,0.8,0.87,0.64,0.54,0.36,0.34,0.12,0.13,0.0,100.03
