,HPQ,DELL,NTAP,WSM,SYF,PWR,QRVO,IPG,CARR,PHM,LB,CE,LEN,CBRE,COF,LKQ,ARW,IP,MHK,BBY,TGT,LPLA,CINF,EPAM,AGCO,LH,TPX,IT,CTSH,UHS,NUE,AES,CTVA,MOS,DECK,JBL,WHR,TER,OGN,MXIM,KLAC,EXPD,SNA,GPC,BC,TSCO,URI,DHI,DKS,PINS,KIM,JLL,RS,VIAC,GNRC,MU,F,HIG,DOW,LPX,EXP,ENTG,HCA,TROW,EVR,ETSY,FNF,DFS,RJF,AFL,WRK,ALL,DAR,MTZ,OMC,FL,AYI,AAP,NXST,HPE,MOH,YETI,AMAT,DXC,ANTM,ZBRA,WSO,CDW,OMF,ALLY,PNR,TOL,PGR,FTNT,TRGP,EBAY,ENPH,AN,DOX,SWKS,J,RHI,SNX,BERY,UTHR,MAN,TT,ON,DLTR,GM,EMN,ALGN,MTG,SF,QRTEA,CF,NCR,TDC,OC,FND,CRWD,ALXN,POOL,KSS,AMG,LAZ,SEE,JEF,JCI,CMI,STLD,BIO,EOG,NUAN,HOG,ORLY,PII,TTC,GWW,WY,SLM,W,LRCX,CC,AMP,ORI,OKE,AFG,AOS,ROKU,LUMN,SPG,JBHT,AVY,WMS,NXPI,MLM,R,AVT,AA,CCK,MTCH,HUM,VRT,NWL,MPWR,WAT,MTD,SWK,KSU,FFIV,IVZ,NVR,PKI,OTIS,DGX,ACGL,MKSI,CDNS,HZNP,SMG,MDU,VMI,UHAL,TSN,RH,PKG,FBHS,ITT,NLSN,BRKS,EXR,LII,IDXX,CI,VICI,FIVE,TPL,HSIC,JAZZ,DVA,APH,KR,GLW,IRM,MIDD,TRV,CSL,MRNA,4970.T,DOV,MCK,GRMN,ALB,FAF,BBWI WI,AMD,TXT,BLDR,TRMB,PRU,WST,SNPS,ETN,LBEUR,GVMXX,DTE,PANW,ULTA,ADI,ODFL,ACI,VNT,AVTR,AJG,n/a,SIVB,AZO,CRL,RF,WAL,SPB,MET,PFG,SUM
07/09/2021,1.14,0.73,0.69,0.6,0.59,0.57,0.5,0.5,0.49,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8
07/12/2021,1.14,0.74,0.69,0.6,0.59,0.57,0.49,0.5,0.5,0.44,0.43,0.44,0.43,0.42,0.41,0.42,0.41,0.42,0.41,0.4,0.41,0.39,0.38,0.39,0.38,0.37,0.36,0.37,0.36,0.36,0.37,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.29,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.3,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.0,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70999999999999
07/13/2021,1.14,0.74,0.69,0.6,0.59,0.57,0.49,0.5,0.5,0.44,0.43,0.44,0.43,0.42,0.41,0.42,0.41,0.42,0.41,0.4,0.41,0.39,0.38,0.39,0.38,0.37,0.36,0.37,0.36,0.36,0.37,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.29,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.3,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.0,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70999999999999
07/14/2021,1.12,0.74,0.69,0.61,0.6,0.57,0.49,0.51,0.49,0.43,0.43,0.44,0.42,0.42,0.43,0.42,0.41,0.42,0.42,0.41,0.41,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.36,0.36,0.37,0.35,0.35,0.36,0.35,0.35,0.36,0.34,0.33,0.33,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.3,0.32,0.29,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.3,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.83
07/15/2021,1.09,0.71,0.68,0.61,0.61,0.57,0.49,0.5,0.5,0.43,0.45,0.44,0.42,0.42,0.44,0.43,0.41,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.37,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.34,0.34,0.34,0.33,0.33,0.32,0.33,0.3,0.31,0.28,0.31,0.31,0.31,0.3,0.31,0.29,0.29,0.3,0.29,0.3,0.29,0.28,0.29,0.29,0.27,0.27,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.23,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.24,0.22,0.22,0.21,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.81999999999999
07/16/2021,1.06,0.7,0.67,0.61,0.6,0.58,0.5,0.5,0.5,0.42,0.44,0.44,0.41,0.41,0.44,0.42,0.41,0.42,0.41,0.41,0.42,0.39,0.4,0.4,0.39,0.37,0.36,0.36,0.36,0.37,0.37,0.34,0.35,0.36,0.35,0.35,0.35,0.35,0.32,0.33,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.3,0.32,0.28,0.31,0.3,0.31,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.29,0.28,0.27,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.27,0.27,0.24,0.25,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75
07/19/2021,1.07,0.7,0.67,0.59,0.6,0.57,0.49,0.5,0.51,0.43,0.45,0.45,0.42,0.41,0.43,0.42,0.41,0.41,0.41,0.42,0.42,0.39,0.4,0.4,0.38,0.37,0.36,0.36,0.36,0.37,0.37,0.34,0.35,0.36,0.35,0.34,0.36,0.34,0.32,0.33,0.33,0.34,0.34,0.34,0.32,0.33,0.33,0.3,0.31,0.27,0.32,0.31,0.31,0.29,0.31,0.29,0.28,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.27,0.26,0.28,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.26,0.27,0.27,0.24,0.25,0.26,0.24,0.25,0.22,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.2,0.21,0.2,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.2,0.19,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.0,0.17,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.64
07/20/2021,1.06,0.7,0.66,0.59,0.59,0.57,0.49,0.49,0.51,0.43,0.44,0.45,0.42,0.42,0.43,0.42,0.41,0.41,0.4,0.42,0.42,0.39,0.4,0.4,0.38,0.37,0.36,0.37,0.37,0.37,0.36,0.34,0.34,0.35,0.34,0.34,0.36,0.33,0.33,0.33,0.32,0.34,0.34,0.34,0.32,0.33,0.32,0.3,0.31,0.27,0.32,0.31,0.31,0.29,0.31,0.28,0.28,0.3,0.28,0.27,0.28,0.28,0.29,0.29,0.26,0.26,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.27,0.24,0.25,0.27,0.24,0.25,0.22,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.22,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.23,0.21,0.23,0.21,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.22,0.2,0.22,0.2,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.21,0.2,0.19,0.21,0.2,0.18,0.19,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.0,0.18,0.0,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.17,0.18,0.17,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43999999999999
07/21/2021,1.06,0.7,0.66,0.59,0.59,0.57,0.49,0.49,0.51,0.43,0.44,0.45,0.42,0.42,0.43,0.42,0.41,0.41,0.4,0.42,0.42,0.39,0.4,0.4,0.38,0.37,0.36,0.37,0.37,0.37,0.36,0.34,0.34,0.35,0.34,0.34,0.36,0.33,0.33,0.33,0.32,0.34,0.34,0.34,0.32,0.33,0.32,0.3,0.31,0.27,0.32,0.31,0.31,0.29,0.31,0.28,0.28,0.3,0.28,0.27,0.28,0.28,0.29,0.29,0.26,0.26,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.27,0.24,0.25,0.27,0.24,0.25,0.22,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.22,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.23,0.21,0.23,0.21,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.22,0.2,0.22,0.2,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.21,0.2,0.19,0.21,0.2,0.18,0.19,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.0,0.18,0.0,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.17,0.18,0.17,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43999999999999
07/22/2021,1.06,0.7,0.66,0.59,0.59,0.57,0.49,0.49,0.51,0.43,0.44,0.45,0.42,0.42,0.43,0.42,0.41,0.41,0.4,0.42,0.42,0.39,0.4,0.4,0.38,0.37,0.36,0.37,0.37,0.37,0.36,0.34,0.34,0.35,0.34,0.34,0.36,0.33,0.33,0.33,0.32,0.34,0.34,0.34,0.32,0.33,0.32,0.3,0.31,0.27,0.32,0.31,0.31,0.29,0.31,0.28,0.28,0.3,0.28,0.27,0.28,0.28,0.29,0.29,0.26,0.26,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.27,0.24,0.25,0.27,0.24,0.25,0.22,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.22,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.23,0.21,0.23,0.21,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.22,0.2,0.22,0.2,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.21,0.2,0.19,0.21,0.2,0.18,0.19,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.0,0.18,0.0,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.17,0.18,0.17,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43999999999999
