,Us Dollars,ORCL,GOOGL,AAPL,IT,CRUS,AYI,MSCI,TGT,MTD,HCA,ORLY,BRKR,WAT,TPX,WH,CHTR,CHDN,AN,FICO,QCOM,HPQ,TMO,QRVO,A,AMED,ANTM,CE,WSM,NSC,VOYA,GWW,UNP,WMT,PII,HD,MOH,KR,LB,STT,DG,TTC,DECK,HON,FB,CDW,DD,FCN,CMI,SHW,TXT,HSY,LOW,NVR,EBAY,ODFL,ATUS,LII,KSU,CI,LKQ,ALL,DVA,AMP,BRK.B,SEE,MAS,MET,BWA,CSL,EQH,KEYS,LPX,SPOT,NUE,NXST,JEF,LRCX,GS,RHI,L,KLAC,ARW,FL,KSS,BBY,GNTX,BEN,SLM,VVV,MAN,PHM,FNF,OC,TOL,QRTEA,MHK,BOKF,AOS,ACM,AFG,VSCO WI,n/a,BBWI WI,VSCO,HWM,EVR,DFS,CTVA,KEY,JPM,COF,USB,CSX,LNC,HRB,CMA,ESI,AFL,LBRDK,SYF,BAC,BK,BPOP,JBL,ULTA,PRU,MCO,ALLY,DBX,HIG,AMH,SCI,DKS,AMAT,DPZ,HRC,MCK,AAP,TSCO,AZO,STLD,CCK,LH,DGX,HOLX,SUM
07/09/2021,1.39,1.01,1.01,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/12/2021,-0.1,1.1,1.04,1.07,1.05,1.02,0.98,1.06,1.05,1.05,1.03,1.04,1.06,1.07,0.96,0.98,1.05,0.97,1.02,1.05,1.0,1.01,1.04,1.0,1.03,1.05,1.02,1.0,1.02,0.97,0.99,1.04,1.0,1.02,1.01,1.01,1.01,1.01,0.99,0.97,1.03,1.02,1.0,1.02,1.0,1.02,1.0,1.02,1.0,1.02,0.98,1.03,1.01,1.0,1.0,1.02,1.01,1.01,0.94,0.99,1.01,1.0,1.01,0.98,1.0,1.0,1.0,0.96,0.97,1.02,0.94,1.03,0.98,0.97,0.99,0.96,0.94,0.97,0.97,0.99,0.98,0.99,0.98,0.99,0.95,0.95,0.98,0.99,0.93,0.98,0.98,0.96,0.97,0.97,0.96,0.96,1.0,0.95,1.0,0.99,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,-0.1,1.1,1.04,1.07,1.05,1.02,0.98,1.06,1.05,1.05,1.03,1.04,1.06,1.07,0.96,0.98,1.05,0.97,1.02,1.05,1.0,1.01,1.04,1.0,1.03,1.05,1.02,1.0,1.02,0.97,0.99,1.04,1.0,1.02,1.01,1.01,1.01,1.01,0.99,0.97,1.03,1.02,1.0,1.02,1.0,1.02,1.0,1.02,1.0,1.02,0.98,1.03,1.01,1.0,1.0,1.02,1.01,1.01,0.94,0.99,1.01,1.0,1.01,0.98,1.0,1.0,1.0,0.96,0.97,1.02,0.94,1.03,0.98,0.97,0.99,0.96,0.94,0.97,0.97,0.99,0.98,0.99,0.98,0.99,0.95,0.95,0.98,0.99,0.93,0.98,0.98,0.96,0.97,0.97,0.96,0.96,1.0,0.95,1.0,0.99,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,-0.1,1.11,1.03,1.06,1.04,1.02,0.99,1.05,1.03,1.04,1.04,1.03,1.05,1.06,0.97,0.99,1.02,0.97,1.05,1.04,1.0,0.99,1.02,1.0,1.02,1.03,1.01,1.0,1.03,0.98,1.0,1.03,1.0,1.01,1.01,1.01,1.01,1.0,1.0,1.0,1.02,1.02,1.0,1.02,0.99,1.01,1.0,1.0,1.01,1.01,0.98,1.02,1.0,0.99,0.99,1.01,1.01,0.99,0.96,0.99,1.01,1.0,1.0,0.99,1.01,0.98,1.0,0.97,0.97,1.01,0.96,1.02,0.99,0.98,1.0,0.97,0.94,0.97,0.99,0.99,0.99,0.99,0.98,1.01,0.97,0.95,0.98,1.0,0.95,0.98,0.97,0.95,1.0,0.97,0.95,0.97,1.01,0.98,0.98,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/15/2021,-0.1,1.1,1.04,1.06,1.03,1.01,0.99,1.05,1.04,1.04,1.04,1.03,1.04,1.05,0.98,0.98,0.99,0.97,1.08,1.03,1.01,0.96,1.01,1.0,1.01,1.02,1.03,1.01,1.03,0.97,1.01,1.03,0.99,1.01,1.01,1.0,1.01,1.0,1.04,1.0,1.01,1.02,1.01,1.02,1.0,1.0,1.01,0.99,1.01,1.01,0.98,1.02,1.0,0.96,0.98,1.0,1.01,0.99,0.95,0.99,1.02,1.01,1.01,1.0,1.0,0.98,1.0,0.98,0.98,1.01,0.96,1.03,0.98,0.97,1.01,0.97,0.95,0.98,1.01,0.99,0.99,1.0,0.98,1.01,0.98,0.95,0.97,1.0,0.97,0.98,0.98,0.95,1.01,0.97,0.95,0.98,1.0,0.98,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,-0.1,1.11,1.05,1.08,1.04,1.01,0.97,1.06,1.05,1.06,1.05,1.04,1.05,1.06,0.96,0.98,0.99,0.95,1.07,1.04,1.01,0.94,1.02,1.01,1.02,1.02,1.05,1.02,1.03,0.98,1.01,1.04,0.99,1.02,0.98,1.0,1.02,1.01,1.02,1.01,1.02,1.01,1.01,1.03,1.01,1.0,1.02,1.0,1.01,1.02,0.98,1.02,1.0,0.95,0.99,1.01,0.99,0.98,0.95,1.0,1.01,1.0,1.0,1.0,1.01,0.97,1.0,0.98,0.98,1.02,0.95,1.04,0.96,0.99,0.99,0.97,0.95,0.99,1.01,0.98,0.99,1.0,0.98,0.99,0.96,0.95,0.97,0.96,0.96,0.97,0.98,0.93,0.99,0.95,0.93,0.96,0.99,0.97,1.0,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94000000000004
07/19/2021,0.54,1.09,1.05,1.09,1.03,1.01,0.96,1.06,1.05,1.04,1.05,1.05,1.05,1.07,0.95,0.97,0.98,0.93,1.06,1.04,1.01,0.93,1.02,0.99,1.02,0.99,1.04,1.03,0.99,0.99,1.01,1.04,0.99,1.03,0.97,1.01,1.03,1.03,1.02,0.99,1.03,1.02,0.98,1.06,0.98,1.0,1.02,0.99,1.0,1.02,0.98,1.04,1.01,0.94,0.98,1.01,0.98,0.92,0.95,0.99,1.0,0.99,0.99,1.0,1.01,0.97,1.0,0.98,0.97,1.03,0.96,1.03,0.92,0.93,0.99,0.95,1.01,0.97,1.0,0.98,1.0,0.97,0.98,0.93,0.93,0.97,0.97,0.94,0.97,0.96,0.97,0.93,1.0,0.94,0.93,0.93,0.97,0.97,0.99,0.96,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/20/2021,0.54,1.12,1.06,1.09,1.04,1.01,0.96,1.08,1.05,1.06,1.06,1.07,1.04,1.08,0.94,0.95,1.0,0.93,1.06,1.06,1.01,0.92,1.04,0.99,1.03,1.01,1.04,1.01,0.98,0.99,1.01,1.04,1.0,1.04,0.97,1.02,1.02,1.05,1.01,1.02,1.04,1.02,0.98,1.06,0.98,1.01,0.99,1.0,1.01,1.05,0.98,1.05,1.02,0.94,0.99,1.0,0.99,0.93,0.95,1.0,1.0,1.0,0.99,1.0,1.01,0.96,1.02,0.97,0.95,1.03,0.95,1.03,0.89,0.92,0.97,0.95,1.0,0.94,0.99,0.98,0.99,0.95,0.97,0.91,0.91,0.97,0.95,0.93,0.96,0.94,0.97,0.93,1.01,0.94,0.92,0.92,0.96,0.95,0.99,0.96,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.54,1.12,1.06,1.09,1.04,1.01,0.96,1.08,1.05,1.06,1.06,1.07,1.04,1.08,0.94,0.95,1.0,0.93,1.06,1.06,1.01,0.92,1.04,0.99,1.03,1.01,1.04,1.01,0.98,0.99,1.01,1.04,1.0,1.04,0.97,1.02,1.02,1.05,1.01,1.02,1.04,1.02,0.98,1.06,0.98,1.01,0.99,1.0,1.01,1.05,0.98,1.05,1.02,0.94,0.99,1.0,0.99,0.93,0.95,1.0,1.0,1.0,0.99,1.0,1.01,0.96,1.02,0.97,0.95,1.03,0.95,1.03,0.89,0.92,0.97,0.95,1.0,0.94,0.99,0.98,0.99,0.95,0.97,0.91,0.91,0.97,0.95,0.93,0.96,0.94,0.97,0.93,1.01,0.94,0.92,0.92,0.96,0.95,0.99,0.96,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.54,1.12,1.06,1.09,1.04,1.01,0.96,1.08,1.05,1.06,1.06,1.07,1.04,1.08,0.94,0.95,1.0,0.93,1.06,1.06,1.01,0.92,1.04,0.99,1.03,1.01,1.04,1.01,0.98,0.99,1.01,1.04,1.0,1.04,0.97,1.02,1.02,1.05,1.01,1.02,1.04,1.02,0.98,1.06,0.98,1.01,0.99,1.0,1.01,1.05,0.98,1.05,1.02,0.94,0.99,1.0,0.99,0.93,0.95,1.0,1.0,1.0,0.99,1.0,1.01,0.96,1.02,0.97,0.95,1.03,0.95,1.03,0.89,0.92,0.97,0.95,1.0,0.94,0.99,0.98,0.99,0.95,0.97,0.91,0.91,0.97,0.95,0.93,0.96,0.94,0.97,0.93,1.01,0.94,0.92,0.92,0.96,0.95,0.99,0.96,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
