,Cash,S&P Midcap 400 Index Swap Societe Generale - Cash Offset,S&P Midcap 400 Index Swap Bnp Paribas - Cash Offset,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc - Cash Off,S&P Midcap 400 Index Swap Citibank Na - Cash Offset,S&P Midcap 400 Index Swap Bank Of America Na - Cash Offset,S&P Mid 400 09/17/21 (Fau1) - Cash Offset,E-mini S&P MidCap 400 Future Sept 21,S&P Midcap 400 Index Swap Bank Of America Na,S&P Midcap 400 Index Swap Citibank Na,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc,S&P Midcap 400 Index Swap Bnp Paribas,S&P Midcap 400 Index Swap Societe Generale,SUM
07/09/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/12/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/13/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/14/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/15/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/16/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/19/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/20/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/21/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/22/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/23/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/26/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/27/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/28/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/29/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
07/30/2021,100.0,69.86,34.87,32.48,27.31,22.27,13.24,-13.24,-22.27,-27.31,-32.48,-34.87,-69.86,100.00000000000004
