,AAPL,MSFT,GOOGL,GOOG,NVDA,FB,ADBE,CRM,INTC,CSCO,AVGO,TXN,QCOM,ORCL,INTU,AMAT,IBM,AMD,NOW,MU,LRCX,ZM,ADSK,SNAP,TWLO,ADI,TWTR,DOCU,NXPI,CRWD,KLAC,MRVL,WDAY,EBAY,VEEV,MTCH,SNPS,MCHP,CDNS,MSI,PANW,HPQ,CTSH,XLNX,FTNT,TTD,SWKS,OKTA,ANSS,EPAM,MXIM,HUBS,ENPH,ETSY,CDW,DELL,RNG,CERN,VRSN,SPLK,DDOG,WORK,GRMN,IT,QRVO,WDC,TER,NET,ANET,MDB,COUP,TYL,XTSLA,Z,AKAM,PAYC,HPE,NTAP,ZEN,ON,SSNC,MPWR,ZS,STX,NLOK,NUAN,PTC,ENTG,CTXS,SEDG,AVLR,SNOW,GDDY,FICO,LUMN,CDAY,FIVN,VMW,BKI,IAC,BILL,PLTR,DT,CREE,FFIV,DXC,PFPT,DOX,AZPN,GWRE,ESTC,MANH,OLED,MKSI,DBX,LBTYK,CIEN,SMAR,JNPR,NTNX,PCTY,VMEO,PLAN,CHWY,SLAB,DLB,DASH,LITE,FEYE,AYX,POWI,PEGA,JCOM,CDK,FSLY,PSTG,CRUS,SNX,ZG,ACIW,SMTC,VIAV,BMBL,VRNT,XRX,NEWR,BLKB,LBTYA,U,UI,CARG,XM,ASAN,NCNO,BSY,WFFUT,ALGM,ANGI,MCFE,SATS,SWI,XASU1,IXTU1,USD,NABL WI,NABL,XASZ1,TEAM,ROP,APH,PINS,GLW,GLOB,LDOS,WIX,CLVT,JBL,ARW,CNXC,BRKS,VRT,CACI,IPGP,EVBG,SAIC,NCR,CHNG,TDC,NATI,AVT,MDLA,DNB,VRM,DCT,SWCH,SKLZ,JAMF,AI,PCOR,PYCR,DV,MSP,IXTZ1,WOLF,MNDT,KD WI,SUM
07/09/2021,18.17,17.05,5.13,5.0,4.63,4.44,2.56,2.08,2.03,2.01,1.74,1.59,1.43,1.36,1.23,1.13,1.11,1.03,0.99,0.82,0.8,0.77,0.58,0.58,0.58,0.56,0.5,0.5,0.5,0.47,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.3,0.28,0.28,0.28,0.26,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,18.47,17.17,5.13,5.02,4.49,4.38,2.62,2.06,2.02,2.03,1.74,1.57,1.41,1.41,1.25,1.1,1.14,0.99,1.0,0.78,0.78,0.74,0.59,0.53,0.57,0.55,0.48,0.51,0.49,0.47,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.33,0.33,0.3,0.31,0.3,0.28,0.28,0.28,0.26,0.24,0.24,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.15,0.16,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,18.47,17.17,5.13,5.02,4.49,4.38,2.62,2.06,2.02,2.03,1.74,1.57,1.41,1.41,1.25,1.1,1.14,0.99,1.0,0.78,0.78,0.74,0.59,0.53,0.57,0.55,0.48,0.51,0.49,0.47,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.33,0.33,0.3,0.31,0.3,0.28,0.28,0.28,0.26,0.24,0.24,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.15,0.16,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,18.53,17.04,5.1,4.98,4.48,4.4,2.59,2.04,2.03,2.03,1.76,1.58,1.43,1.43,1.23,1.11,1.13,0.99,1.0,0.79,0.78,0.74,0.58,0.55,0.57,0.55,0.49,0.5,0.5,0.47,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.32,0.33,0.3,0.31,0.3,0.28,0.28,0.28,0.27,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.15,0.16,0.17,0.17,0.17,0.17,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.15,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93000000000002
07/16/2021,18.57,17.2,5.16,5.03,4.52,4.41,2.59,2.02,2.06,2.01,1.77,1.58,1.43,1.42,1.24,1.12,1.12,0.98,0.99,0.79,0.8,0.72,0.58,0.54,0.57,0.55,0.5,0.49,0.5,0.47,0.43,0.42,0.39,0.4,0.4,0.4,0.38,0.35,0.34,0.34,0.34,0.3,0.32,0.29,0.31,0.3,0.28,0.28,0.27,0.27,0.24,0.23,0.22,0.21,0.22,0.21,0.2,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.15,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.15,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/19/2021,19.08,17.34,5.19,5.08,4.27,4.35,2.62,1.99,2.03,2.04,1.76,1.57,1.44,1.41,1.24,1.1,1.13,0.95,0.99,0.78,0.79,0.69,0.59,0.51,0.54,0.55,0.49,0.49,0.48,0.45,0.42,0.41,0.39,0.4,0.39,0.4,0.38,0.34,0.35,0.34,0.34,0.3,0.33,0.29,0.31,0.28,0.28,0.27,0.28,0.27,0.24,0.22,0.2,0.21,0.22,0.21,0.2,0.22,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.18,0.15,0.15,0.17,0.16,0.17,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.11,0.11,0.14,0.13,0.14,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,19.08,17.34,5.19,5.08,4.27,4.35,2.62,1.99,2.03,2.04,1.76,1.57,1.44,1.41,1.24,1.1,1.13,0.95,0.99,0.78,0.79,0.69,0.59,0.51,0.54,0.55,0.49,0.49,0.48,0.45,0.42,0.41,0.39,0.4,0.39,0.4,0.38,0.34,0.35,0.34,0.34,0.3,0.33,0.29,0.31,0.28,0.28,0.27,0.28,0.27,0.24,0.22,0.2,0.21,0.22,0.21,0.2,0.22,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.18,0.15,0.15,0.17,0.16,0.17,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.11,0.11,0.14,0.13,0.14,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,18.65,17.42,5.19,5.1,4.3,4.34,2.65,2.02,2.03,2.06,1.75,1.58,1.44,1.45,1.25,1.08,1.13,0.97,1.01,0.77,0.78,0.69,0.58,0.51,0.57,0.54,0.48,0.52,0.48,0.46,0.41,0.41,0.39,0.41,0.4,0.38,0.38,0.33,0.35,0.34,0.35,0.3,0.32,0.29,0.32,0.28,0.28,0.28,0.28,0.28,0.24,0.22,0.21,0.22,0.22,0.21,0.19,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.17,0.15,0.18,0.16,0.15,0.18,0.17,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.11,0.12,0.14,0.13,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/23/2021,18.84,17.29,5.17,5.09,4.2,4.33,2.63,2.01,2.02,2.04,1.73,1.57,1.43,1.46,1.26,1.1,1.13,0.96,1.01,0.77,0.78,0.69,0.59,0.53,0.57,0.54,0.49,0.53,0.48,0.45,0.42,0.42,0.39,0.41,0.4,0.38,0.38,0.34,0.35,0.34,0.35,0.31,0.32,0.29,0.32,0.28,0.28,0.28,0.28,0.28,0.24,0.23,0.21,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.17,0.15,0.18,0.15,0.16,0.17,0.17,0.16,0.16,0.15,0.14,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.14,0.13,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/27/2021,18.58,17.39,5.17,5.08,4.34,4.37,2.65,2.13,2.01,2.04,1.73,1.51,1.43,1.46,1.27,1.12,1.12,0.98,1.01,0.75,0.81,0.68,0.6,0.53,0.59,0.53,0.49,0.53,0.48,0.47,0.43,0.42,0.4,0.41,0.4,0.39,0.38,0.34,0.35,0.33,0.34,0.3,0.32,0.3,0.33,0.28,0.28,0.28,0.28,0.28,0.23,0.23,0.22,0.23,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.0,0.2,0.2,0.19,0.17,0.19,0.19,0.18,0.17,0.15,0.18,0.15,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.15,0.13,0.14,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
