,MARA,SQ,COIN,HUT.TO,MSTR,SI,HIVE.V,VYGR.CN,RIOT,BITF.V,GLXY.TO,TSM,CAN,NB2.DE,BTBT,ARB.L,EBON,863.HK,CS.ST,EQOS,DMGI.V,1611.HK,BIGG.CN,FTFT,ADE.DE,n/a,CIFR,VOYG.TO,BTCM,CLSK,GBOX,BKKT,SUM
09/07/2021,9.63,8.5,8.22,7.79,5.76,5.64,5.42,5.01,4.99,4.83,4.34,3.95,3.61,3.61,3.46,3.3,2.52,2.01,1.63,1.22,1.19,1.05,1.03,0.97,0.36,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,9.63,8.5,8.22,7.79,5.76,5.64,5.42,5.01,4.99,4.83,4.34,3.95,3.61,3.61,3.46,3.3,2.52,2.01,1.63,1.22,1.19,1.05,1.03,0.97,0.36,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,9.63,8.5,8.22,7.79,5.76,5.64,5.42,5.01,4.99,4.83,4.34,3.95,3.61,3.61,3.46,3.3,2.52,2.01,1.63,1.22,1.19,1.05,1.03,0.97,0.36,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,8.91,8.78,8.24,8.07,5.59,5.84,5.1,4.67,4.83,4.74,4.68,4.4,3.59,3.46,3.09,3.47,2.47,2.24,1.7,1.3,1.19,1.2,1.07,0.92,0.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/15/2021,8.91,8.78,8.24,8.07,5.59,5.84,5.1,4.67,4.83,4.74,4.68,4.4,3.59,3.46,3.09,3.47,2.47,2.24,1.7,1.3,1.19,1.2,1.07,0.92,0.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/16/2021,8.91,8.78,8.24,8.07,5.59,5.84,5.1,4.67,4.83,4.74,4.68,4.4,3.59,3.46,3.09,3.47,2.47,2.24,1.7,1.3,1.19,1.2,1.07,0.92,0.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/17/2021,8.69,8.56,7.89,7.81,5.71,5.62,5.09,4.43,4.68,4.58,4.46,4.33,3.62,3.47,3.05,3.38,2.37,2.15,1.61,1.17,1.1,1.14,0.97,0.9,0.38,0.01,2.84,0.0,0.0,0.0,0.0,0.0,100.01
10/04/2021,6.94,8.95,8.43,4.16,6.96,6.89,4.38,0.0,5.93,3.82,3.89,0.0,3.56,5.46,2.68,4.53,2.03,2.07,1.41,0.97,0.96,0.79,0.0,0.0,0.0,0.01,2.57,4.34,3.55,3.28,1.42,0.0,99.98000000000002
10/07/2021,7.26,8.17,8.17,4.87,7.1,7.71,4.6,0.0,5.73,4.35,4.48,0.0,3.84,3.99,2.45,4.49,1.99,1.8,1.52,0.89,1.12,0.76,0.0,0.0,0.0,0.01,2.11,4.2,3.85,3.28,1.26,0.0,100.0
10/08/2021,7.26,8.17,8.17,4.87,7.1,7.71,4.6,0.0,5.73,4.35,4.48,0.0,3.84,3.99,2.45,4.49,1.99,1.8,1.52,0.89,1.12,0.76,0.0,0.0,0.0,0.01,2.11,4.2,3.85,3.28,1.26,0.0,100.0
