,2382.HK,1810.HK,968.HK,268.HK,992.HK,GDS,2018.HK,3888.HK,285.HK,601012 C1,148.HK,002475 C2,1347.HK,DQ,2013.HK,763 HK,1888.HK,696.HK,603501 C1,8083.HK,000725 C2,600703 C1,002241 C2,002230 C2,300433 C2,VNET,KC,909.HK,600570 C1,000063 C2,API,600588 C1,300450 C2,002371 C2,300782 C2,600745 C1,603986 C1,002236 C2,300408 C2,6865 HK,OCFT,002129 C2,300454 C2,CD,002049 C2,002179 C2,601138 C1,002841 C2,603806 C1,600460 C1,000050 C2,300496 C2,000938 C2,002180 C2,300628 C2,600584 C1,600845 C1,002384 C2,002414 C2,300316 C2,002153 C2,601360 C1,002600 C2,300661 C2,002065 C2,600183 C1,603160 C1,002916 C2,002456 C2,002465 C2,002185 C2,002459 C2,000066 C2,300223 C2,000977 C2,300724 C2,002152 C2,300136 C2,002506 C2,002156 C2,000021 C2,000547 C2,002938 C2,600536 C1,601231 C1,300308 C2,603712 C1,002463 C2,002373 C2,688008 C1,688002 C1,600498 C1,601865 C1,300296 C2,000988 C2,002151 C2,300773 C2,300383 C2,002138 C2,688009 C1,300088 C2,603267 C1,300212 C2,CASH,n/a,354.HK,688111,688126 C1,603290 C1,688012 C1,688111 C1,SUM
07/09/2021,10.79,8.54,5.15,4.66,4.53,3.88,3.25,2.89,2.7,2.62,2.26,2.13,1.86,1.85,1.81,1.73,1.52,1.5,1.5,1.46,1.44,1.33,1.29,1.23,1.05,0.96,0.96,0.94,0.92,0.88,0.83,0.79,0.78,0.78,0.72,0.67,0.66,0.65,0.65,0.61,0.58,0.58,0.54,0.51,0.49,0.43,0.43,0.41,0.39,0.38,0.36,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.24,0.23,0.23,0.21,0.21,0.19,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93
07/12/2021,10.74,8.41,5.22,4.44,4.59,3.54,3.1,2.82,2.53,2.87,2.21,2.21,1.84,1.93,1.69,1.65,1.52,1.47,1.57,1.42,1.48,1.38,1.3,1.27,1.07,0.86,0.89,0.93,0.92,0.88,0.77,0.77,0.91,0.89,0.74,0.69,0.71,0.67,0.67,0.66,0.53,0.62,0.58,0.5,0.54,0.48,0.42,0.43,0.45,0.4,0.38,0.35,0.35,0.34,0.33,0.35,0.32,0.32,0.34,0.33,0.31,0.31,0.31,0.32,0.27,0.29,0.29,0.27,0.26,0.25,0.22,0.25,0.22,0.21,0.2,0.18,0.14,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,10.74,8.41,5.22,4.44,4.59,3.54,3.1,2.82,2.53,2.87,2.21,2.21,1.84,1.93,1.69,1.65,1.52,1.47,1.57,1.42,1.48,1.38,1.3,1.27,1.07,0.86,0.89,0.93,0.92,0.88,0.77,0.77,0.91,0.89,0.74,0.69,0.71,0.67,0.67,0.66,0.53,0.62,0.58,0.5,0.54,0.48,0.42,0.43,0.45,0.4,0.38,0.35,0.35,0.34,0.33,0.35,0.32,0.32,0.34,0.33,0.31,0.31,0.31,0.32,0.27,0.29,0.29,0.27,0.26,0.25,0.22,0.25,0.22,0.21,0.2,0.18,0.14,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,10.71,8.78,5.17,4.62,4.58,3.57,3.1,2.81,2.58,2.89,2.16,2.18,1.87,1.88,1.74,1.65,1.46,1.38,1.53,1.4,1.48,1.36,1.22,1.19,1.04,0.9,0.95,0.99,0.91,0.88,0.81,0.78,0.92,0.88,0.69,0.67,0.69,0.66,0.66,0.67,0.54,0.62,0.55,0.5,0.54,0.46,0.42,0.42,0.44,0.4,0.42,0.33,0.34,0.34,0.33,0.35,0.31,0.31,0.33,0.33,0.3,0.31,0.3,0.31,0.27,0.29,0.29,0.27,0.25,0.24,0.21,0.24,0.22,0.21,0.2,0.19,0.14,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.13,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,10.31,8.63,5.21,4.74,4.47,3.52,3.06,2.91,2.56,2.83,2.26,2.11,1.97,1.86,1.73,1.85,1.49,1.33,1.57,1.4,1.47,1.38,1.18,1.18,1.03,0.88,0.92,1.01,0.91,0.95,0.79,0.81,0.94,0.89,0.68,0.66,0.7,0.66,0.7,0.69,0.52,0.64,0.64,0.49,0.52,0.47,0.41,0.41,0.43,0.4,0.41,0.34,0.37,0.37,0.33,0.34,0.32,0.33,0.33,0.35,0.3,0.33,0.27,0.3,0.27,0.28,0.28,0.26,0.25,0.24,0.21,0.25,0.22,0.24,0.2,0.19,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,10.21,8.73,5.33,4.64,4.4,3.68,3.08,2.98,2.61,2.77,2.33,1.99,1.99,1.97,1.69,1.93,1.53,1.33,1.51,1.41,1.48,1.32,1.19,1.18,0.98,0.9,0.97,1.01,0.92,0.98,0.8,0.83,0.98,0.86,0.59,0.66,0.65,0.65,0.67,0.68,0.53,0.65,0.65,0.49,0.49,0.46,0.41,0.42,0.42,0.38,0.4,0.32,0.37,0.36,0.34,0.31,0.32,0.32,0.33,0.34,0.3,0.31,0.25,0.28,0.28,0.28,0.28,0.28,0.24,0.25,0.19,0.24,0.23,0.23,0.2,0.2,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,10.47,8.82,5.17,4.76,4.3,3.71,3.06,2.95,2.55,2.92,2.36,1.99,1.93,1.9,1.56,1.93,1.55,1.31,1.49,1.23,1.48,1.32,1.23,1.18,0.98,0.85,0.95,1.01,0.93,1.0,0.74,0.82,0.94,0.89,0.61,0.65,0.64,0.67,0.74,0.67,0.53,0.7,0.65,0.5,0.51,0.46,0.41,0.42,0.45,0.38,0.39,0.31,0.36,0.36,0.37,0.31,0.33,0.31,0.32,0.35,0.29,0.31,0.25,0.3,0.28,0.28,0.27,0.27,0.24,0.24,0.19,0.27,0.22,0.24,0.22,0.21,0.13,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.11,0.09,0.09,0.09,0.1,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/20/2021,10.47,8.82,5.17,4.76,4.3,3.71,3.06,2.95,2.55,2.92,2.36,1.99,1.93,1.9,1.56,1.93,1.55,1.31,1.49,1.23,1.48,1.32,1.23,1.18,0.98,0.85,0.95,1.01,0.93,1.0,0.74,0.82,0.94,0.89,0.61,0.65,0.64,0.67,0.74,0.67,0.53,0.7,0.65,0.5,0.51,0.46,0.41,0.42,0.45,0.38,0.39,0.31,0.36,0.36,0.37,0.31,0.33,0.31,0.32,0.35,0.29,0.31,0.25,0.3,0.28,0.28,0.27,0.27,0.24,0.24,0.19,0.27,0.22,0.24,0.22,0.21,0.13,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.11,0.09,0.09,0.09,0.1,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,10.58,9.34,5.11,4.74,4.17,3.69,3.04,2.9,2.58,2.81,2.37,1.95,1.88,1.85,1.51,1.96,1.52,1.31,1.46,1.23,1.53,1.28,1.23,1.18,0.97,0.82,0.94,1.02,0.96,1.01,0.75,0.82,0.89,0.88,0.59,0.63,0.62,0.72,0.73,0.67,0.52,0.71,0.62,0.49,0.53,0.48,0.4,0.42,0.43,0.38,0.39,0.31,0.38,0.36,0.38,0.31,0.34,0.32,0.33,0.34,0.29,0.32,0.25,0.31,0.28,0.28,0.27,0.27,0.24,0.25,0.19,0.28,0.22,0.24,0.22,0.22,0.13,0.14,0.15,0.13,0.13,0.15,0.15,0.14,0.12,0.11,0.12,0.12,0.12,0.1,0.12,0.12,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,10.46,9.34,5.24,4.87,4.14,3.72,2.95,2.8,2.52,2.8,2.36,2.03,1.85,1.8,1.42,2.06,1.49,1.3,1.49,1.11,1.51,1.29,1.29,1.2,0.99,0.82,0.95,1.01,0.94,1.08,0.74,0.85,0.89,0.88,0.59,0.64,0.64,0.72,0.71,0.71,0.49,0.71,0.62,0.48,0.52,0.48,0.41,0.42,0.43,0.35,0.39,0.31,0.41,0.37,0.37,0.31,0.34,0.33,0.32,0.34,0.29,0.32,0.24,0.33,0.28,0.28,0.28,0.29,0.25,0.25,0.19,0.27,0.22,0.23,0.23,0.23,0.14,0.15,0.15,0.13,0.13,0.15,0.15,0.14,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.13,0.11,0.12,0.11,0.1,0.1,0.11,0.09,0.09,0.09,0.1,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
