,NESN.SW,7203.T,ROG.SW,MAERSK B.CO,SAP.DE,NOVN.SW,6501.T,RIO.AX,MNG.L,AV.L,SGO.PA,TTE.PA,ENB.TO,6702.T,4063.T,BP.L,6758.T,8031.T,ADEN.SW,DAI.DE,ALV.DE,ONEX.TO,MQG.AX,ULVR.L,MFC.TO,BNP.PA,NOVO B.CO,STLA.MI,ML.PA,CNR.TO,VOLV B.ST,IAG.TO,RIO.L,8001.T,O39.SI,8306.T,CAP.PA,LHA.DE,OR.PA,9433.T,ITX.MC,AAL.L,9022.T,GLEN.L,TEF.MC,CSL.AX,TW.L,VOD.L,SAN.PA,CHG.BK,INVE B.ST,2388.HK,BHP.L,9432.T,REL.L,ASX.AX,UBSG.SW,7267.T,RMG.L,8316.T,ATD.B.TO,GSK.L,K.TO,VNA.DE,UCG.MI,1801.T,DLG.DE,1113.HK,1925.T,EO.PA,BATS.L,G13.SI,1802.T,IBE.MC,ENEL.MI,6701.T,EN.PA,GIB.A.TO,SJRCN F PERP B,4578.T,NN.AS,OTEX.TO,4507.T,2914.T,4452.T,J36.SI,7459.T,BAYN.DE,1928.T,AMS.SW,CSGN.SW,9502.T,AD.AS,ATO.PA,FRE.DE,ENGI.PA,FME.DE,ESSITY B.ST,IMB.L,1605.T,FTS.TO,CHG.BK.1,FSV.TO,FBU.NZ,CHG.BK.2,CHG.BK.3,CHG.BK.4,TGA.JO,CHG.BK.5,CHG.BK.6,CHG.BK.7,CHG.BK.8,CHG.BK.9,CHG.BK.10,CHG.BK.11,CHG.BK.12,Fidelity Securities Lending Cash Central Fund,CHG.BK.13,MT.AS,SJR.B.TO,n/a,SUM
07/09/2021,2.26,1.82,1.79,1.54,1.53,1.51,1.48,1.33,1.28,1.27,1.27,1.26,1.26,1.25,1.24,1.24,1.23,1.22,1.22,1.21,1.21,1.19,1.18,1.15,1.14,1.14,1.13,1.13,1.12,1.12,1.11,1.1,1.1,1.09,1.09,1.08,1.07,1.05,1.05,1.04,1.04,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.0,0.99,0.97,0.97,0.96,0.95,0.95,0.95,0.94,0.94,0.93,0.92,0.92,0.91,0.91,0.9,0.88,0.88,0.86,0.85,0.85,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.8,0.8,0.8,0.78,0.75,0.74,0.72,0.71,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.6,0.58,0.58,0.58,0.52,0.52,0.51,0.45,0.34,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,100.02
09/27/2021,2.29,1.82,1.83,1.47,1.56,1.53,1.43,1.39,1.28,1.22,1.36,1.2,1.22,1.13,1.13,1.12,1.22,1.22,1.05,1.2,1.2,1.23,1.16,1.12,1.12,1.12,1.24,1.1,1.14,1.14,1.09,1.11,1.14,1.1,1.12,1.04,1.19,1.02,1.09,1.02,1.0,1.12,0.96,1.06,1.0,1.02,1.03,0.97,1.0,0.0,1.05,0.92,1.05,0.94,1.03,0.93,1.02,0.92,0.82,0.89,0.98,0.91,0.93,0.92,0.91,0.88,0.87,0.85,0.85,0.77,0.8,0.81,0.83,0.83,0.83,0.8,0.85,0.8,0.0,0.75,0.82,0.75,0.73,0.73,0.67,0.64,0.64,0.65,0.63,0.57,0.59,0.59,0.63,0.44,0.58,0.55,0.51,0.52,0.5,0.42,0.35,0.0,0.03,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.81,0.01,99.56000000000002
