,Spy 12/17/2021 5.51 C,Spy 12/17/2021 348.88 P,U.S. Bank Money Market Deposit Account,Spy 12/17/2021 257.07 P,Spy 12/17/2021 403.67 C,SUM
07/09/2021,108.11,1.17,0.46,-0.27,-9.46,100.01
07/12/2021,109.27,1.11,0.27,-0.27,-10.38,100.0
07/13/2021,109.27,1.11,0.27,-0.27,-10.38,100.0
07/14/2021,108.46,1.29,0.27,-0.31,-9.71,100.0
07/15/2021,109.82,1.06,0.27,-0.25,-10.89,100.01
07/16/2021,109.82,1.06,0.27,-0.25,-10.89,100.01
07/19/2021,109.69,1.1,0.27,-0.25,-10.81,100.0
07/20/2021,109.24,1.15,0.27,-0.26,-10.4,100.0
07/21/2021,108.58,1.28,0.27,-0.29,-9.85,99.99
07/22/2021,108.58,1.28,0.27,-0.29,-9.85,99.99
07/23/2021,107.46,1.55,0.27,-0.36,-8.92,100.0
07/26/2021,109.34,1.12,0.27,-0.27,-10.47,99.99
07/27/2021,109.34,1.12,0.27,-0.27,-10.47,99.99
07/28/2021,110.36,1.02,0.27,-0.25,-11.4,99.99999999999999
