,TII,TII.1,TII.2,TII.3,TII.4,TII 0.125 01/15/30,TII 0.75 02/15/42,TII.5,TII.6,TII.7,TII 0.75 07/15/28,TII.8,TII 0.875 02/15/47,TII 2.125 02/15/40,TII 1 02/15/48,TII 0.125 07/15/30,TII 0.25 07/15/29,TII.9,TII.10,TII 0.25 02/15/50,TII.11,TII.12,TII.13,FGTXX,TII 1 02/15/49,USD,TII 0.375 07/15/23,TII 0.5 01/15/28,TII 0.125 10/15/25,TII 0.375 07/15/27,TII 0.125 10/15/24,TII 0.625 01/15/26,TII 0.25 01/15/25,TII 0.625 01/15/24,TII 0.375 07/15/25,TII 0.125 07/15/22,TII 0.625 04/15/23,TII 0.125 04/15/22,TII 3.875 04/15/29,TII 0.5 04/15/24,TII 0.5 01.15.28,TII 0.375 07.15.27,TII 0.125 10.15.25,TII 2.125 02.15.40,TII 0.125 10.15.24,TII 0.625 01.15.24,TII 0.125 01.15.30,TII 0.25 01.15.25,TII 0.375 07.15.23,TII 0.625 01.15.26,TII 0.375 07.15.25,TII 0.75 07.15.28,TII 0.875 02.15.47,TII 0.75 02.15.42,TII 0.125 07.15.30,TII 1 02.15.48,TII 0.625 04.15.23,TII 0.25 07.15.29,TII 0.25 02.15.50,TII 0.125 07.15.22,TII 3.875 04.15.29,TII 0.5 04.15.24,TII 1 02.15.49,SUM
07/09/2021,9.87,8.69,8.22,8.12,6.76,6.26,6.25,4.89,4.75,4.2,4.05,3.96,3.83,2.89,2.8,2.63,2.42,2.34,1.98,1.75,1.03,0.77,0.72,0.49,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
08/18/2021,0.0,0.0,0.0,0.0,0.0,6.38,3.71,0.0,0.0,0.0,4.32,0.0,4.53,6.77,2.86,2.68,2.47,0.0,0.0,1.77,0.0,0.0,0.0,0.03,0.29,0.04,8.69,8.24,7.01,6.85,6.74,6.22,5.9,4.76,4.64,1.59,1.18,0.81,0.79,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21,7.69,7.06,6.92,6.88,6.57,6.42,5.9,5.32,5.15,4.62,4.32,4.31,3.76,3.45,2.95,2.79,2.48,1.85,1.53,0.79,0.73,0.3,100.02
01/12/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,7.79,7.17,6.83,7.0,6.7,6.44,6.01,5.43,5.22,4.69,4.36,4.17,3.68,3.45,2.86,2.85,2.49,1.77,0.84,0.79,0.74,0.29,100.02
02/04/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,7.81,7.2,6.82,6.78,5.62,6.47,5.13,5.45,5.24,4.71,4.36,4.14,4.37,4.04,2.84,2.86,3.36,1.75,0.0,1.69,0.74,0.29,100.0
02/07/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32,7.82,7.22,6.78,6.81,5.65,6.47,5.15,5.48,5.25,4.72,4.36,4.09,4.33,4.04,2.8,2.88,3.36,1.73,0.0,1.69,0.75,0.28,100.0
02/10/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,7.82,7.24,6.76,6.83,5.67,6.46,5.16,5.51,5.26,4.73,4.36,4.06,4.31,4.03,2.78,2.9,3.35,1.71,0.0,1.69,0.75,0.28,99.99
