,005930.KS,NESN.SW,ASML.AS,ROG.SW,7203.T,MC.PA,NOVN.SW,1299.HK,SAP.DE,ULVR.L,AZN.L,CBA.AX,HSBA.L,NOVO B.CO,SIE.DE,6758.T,SAN.PA,TTE.PA,DGE.L,BHP.AX,ALV.DE,OR.PA,9984.T,CSL.AX,GSK.L,RIO.L,6861.T,BATS.L,BP.L,SU.PA,IBE.MC,388.HK,ENEL.MI,AI.PA,RDSA.AS,DAI.DE,BAS.DE,BNP.PA,8306.T,WBC.AX,AIR.PA,SAN.MC,ADS.DE,4063.T,6098.T,NAB.AX,KER.PA,DTE.DE,DPW.DE,7974.T,8035.T,RYDBF,ABI.BR,ANZ.AX,RITN.,ADYEN.AS,BHP.L,BAYN.DE,ZURN.SW,9433.T,000660.KS,ABBN.SW,VOW3.DE,RKT.L,7267.T,6367.T,PRU.L,INGA.AS,UBSG.SW,6594.T,4502.T,AAL.L,CS.PA,IFX.DE,DG.PA,INVE B.ST,EL.PA,6501.T,PHIA.AS,DSV.CO,8316.T,WES.AX,GLEN.L,005935.KQ,LONN.SW,SAF.PA,7741.T,LLOY.L,REL.L,VOD.L,6954.T,ISP.MI,SIKA.SW,RI.PA,NG.L,035420.KS,PRX.AS,RMS.PA,BARC.L,6981.T,4568.T,8001.T,VOLV B.ST,9983.T,D05.SI,CRH.L,BN.PA,GIVN.SW,BBVA.MC,WOW.AX,UG,ITX.MC,MQG.AX,CPG.L,ERIC B.ST,8411.T,VWS.CO,8031.T,MUV2.DE,ATCO A.ST,051910.KS,BMW.DE,NDA SE.ST,PGHN.SW,6273.T,3382.T,8058.T,LSEG.L,005380.KS,9434.T,9432.T,RIO.AX,EXPN.L,O39.SI,VNA.DE,SGO.PA,AHT.L,6503.T,6702.T,035720.KS,ENI.MI,8766.T,AMS.MC,DSM.AS,6902.T,006400.KS,4503.T,KNEBV.HE,ALC.SW,EVO.ST,FERG.L,AD.AS,DBK.DE,DSY.PA,TCL.AX,4452.T,6301.T,FLTR.L,4661.T,CAP.PA,DB1.DE,HOLN.SW,VIV.PA,2413.T,NOKIA.HE,LR.PA,GMG.AX,4911.T,9022.T,CLNX.MC,HEIA.AS,GEBN.SW,SAND.ST,UCG.MI,ASSA B.ST,NESTE.HE,FMG.AX,5108.T,4543.T,9020.T,ML.PA,SREN.SW,G.MI,068270.KS,U11.SI,6326.T,E.ON SE,ORSTED.CO,AKZA.AS,RACE.MI,WKL.AS,HEXA B.ST,4901.T,MAERSK B.CO,005490.KS,669.HK,2914.T,CSGN.SW,6752.T,4519.T,003000.KS,AP4.SI,DSYA.,ZAL.DE,4523.T,MRK.DE,GMAB.CO,DHER.DE,TEP.PA,4300.SR,CFR.SW,DGCXX,STLA.MI,EOAN.DE,STM.PA,SAMPO.HE,SUM
07/09/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/12/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/13/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/14/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/15/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/16/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/19/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/20/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/21/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
07/22/2021,1.76,1.76,1.37,1.3,1.06,1.03,0.96,0.84,0.81,0.78,0.77,0.72,0.67,0.66,0.64,0.64,0.6,0.59,0.57,0.57,0.57,0.56,0.55,0.53,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
