,TII 1.375 02/15/44,TII 2.125 02/15/41,TII 0.75 02/15/42,TII 0.75 02/15/45,TII 0.625 02/15/43,TII 1 02/15/46,TII 1 02/15/49,TII 0.875 02/15/47,TII 1 02/15/48,TII 2.125 02/15/40,United States Treasury Bonds 0.25%,ZYME,ZYME.1,ZYME.2,Offset: Cash,Fixed Inc Clearing Corp Repo (Ficc),Offset: Unsettled,SUM
07/09/2021,11.86,11.68,10.72,10.37,9.8,9.7,8.98,8.97,8.84,4.67,4.06,0.72,0.0,-0.38,0.0,0.0,0.0,99.99
07/14/2021,11.85,11.68,10.72,10.37,9.8,9.7,8.98,8.98,8.84,4.67,4.06,0.0,0.0,0.0,0.34,0.0,0.0,99.99000000000002
07/16/2021,11.84,11.67,10.72,10.37,9.8,9.7,8.99,8.98,8.85,4.67,4.06,0.0,0.0,0.0,0.35,0.0,0.0,100.0
07/19/2021,11.84,11.69,10.73,10.36,9.8,9.7,8.97,8.97,8.84,4.68,4.06,0.0,0.0,0.0,0.35,0.0,0.0,99.99
07/20/2021,11.92,11.76,10.8,10.44,9.87,9.77,9.05,9.04,8.91,4.7,4.09,0.0,0.0,0.0,0.36,0.0,-0.71,100.00000000000001
