,BBRI.JK,BBCA.JK,BMRI.JK,PTI.,ASII.JK,CPIN.JK,MDKA.JK,BBNI.JK,UNTR.JK,TOWR.JK,UNVR.JK,BANPU-R.BK,INDF.JK,TBIG.JK,KLBF.JK,SMGR.JK,C07.SI,BRPT.JK,GGRM.JK,TPIA.JK,ADRO.JK,INKP.JK,INTP.JK,ANTM.JK,ICBP.JK,NIC.AX,MIKA.JK,CTRA.JK,PGAS.JK,E5H.SI,TKIM.JK,JPFA.JK,EXCL.JK,INCO.JK,142.HK,ACES.JK,TCPI.JK,BSDE.JK,PTBA.JK,CTRA.JK.1,JSMR.JK,PWON.JK,CTRA.JK.2,CTRA.JK.3,CTRA.JK.4,FREN.JK,BRIS.JK,LPKR.JK,SUM
07/09/2021,7.91,7.81,6.59,6.35,5.89,4.22,3.37,3.29,2.85,2.78,2.68,2.65,2.63,2.6,2.57,2.46,2.09,2.04,1.99,1.9,1.84,1.81,1.73,1.71,1.7,1.53,1.35,1.0,0.99,0.98,0.9,0.88,0.87,0.86,0.86,0.83,0.81,0.81,0.75,0.74,0.69,0.6,0.58,0.47,0.08,0.0,0.0,0.0,100.04
08/31/2021,7.86,7.77,6.57,6.47,5.87,4.14,3.41,3.18,2.85,2.79,2.6,3.09,2.49,2.67,2.59,2.54,2.09,2.06,1.88,1.93,1.77,1.76,1.71,1.78,1.66,1.44,1.39,0.75,0.96,0.98,0.89,0.84,0.9,0.88,0.85,0.79,0.81,0.8,0.72,0.0,0.7,0.6,0.0,0.0,0.0,1.04,0.61,0.45,99.93
09/01/2021,7.86,7.77,6.57,6.47,5.87,4.14,3.41,3.18,2.85,2.79,2.6,3.09,2.49,2.67,2.59,2.54,2.09,2.06,1.88,1.93,1.77,1.76,1.71,1.78,1.66,1.44,1.39,0.75,0.96,0.98,0.89,0.84,0.9,0.88,0.85,0.79,0.81,0.8,0.72,0.0,0.7,0.6,0.0,0.0,0.0,1.04,0.61,0.45,99.93
09/02/2021,7.86,7.77,6.57,6.47,5.87,4.14,3.41,3.18,2.85,2.79,2.6,3.09,2.49,2.67,2.59,2.54,2.09,2.06,1.88,1.93,1.77,1.76,1.71,1.78,1.66,1.44,1.39,0.75,0.96,0.98,0.89,0.84,0.9,0.88,0.85,0.79,0.81,0.8,0.72,0.0,0.7,0.6,0.0,0.0,0.0,1.04,0.61,0.45,99.92999999999999
