,NESN.SW,005930.KS,ASML.AS,ROG.SW,7203.T,MC.PA,NOVN.SW,SHOP,AZN.L,SAP.DE,ULVR.L,1299.HK,RY.TO,NOVO B.CO,CBA.AX,TD.TO,6758.T,SIE.DE,HSBA.L,SAN.PA,TTE.PA,DGE.L,BHP.AX,OR.PA,ALV.DE,GSK.L,CSL.AX,9984.T,6861.T,RIO.L,BATS.L,BP.L,RDSA.AS,SU.PA,ENB.TO,AI.PA,BNS.TO,DAI.DE,388.HK,AIR.PA,BAS.DE,RYDBF,ENEL.MI,ADS.DE,IBE.MC,ADYEN.AS,WBC.AX,DTE.DE,BAM.A.TO,8306.T,BAFS.BK,DPW.DE,BNP.PA,4063.T,BMO.TO,6098.T,SAN.MC,NAB.AX,KER.PA,CNR.TO,7974.T,8035.T,BHP.L,RITN.,BAFS.BK.1,BAYN.DE,ABI.BR,ZURN.SW,ABBN.SW,RKT.L,000660.KS,7267.T,6501.T,DG.PA,6594.T,EL.PA,005935.KQ,LONN.SW,GLEN.L,9433.T,4502.T,CP.TO,INGA.AS,IFX.DE,REL.L,UBSG.SW,PRU.L,CM.TO,AAL.L,WES.AX,6367.T,CS.PA,SAF.PA,035420.KS,TRP.TO,7741.T,VOD.L,DSV.CO,SIKA.SW,6954.T,RI.PA,VOW3.DE,ISP.MI,LLOY.L,8316.T,NG.L,RMS.PA,6981.T,GIVN.SW,PHIA.AS,BN.PA,PRX.AS,CNQ.TO,INVE B.ST,BBVA.MC,D05.SI,4568.T,BARC.L,BAFS.BK.2,NDA SE.ST,VWS.CO,CRH.L,LSEG.L,8001.T,ATCO A.ST,ERIC B.ST,CPG.L,CLNX.MC,Muenchener Rueckve,035720.KS,MQG.AX,MFC.TO,9983.T,VNA.DE,ITX.MC,ABX.TO,8411.T,8031.T,VOLV B.ST,EXPN.L,3382.T,SU.TO,WOW.AX,9434.T,6702.T,RIO.AX,NTR.TO,PGHN.SW,006400.KS,051910.KS,BMW.DE,AHT.L,6273.T,8058.T,DSY.PA,ALC.SW,4503.T,DB1.DE,KNEBV.HE,SGO.PA,FERG.L,6902.T,WCN.TO,9432.T,O39.SI,DSM.AS,ENI.MI,BAFS.BK.3,NOKIA.HE,CAP.PA,2413.T,HOLN.SW,AMS.MC,ATD/A.NE,SLF.TO,8766.T,AD.AS,005380.KS,TCL.AX,4911.T,CSU.TO,HEIA.AS,4452.T,LR.PA,GMG.AX,FMG.AX,ML.PA,FNV.TO,SAND.ST,ASSA B.ST,9022.T,ORSTED.CO,6503.T,4661.T,EVO.ST,5108.T,BAFS.BK.4,ZAL.DE,WKL.AS,DBK.DE,n/a,BAM,CFR.SW,ANZ.AX,MUV2.DE,STLA.MI,FLTR.L,MRK.DE,ATD.B.TO,STM.PA,GMG,RACE.MI,4543.T,HEXA B.ST,UCG.MI,TSCO.L,G.MI,SREN.SW,NA.TO,EOAN.DE,4901.T,SAMPO.HE,SUM
07/09/2021,1.67,1.56,1.28,1.24,1.03,0.93,0.92,0.78,0.75,0.74,0.73,0.7,0.68,0.64,0.63,0.6,0.6,0.56,0.56,0.53,0.52,0.52,0.5,0.5,0.49,0.46,0.46,0.45,0.44,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.56
11/24/2021,1.73,1.29,1.48,1.26,1.02,0.91,0.83,0.8,0.89,0.75,0.64,0.63,0.69,0.8,0.63,0.62,0.7,0.57,0.58,0.51,0.57,0.53,0.37,0.51,0.45,0.48,0.49,0.34,0.51,0.31,0.37,0.45,0.44,0.42,0.4,0.36,0.37,0.39,0.35,0.33,0.31,0.39,0.3,0.29,0.32,0.4,0.3,0.28,0.0,0.32,0.0,0.28,0.35,0.33,0.33,0.42,0.31,0.33,0.26,0.37,0.22,0.33,0.25,0.0,0.0,0.26,0.23,0.31,0.26,0.24,0.22,0.24,0.25,0.25,0.24,0.29,0.21,0.29,0.31,0.24,0.2,0.24,0.28,0.28,0.27,0.28,0.26,0.25,0.22,0.23,0.28,0.26,0.21,0.22,0.25,0.25,0.19,0.21,0.22,0.18,0.22,0.19,0.22,0.23,0.2,0.21,0.23,0.2,0.2,0.2,0.18,0.36,0.23,0.2,0.22,0.2,0.22,0.22,0.0,0.21,0.2,0.18,0.16,0.18,0.19,0.15,0.18,0.17,0.0,0.13,0.23,0.18,0.16,0.16,0.18,0.15,0.16,0.17,0.17,0.2,0.16,0.18,0.16,0.17,0.15,0.0,0.19,0.18,0.15,0.15,0.15,0.18,0.16,0.18,0.18,0.18,0.15,0.14,0.0,0.15,0.16,0.15,0.16,0.16,0.14,0.17,0.17,0.0,0.15,0.17,0.0,0.13,0.13,0.0,0.16,0.16,0.15,0.0,0.14,0.0,0.16,0.0,0.12,0.14,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.42,0.37,0.3,0.28,0.19,0.19,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,59.150000000000006
